Market,Node,Mean,Std,Min,Max,Neg%,P95,Spike%,Missing%
ERCOT,LZ_LCRA,35.9,48.0,-31.5,960.4,2.4,86.0,5.0,0.0
ERCOT,LZ_WEST,37.7,50.1,-29.9,1170.7,9.8,91.1,5.0,0.0
ERCOT,LZ_RAYBN,32.7,46.6,-34.2,1305.9,2.9,79.5,5.0,0.0
PJM,HUB:WESTERN HUB,60.0,81.2,-28.9,1424.1,0.1,186.3,5.0,0.0
PJM,HUB:CHICAGO HUB,35.4,42.5,-315.8,1113.8,5.2,89.3,5.0,0.0
PJM,ZONE:PJM-RTO,55.5,68.4,2.9,1251.7,0.0,158.6,5.0,0.0
CAISO,TH_SP15_GEN-APND,27.7,24.7,-49.8,709.7,12.7,55.8,5.0,0.0
CAISO,TH_NP15_GEN-APND,33.2,22.0,-36.6,722.7,6.1,59.1,5.0,0.0
CAISO,TH_ZP26_GEN-APND,28.0,22.1,-104.9,721.6,12.2,54.8,5.0,0.0
NYISO,N.Y.C.,69.8,90.1,-42.6,3341.9,0.0,198.3,5.0,0.0
NYISO,LONGIL,70.5,79.3,-101.2,3279.0,0.1,182.6,5.0,0.0
NYISO,WEST,56.4,61.3,-52.1,1831.0,0.5,157.9,5.0,0.0
