model,origin,node,ts,actual,mean,q10,q90
ElecFM,2025-08-01 00:00:00+00:00,HB_BUSAVG,2025-08-01 00:00:00+00:00,76.815,87.75734,66.22479,113.91708
ElecFM,2025-08-01 00:00:00+00:00,HB_BUSAVG,2025-08-01 01:00:00+00:00,104.35916666666668,77.97058,59.225945,100.90321
ElecFM,2025-08-01 00:00:00+00:00,HB_BUSAVG,2025-08-01 02:00:00+00:00,124.88416666666669,51.33442,38.372414,68.802315
ElecFM,2025-08-01 00:00:00+00:00,HB_BUSAVG,2025-08-01 03:00:00+00:00,79.65333333333334,39.088394,30.745901,51.199783
ElecFM,2025-08-01 00:00:00+00:00,HB_BUSAVG,2025-08-01 04:00:00+00:00,40.46416666666666,33.121525,28.553093,41.30121
ElecFM,2025-08-01 00:00:00+00:00,HB_BUSAVG,2025-08-01 05:00:00+00:00,44.19083333333333,30.625546,27.276997,36.11233
ElecFM,2025-08-01 00:00:00+00:00,HB_BUSAVG,2025-08-01 06:00:00+00:00,47.1375,29.179153,24.568838,34.14219
ElecFM,2025-08-01 00:00:00+00:00,HB_BUSAVG,2025-08-01 07:00:00+00:00,44.65083333333333,28.249552,23.546753,34.045696
ElecFM,2025-08-01 00:00:00+00:00,HB_BUSAVG,2025-08-01 08:00:00+00:00,48.873333333333335,26.132618,21.231007,30.798244
ElecFM,2025-08-01 00:00:00+00:00,HB_BUSAVG,2025-08-01 09:00:00+00:00,47.92249999999999,23.86239,19.12014,28.41625
ElecFM,2025-08-01 00:00:00+00:00,HB_BUSAVG,2025-08-01 10:00:00+00:00,47.13916666666666,23.57856,20.037487,27.757671
ElecFM,2025-08-01 00:00:00+00:00,HB_BUSAVG,2025-08-01 11:00:00+00:00,50.5425,22.753218,19.13866,27.684748
ElecFM,2025-08-01 00:00:00+00:00,HB_BUSAVG,2025-08-01 12:00:00+00:00,42.525,27.043898,23.323559,32.320095
ElecFM,2025-08-01 00:00:00+00:00,HB_BUSAVG,2025-08-01 13:00:00+00:00,37.65916666666666,25.617445,20.548412,30.422054
ElecFM,2025-08-01 00:00:00+00:00,HB_BUSAVG,2025-08-01 14:00:00+00:00,29.675833333333333,23.313887,17.913101,30.302017
ElecFM,2025-08-01 00:00:00+00:00,HB_BUSAVG,2025-08-01 15:00:00+00:00,29.004166666666663,21.791885,15.826441,29.70362
ElecFM,2025-08-01 00:00:00+00:00,HB_BUSAVG,2025-08-01 16:00:00+00:00,28.48,24.522284,18.602772,33.878956
ElecFM,2025-08-01 00:00:00+00:00,HB_BUSAVG,2025-08-01 17:00:00+00:00,31.965,26.82489,19.756046,37.64356
ElecFM,2025-08-01 00:00:00+00:00,HB_BUSAVG,2025-08-01 18:00:00+00:00,34.81,28.251045,19.753832,40.54961
ElecFM,2025-08-01 00:00:00+00:00,HB_BUSAVG,2025-08-01 19:00:00+00:00,40.193333333333335,32.730736,23.221386,46.99364
ElecFM,2025-08-01 00:00:00+00:00,HB_BUSAVG,2025-08-01 20:00:00+00:00,43.251666666666665,34.943085,23.53843,51.857105
ElecFM,2025-08-01 00:00:00+00:00,HB_BUSAVG,2025-08-01 21:00:00+00:00,50.62833333333333,32.5445,19.44933,51.92399
ElecFM,2025-08-01 00:00:00+00:00,HB_BUSAVG,2025-08-01 22:00:00+00:00,85.03833333333334,32.91474,17.970863,55.329124
ElecFM,2025-08-01 00:00:00+00:00,HB_BUSAVG,2025-08-01 23:00:00+00:00,92.1325,38.782955,21.795568,63.953796
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 00:00:00+00:00,73.40583333333333,76.842224,60.364777,97.291336
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 01:00:00+00:00,101.0275,63.2698,49.45057,79.996155
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 02:00:00+00:00,123.6025,44.597282,35.496593,57.272446
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 03:00:00+00:00,79.39833333333333,39.09169,32.37966,48.29884
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 04:00:00+00:00,39.77666666666666,34.97133,30.728777,41.96801
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 05:00:00+00:00,43.51083333333333,32.003902,28.2939,37.440247
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 06:00:00+00:00,46.175,28.073868,23.65745,33.29623
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 07:00:00+00:00,43.211666666666666,27.091188,23.337399,33.011845
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 08:00:00+00:00,47.79583333333333,25.733017,22.15158,30.780529
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 09:00:00+00:00,46.57416666666666,23.553883,19.753075,28.835726
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 10:00:00+00:00,45.6175,23.057976,20.430912,27.61467
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 11:00:00+00:00,49.73083333333333,19.946354,16.798563,25.298643
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 12:00:00+00:00,41.365,24.446651,21.322733,29.259798
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 13:00:00+00:00,37.03083333333333,24.930054,20.473927,29.682297
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 14:00:00+00:00,29.38083333333333,22.82497,18.14534,29.309872
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 15:00:00+00:00,31.742500000000003,21.510338,16.098555,29.430738
