model,origin,node,ts,actual,mean,q10,q90
ElecFM,2025-03-01 00:00:00+00:00,HB_BUSAVG,2025-03-01 00:00:00+00:00,62.82583333333333,48.12535,34.101135,71.61075
ElecFM,2025-03-01 00:00:00+00:00,HB_BUSAVG,2025-03-01 01:00:00+00:00,56.11333333333334,44.66464,29.118097,71.61417
ElecFM,2025-03-01 00:00:00+00:00,HB_BUSAVG,2025-03-01 02:00:00+00:00,47.00833333333333,34.82368,20.428257,62.446465
ElecFM,2025-03-01 00:00:00+00:00,HB_BUSAVG,2025-03-01 03:00:00+00:00,38.2875,31.021242,18.176012,58.97377
ElecFM,2025-03-01 00:00:00+00:00,HB_BUSAVG,2025-03-01 04:00:00+00:00,36.0625,24.692356,12.959787,51.50579
ElecFM,2025-03-01 00:00:00+00:00,HB_BUSAVG,2025-03-01 05:00:00+00:00,38.31333333333333,23.546097,10.077436,50.96866
ElecFM,2025-03-01 00:00:00+00:00,HB_BUSAVG,2025-03-01 06:00:00+00:00,61.50666666666667,21.77325,9.101618,50.435764
ElecFM,2025-03-01 00:00:00+00:00,HB_BUSAVG,2025-03-01 07:00:00+00:00,58.86166666666667,16.523058,3.8811283,46.299797
ElecFM,2025-03-01 00:00:00+00:00,HB_BUSAVG,2025-03-01 08:00:00+00:00,46.44083333333333,13.296816,-0.045179367,39.917664
ElecFM,2025-03-01 00:00:00+00:00,HB_BUSAVG,2025-03-01 09:00:00+00:00,70.79583333333333,14.760445,1.2711468,41.336704
ElecFM,2025-03-01 00:00:00+00:00,HB_BUSAVG,2025-03-01 10:00:00+00:00,93.25666666666666,14.762772,-0.58390427,42.01191
ElecFM,2025-03-01 00:00:00+00:00,HB_BUSAVG,2025-03-01 11:00:00+00:00,102.06666666666666,20.5353,3.8228073,51.77703
ElecFM,2025-03-01 00:00:00+00:00,HB_BUSAVG,2025-03-01 12:00:00+00:00,81.76,25.365711,9.41642,56.083626
ElecFM,2025-03-01 00:00:00+00:00,HB_BUSAVG,2025-03-01 13:00:00+00:00,86.75416666666666,22.689268,7.567917,52.735794
ElecFM,2025-03-01 00:00:00+00:00,HB_BUSAVG,2025-03-01 14:00:00+00:00,14.423333333333334,13.874663,0.49848366,41.181477
ElecFM,2025-03-01 00:00:00+00:00,HB_BUSAVG,2025-03-01 15:00:00+00:00,14.481666666666667,11.388021,1.0956669,36.22815
ElecFM,2025-03-01 00:00:00+00:00,HB_BUSAVG,2025-03-01 16:00:00+00:00,13.086666666666666,7.6627483,-1.78582,30.90847
ElecFM,2025-03-01 00:00:00+00:00,HB_BUSAVG,2025-03-01 17:00:00+00:00,18.12333333333333,7.0314503,-1.7657032,29.384602
ElecFM,2025-03-01 00:00:00+00:00,HB_BUSAVG,2025-03-01 18:00:00+00:00,19.5675,7.126238,-1.9604053,31.58285
ElecFM,2025-03-01 00:00:00+00:00,HB_BUSAVG,2025-03-01 19:00:00+00:00,21.031666666666663,6.686058,-2.0960083,29.638226
ElecFM,2025-03-01 00:00:00+00:00,HB_BUSAVG,2025-03-01 20:00:00+00:00,21.33583333333333,6.428503,-1.6518383,27.972675
ElecFM,2025-03-01 00:00:00+00:00,HB_BUSAVG,2025-03-01 21:00:00+00:00,20.319166666666668,7.417282,-1.4829521,28.92144
ElecFM,2025-03-01 00:00:00+00:00,HB_BUSAVG,2025-03-01 22:00:00+00:00,41.57833333333333,7.479904,-2.5315876,32.63952
ElecFM,2025-03-01 00:00:00+00:00,HB_BUSAVG,2025-03-01 23:00:00+00:00,75.20083333333334,18.177624,5.045929,46.761063
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 00:00:00+00:00,61.94083333333333,49.561405,34.175793,73.93797
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 01:00:00+00:00,55.4775,46.325394,29.729155,73.651276
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 02:00:00+00:00,47.10916666666666,36.96415,21.557837,64.03296
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 03:00:00+00:00,38.37916666666667,33.947594,20.842733,60.149456
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 04:00:00+00:00,36.36833333333333,28.302183,16.73971,53.08896
