model,origin,node,ts,actual,mean,q10,q90
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 00:00:00+00:00,60.32,51.265373,38.422314,66.87928
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 01:00:00+00:00,54.615,50.756664,36.43888,67.819916
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 02:00:00+00:00,47.03083333333333,47.27191,33.687027,64.71894
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 03:00:00+00:00,39.13666666666666,41.71513,29.333286,57.936592
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 04:00:00+00:00,38.01416666666667,37.239372,26.316263,52.270554
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 05:00:00+00:00,40.42583333333334,36.206,25.400764,50.24783
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 06:00:00+00:00,63.1875,32.472427,22.028046,46.687614
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 07:00:00+00:00,58.80583333333333,26.6822,16.818224,41.517273
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 08:00:00+00:00,46.29166666666666,21.790571,11.706472,35.149067
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 09:00:00+00:00,70.375,24.134352,13.596521,37.51472
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 10:00:00+00:00,93.25666666666666,25.038057,13.78307,37.99128
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 11:00:00+00:00,102.06666666666666,30.458366,18.739313,44.748085
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 12:00:00+00:00,81.76,34.374294,22.342604,47.913128
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 13:00:00+00:00,86.75416666666666,29.550776,17.86433,43.118004
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 14:00:00+00:00,14.423333333333334,21.502983,10.420426,34.398666
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 15:00:00+00:00,14.481666666666667,20.118866,9.763735,32.09497
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 16:00:00+00:00,13.079166666666666,15.6674185,6.302994,27.776346
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 17:00:00+00:00,18.086666666666662,14.887448,6.31526,26.490938
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 18:00:00+00:00,19.554166666666667,13.752206,5.193392,26.545156
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 19:00:00+00:00,21.0275,13.334192,4.7379456,25.330156
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 20:00:00+00:00,21.316666666666663,12.458299,3.6868362,24.330835
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 21:00:00+00:00,19.70583333333333,13.650438,3.683735,25.732956
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 22:00:00+00:00,41.4225,17.967281,7.1633663,30.75374
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 23:00:00+00:00,75.20083333333334,30.059032,17.23674,43.236435
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 00:00:00+00:00,84.28333333333333,71.45355,51.843563,93.517975
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 01:00:00+00:00,69.29916666666666,68.64511,48.05537,92.20732
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 02:00:00+00:00,49.2425,63.708027,44.542953,86.468445
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 03:00:00+00:00,52.285833333333336,61.615574,43.84592,82.61468
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 04:00:00+00:00,51.267500000000005,62.025284,45.291935,83.092804
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 05:00:00+00:00,56.498333333333335,62.335846,44.13143,83.73508
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 06:00:00+00:00,72.08583333333333,66.593,48.83812,89.55468
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 07:00:00+00:00,59.578333333333326,68.63556,50.57966,92.661125
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 08:00:00+00:00,54.04416666666666,65.51224,47.440872,88.31537
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 09:00:00+00:00,76.70333333333333,59.0745,41.471794,80.88866
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 10:00:00+00:00,93.25666666666666,56.263565,40.15307,77.11167
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 11:00:00+00:00,102.06666666666666,61.25789,45.214806,82.288345
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 12:00:00+00:00,81.76,55.795246,39.74087,75.77641
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 13:00:00+00:00,86.75416666666666,47.411755,31.57485,66.005226
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 14:00:00+00:00,14.423333333333334,25.576565,12.1299515,43.8961
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 15:00:00+00:00,14.481666666666667,21.740702,9.48764,37.988453
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 16:00:00+00:00,12.999166666666667,19.193068,7.7535477,33.384533
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 17:00:00+00:00,17.870833333333334,10.261318,1.3268814,24.872877
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 18:00:00+00:00,19.364166666666662,12.6910095,3.7968445,28.06727
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 19:00:00+00:00,21.01083333333333,17.428274,7.7991676,31.233177
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 20:00:00+00:00,21.33583333333333,15.266819,5.209175,28.75802
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 21:00:00+00:00,20.29,13.168453,1.3902702,28.828247
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 22:00:00+00:00,41.57,19.983074,6.8031883,36.74186
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 23:00:00+00:00,75.20083333333334,43.702988,27.077143,62.912865
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 00:00:00+00:00,64.08333333333333,63.73358,44.010136,86.14049
ElecFMV6,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 01:00:00+00:00,56.605,57.869034,35.481697,83.13258
