model,origin,node,ts,actual,mean,q10,q90
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 00:00:00+00:00,81.94416666666666,136.65721,98.061295,188.51935
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 01:00:00+00:00,113.745,115.25095,76.259895,171.38641
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 02:00:00+00:00,131.26416666666668,80.07123,47.708553,135.93323
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 03:00:00+00:00,81.84166666666667,58.788536,32.734676,111.899994
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 04:00:00+00:00,40.01416666666667,51.115185,33.037773,96.3569
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 05:00:00+00:00,43.8975,42.949257,29.453049,82.42711
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 06:00:00+00:00,46.44166666666666,41.687862,30.749168,77.69324
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 07:00:00+00:00,42.571666666666665,36.378613,28.240805,72.49182
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 08:00:00+00:00,47.1775,30.889168,23.32247,62.20083
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 09:00:00+00:00,45.70416666666667,30.34028,24.368351,60.000828
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 10:00:00+00:00,44.36083333333334,32.764374,27.89069,59.793434
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 11:00:00+00:00,49.01,36.35349,31.90077,64.33122
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 12:00:00+00:00,39.73333333333333,32.68529,28.69199,57.356216
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 13:00:00+00:00,35.8525,31.983614,27.818039,55.506935
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 14:00:00+00:00,28.8,30.445137,26.880201,55.48291
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 15:00:00+00:00,27.44833333333333,31.618534,27.560047,58.085503
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 16:00:00+00:00,26.848333333333333,31.35395,26.315966,58.33996
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 17:00:00+00:00,51.79,32.846657,26.789385,63.064423
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 18:00:00+00:00,67.0175,36.262783,27.869816,70.58622
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 19:00:00+00:00,85.1575,41.962345,30.266796,78.71094
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 20:00:00+00:00,87.14999999999999,40.159958,26.63162,79.816154
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 21:00:00+00:00,60.70333333333334,41.078144,25.966217,81.49776
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 22:00:00+00:00,91.97833333333334,48.093765,31.301582,89.0587
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 23:00:00+00:00,99.82333333333334,53.49005,34.113533,97.75176
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_WEST,2025-08-01 00:00:00+00:00,81.73083333333334,103.59011,72.682915,147.58842
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_WEST,2025-08-01 01:00:00+00:00,111.79833333333332,92.96573,62.623024,139.50687
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_WEST,2025-08-01 02:00:00+00:00,131.45083333333335,71.33841,44.68517,117.973495
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_WEST,2025-08-01 03:00:00+00:00,82.87583333333333,55.253395,31.722424,100.25734
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_WEST,2025-08-01 04:00:00+00:00,59.29416666666666,52.98899,32.82753,94.622055
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_WEST,2025-08-01 05:00:00+00:00,62.623333333333335,52.123726,33.81609,92.25912
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_WEST,2025-08-01 06:00:00+00:00,73.50666666666666,55.704964,38.06815,95.18521
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_WEST,2025-08-01 07:00:00+00:00,84.79416666666667,44.842667,28.429193,85.65123
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_WEST,2025-08-01 08:00:00+00:00,80.40333333333332,41.66924,25.523067,79.69242
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_WEST,2025-08-01 09:00:00+00:00,86.46666666666665,44.01426,29.070396,80.05
ElecFMV6,2025-08-01 00:00:00+00:00,LZ_WEST,2025-08-01 10:00:00+00:00,88.495,45.883022,32.428986,79.5927
