model,origin,node,ts,actual,mean,q10,q90
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 00:00:00+00:00,73.40583333333333,97.88623,70.06433,131.52867
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 01:00:00+00:00,101.0275,87.54353,59.82,122.5674
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 02:00:00+00:00,123.6025,63.684,41.368515,95.448425
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 03:00:00+00:00,79.39833333333333,45.428814,29.509768,71.42562
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 04:00:00+00:00,39.77666666666666,36.270306,26.371433,56.01615
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 05:00:00+00:00,43.51083333333333,29.347424,23.211815,44.515137
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 06:00:00+00:00,46.175,24.228247,19.45538,36.598324
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 07:00:00+00:00,43.211666666666666,22.804226,19.06231,35.566372
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 08:00:00+00:00,47.79583333333333,23.965221,20.354097,33.93777
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 09:00:00+00:00,46.57416666666666,24.43169,20.287262,34.108517
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 10:00:00+00:00,45.6175,24.235077,19.64764,33.37664
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 11:00:00+00:00,49.73083333333333,25.21591,19.991444,35.843502
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 12:00:00+00:00,41.365,22.028261,15.337412,31.08817
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 13:00:00+00:00,37.03083333333333,21.070663,14.434168,29.89135
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 14:00:00+00:00,29.38083333333333,19.737873,13.609831,28.964756
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 15:00:00+00:00,31.742500000000003,22.226562,16.13464,31.931147
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 16:00:00+00:00,31.22666666666667,26.620026,20.110298,37.523403
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 17:00:00+00:00,33.82083333333333,30.231081,23.303856,43.581463
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 18:00:00+00:00,38.3425,32.95361,24.108765,49.351765
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 19:00:00+00:00,45.6075,34.76562,23.579477,52.808456
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 20:00:00+00:00,46.48666666666667,36.96025,25.008053,58.069103
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 21:00:00+00:00,50.939166666666665,36.838936,24.153412,61.130615
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 22:00:00+00:00,81.06833333333333,40.585606,25.46649,67.43606
ElecFM,2025-08-01 00:00:00+00:00,HB_HOUSTON,2025-08-01 23:00:00+00:00,88.19583333333333,47.810055,30.014503,79.75639
ElecFM,2025-08-02 00:00:00+00:00,HB_HOUSTON,2025-08-02 00:00:00+00:00,133.15583333333333,93.02469,69.56325,122.80376
ElecFM,2025-08-02 00:00:00+00:00,HB_HOUSTON,2025-08-02 01:00:00+00:00,110.99333333333334,91.01863,67.11881,123.152664
ElecFM,2025-08-02 00:00:00+00:00,HB_HOUSTON,2025-08-02 02:00:00+00:00,77.865,75.026245,54.374245,105.188576
ElecFM,2025-08-02 00:00:00+00:00,HB_HOUSTON,2025-08-02 03:00:00+00:00,61.7725,59.127365,43.248585,84.9791
ElecFM,2025-08-02 00:00:00+00:00,HB_HOUSTON,2025-08-02 04:00:00+00:00,41.36,47.678825,36.51063,68.67459
ElecFM,2025-08-02 00:00:00+00:00,HB_HOUSTON,2025-08-02 05:00:00+00:00,46.696666666666665,41.637054,33.90985,58.96575
ElecFM,2025-08-02 00:00:00+00:00,HB_HOUSTON,2025-08-02 06:00:00+00:00,38.09,36.26359,29.550734,50.98902
