model,origin,node,ts,actual,mean,q10,q90
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 00:00:00+00:00,61.94083333333333,53.84019,37.002724,72.3761
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 01:00:00+00:00,55.4775,50.485245,31.690052,71.414795
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 02:00:00+00:00,47.10916666666666,41.881287,22.881258,63.414032
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 03:00:00+00:00,38.37916666666667,33.67987,15.73064,54.4358
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 04:00:00+00:00,36.36833333333333,27.636942,11.566726,47.09982
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 05:00:00+00:00,38.6525,24.697773,10.155272,42.49312
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 06:00:00+00:00,61.83166666666667,22.74964,10.227463,39.061085
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 07:00:00+00:00,58.82916666666667,19.37871,8.029554,34.40015
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 08:00:00+00:00,46.31583333333333,17.68571,7.108721,31.241734
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 09:00:00+00:00,70.5475,19.24565,8.312267,33.305428
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 10:00:00+00:00,93.25666666666666,21.912178,10.318022,37.548325
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 11:00:00+00:00,102.06666666666666,27.58179,15.154943,43.876953
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 12:00:00+00:00,81.76,33.238167,19.46403,50.240875
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 13:00:00+00:00,86.75416666666666,30.60539,17.207134,47.55828
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 14:00:00+00:00,14.423333333333334,23.932926,10.973906,41.02358
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 15:00:00+00:00,14.481666666666667,20.947887,8.409626,36.858784
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 16:00:00+00:00,13.103333333333332,16.307497,4.697586,32.01873
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 17:00:00+00:00,18.1675,14.786097,4.0123425,30.216373
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 18:00:00+00:00,19.604166666666668,14.148898,3.8083057,30.463366
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 19:00:00+00:00,21.04083333333333,12.4097805,1.5954189,28.185644
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 20:00:00+00:00,21.35,15.126133,4.135952,31.357323
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 21:00:00+00:00,20.78833333333333,17.4922,4.788883,34.581963
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 22:00:00+00:00,41.69583333333333,24.107975,9.975994,41.957333
ElecFM,2025-03-01 00:00:00+00:00,HB_HOUSTON,2025-03-01 23:00:00+00:00,75.20083333333334,37.39237,22.298225,56.314762
ElecFM,2025-03-02 00:00:00+00:00,HB_HOUSTON,2025-03-02 00:00:00+00:00,68.54083333333334,74.170845,48.87858,103.370384
ElecFM,2025-03-02 00:00:00+00:00,HB_HOUSTON,2025-03-02 01:00:00+00:00,39.14416666666667,64.55858,37.336372,96.937225
ElecFM,2025-03-02 00:00:00+00:00,HB_HOUSTON,2025-03-02 02:00:00+00:00,24.855833333333333,54.68761,29.259445,86.40056
ElecFM,2025-03-02 00:00:00+00:00,HB_HOUSTON,2025-03-02 03:00:00+00:00,21.618333333333336,42.618107,20.645868,72.44006
ElecFM,2025-03-02 00:00:00+00:00,HB_HOUSTON,2025-03-02 04:00:00+00:00,23.99416666666667,35.557163,17.366554,61.332924
ElecFM,2025-03-02 00:00:00+00:00,HB_HOUSTON,2025-03-02 05:00:00+00:00,24.636666666666667,33.684856,16.67371,57.093002
ElecFM,2025-03-02 00:00:00+00:00,HB_HOUSTON,2025-03-02 06:00:00+00:00,22.15083333333333,31.969835,16.6041,54.147713
ElecFM,2025-03-02 00:00:00+00:00,HB_HOUSTON,2025-03-02 07:00:00+00:00,20.1175,27.771612,13.637747,50.335365
ElecFM,2025-03-02 00:00:00+00:00,HB_HOUSTON,2025-03-02 08:00:00+00:00,20.339166666666667,23.716534,10.021919,43.204285
ElecFM,2025-03-02 00:00:00+00:00,HB_HOUSTON,2025-03-02 09:00:00+00:00,21.10083333333333,24.580853,11.564965,43.6463
ElecFM,2025-03-02 00:00:00+00:00,HB_HOUSTON,2025-03-02 10:00:00+00:00,20.96166666666667,28.449614,15.108622,47.695168
ElecFM,2025-03-02 00:00:00+00:00,HB_HOUSTON,2025-03-02 11:00:00+00:00,20.4725,34.05211,19.174404,54.926315
ElecFM,2025-03-02 00:00:00+00:00,HB_HOUSTON,2025-03-02 12:00:00+00:00,20.15083333333333,37.93123,22.311056,58.16986
ElecFM,2025-03-02 00:00:00+00:00,HB_HOUSTON,2025-03-02 13:00:00+00:00,12.943333333333332,34.30946,20.41773,55.056538
ElecFM,2025-03-02 00:00:00+00:00,HB_HOUSTON,2025-03-02 14:00:00+00:00,-0.53,23.406334,10.770536,42.09135
ElecFM,2025-03-02 00:00:00+00:00,HB_HOUSTON,2025-03-02 15:00:00+00:00,-2.585833333333333,15.132682,5.704155,31.366276
ElecFM,2025-03-02 00:00:00+00:00,HB_HOUSTON,2025-03-02 16:00:00+00:00,-4.776666666666666,10.963207,3.8470974,25.712664
ElecFM,2025-03-02 00:00:00+00:00,HB_HOUSTON,2025-03-02 17:00:00+00:00,-4.91,9.157005,2.9804,23.144995
ElecFM,2025-03-02 00:00:00+00:00,HB_HOUSTON,2025-03-02 18:00:00+00:00,-4.3325000000000005,8.875427,3.7342625,23.615623
ElecFM,2025-03-02 00:00:00+00:00,HB_HOUSTON,2025-03-02 19:00:00+00:00,-3.315,8.096079,1.0787544,22.895323
ElecFM,2025-03-02 00:00:00+00:00,HB_HOUSTON,2025-03-02 20:00:00+00:00,-2.4966666666666666,12.177148,4.785141,27.820522
ElecFM,2025-03-02 00:00:00+00:00,HB_HOUSTON,2025-03-02 21:00:00+00:00,-2.0475,17.576725,6.636362,35.345917
ElecFM,2025-03-02 00:00:00+00:00,HB_HOUSTON,2025-03-02 22:00:00+00:00,11.986666666666666,26.65125,12.499386,47.073463
