model,origin,covariates_used,multivariate_used,mae,rmse,smape,pinball,coverage
ElecFM,2026-01-01 00:00:00+00:00,False,False,6.17274356948005,6.990192966899236,26.00140248516271,1.7945308433638683,0.8333333333333334
ElecFM,2026-01-02 00:00:00+00:00,False,False,7.870470510588753,9.665339245526996,81.2078803470063,2.7850376057624815,0.625
ElecFM,2026-01-03 00:00:00+00:00,False,False,3.1376549233330615,4.451935253638824,23.714903367722947,1.2893376348636767,1.0
ElecFM,2026-01-04 00:00:00+00:00,False,False,6.600043184492324,8.565332120463136,47.05399398292995,2.15867223766115,0.8333333333333334
ElecFM,2026-01-05 00:00:00+00:00,False,False,3.9031012031767105,4.529211026537405,22.03520126415772,1.4695158768583225,1.0
ElecFM,2026-01-06 00:00:00+00:00,False,False,4.173003843625387,5.002996883156007,20.40362808339149,1.3977971903483073,1.0
ElecFM,2026-01-07 00:00:00+00:00,False,False,3.6073109637366394,4.465876624417754,16.30222623787413,1.234293596126415,1.0
ElecFM,2026-01-08 00:00:00+00:00,False,False,5.463764020601908,6.768429203551803,31.964631054186082,1.8140189207924733,0.5416666666666666
ElecFM,2026-01-09 00:00:00+00:00,False,False,17.663021540641783,20.603056839535373,70.30781414987938,7.2809539608602165,0.16666666666666666
ElecFM,2026-01-10 00:00:00+00:00,False,False,10.365055313110352,13.276585701110438,94.48657599839689,4.078337992385582,0.375
