model,origin,covariates_used,multivariate_used,mae,rmse,smape,pinball,coverage
Naive,2025-08-01 00:00:00+00:00,False,False,38.673541666666665,44.8296011221043,55.458392810713086,11.431758890921579,0.8888888888888888
Naive,2025-08-02 00:00:00+00:00,False,False,52.62931712962964,56.1744953601198,76.22149126658542,14.309293397304918,0.8194444444444444
Naive,2025-08-03 00:00:00+00:00,False,False,17.153726851851857,20.076432943665875,51.31877416948799,7.894295350643229,1.0
Naive,2025-08-04 00:00:00+00:00,False,False,33.502442129629635,38.58423795573284,72.63207718106436,10.90265302761535,0.9027777777777778
Naive,2025-08-05 00:00:00+00:00,False,False,11.82287037037037,12.842554669377769,43.21063476392256,6.98460364926625,1.0
Naive,2025-08-06 00:00:00+00:00,False,False,8.65960648148148,10.78221353092876,31.589374763562507,6.407963694310716,1.0
Naive,2025-08-07 00:00:00+00:00,False,False,17.098784722222224,21.63237970558177,46.21390407077882,8.352837991289668,0.875
Naive,2025-08-08 00:00:00+00:00,False,False,24.098194444444445,29.790803354170944,62.35671509689925,9.806869155090745,0.9166666666666666
Naive,2025-08-09 00:00:00+00:00,False,False,24.348321759259264,30.082126434733006,70.65060253464988,9.329553955921545,0.9444444444444444
Naive,2025-08-10 00:00:00+00:00,False,False,23.358171296296298,29.645500750327262,54.54790713128204,8.939276836586453,0.9166666666666666
SeasonalNaive,2025-08-01 00:00:00+00:00,False,False,26.065069444444447,49.61419892231388,34.17761377059724,10.369513023410631,0.8194444444444444
SeasonalNaive,2025-08-02 00:00:00+00:00,False,False,17.367650462962967,26.23049643118903,27.524440583378784,6.5247450596016705,0.8055555555555556
SeasonalNaive,2025-08-03 00:00:00+00:00,False,False,25.240405092592592,35.855604161119274,55.715749683183176,8.752749657777136,0.7777777777777778
SeasonalNaive,2025-08-04 00:00:00+00:00,False,False,12.908645833333335,19.685447981193956,35.178655278002935,4.991623179036165,0.9166666666666666
SeasonalNaive,2025-08-05 00:00:00+00:00,False,False,10.700243055555555,16.658250485858776,32.0005666109484,4.49115898238859,0.9027777777777778
SeasonalNaive,2025-08-06 00:00:00+00:00,False,False,4.9677546296296295,6.9799972446623375,17.772618744447104,3.2780540969660286,1.0
SeasonalNaive,2025-08-07 00:00:00+00:00,False,False,12.567835648148149,17.827919367112425,34.322123836957076,4.72788678790149,0.9305555555555556
SeasonalNaive,2025-08-08 00:00:00+00:00,False,False,8.651655092592595,12.873831825150916,24.922567965226794,3.8507179776528653,0.9583333333333334
SeasonalNaive,2025-08-09 00:00:00+00:00,False,False,8.755243055555557,14.242766292298054,24.771401525726354,3.8869191260070113,0.9444444444444444
SeasonalNaive,2025-08-10 00:00:00+00:00,False,False,12.493877314814815,20.44237430949097,36.628539428774786,4.977096072430876,0.9166666666666666
ETS,2025-08-01 00:00:00+00:00,False,False,25.554451561938258,28.81482586101474,42.08588032524061,7.616763744955878,0.4444444444444444
ETS,2025-08-02 00:00:00+00:00,False,False,37.414879651670454,39.862954840280494,61.37005878196494,11.111851744245426,0.3194444444444444
ETS,2025-08-03 00:00:00+00:00,False,False,13.78782565578634,18.111655453981424,59.08170936777364,4.845629794845291,0.9583333333333334
ETS,2025-08-04 00:00:00+00:00,False,False,17.986483727671423,22.512076853795808,47.24260120153098,5.823554096175054,0.8888888888888888
ETS,2025-08-05 00:00:00+00:00,False,False,16.602769425184448,19.14059311913616,103.56661575491697,5.233942508209146,0.9722222222222222
ETS,2025-08-06 00:00:00+00:00,False,False,19.871497470451178,23.045545236347596,125.22502193166989,5.927311545759697,0.9444444444444444
ETS,2025-08-07 00:00:00+00:00,False,False,22.948969372009987,25.002119552563464,111.24209052571659,6.341232036752278,0.9444444444444444
ETS,2025-08-08 00:00:00+00:00,False,False,13.356143834114961,16.757497465921073,66.49490005697123,4.6750405064760825,0.9583333333333334
ETS,2025-08-09 00:00:00+00:00,False,False,18.23300479682615,22.556196608930758,97.62781001422961,5.755080659888695,0.8611111111111112
ETS,2025-08-10 00:00:00+00:00,False,False,24.397948024676783,28.415286636417992,104.23258428560445,7.213549751232751,0.8194444444444444
Theta,2025-08-01 00:00:00+00:00,False,False,16.375825198319504,21.06869444379003,26.629299709723732,5.167657206011466,0.8055555555555556
Theta,2025-08-02 00:00:00+00:00,False,False,27.37755877033523,32.218158100305835,46.17165309957291,8.120910589518296,0.6944444444444444
Theta,2025-08-03 00:00:00+00:00,False,False,9.746219165639936,14.542989584141402,28.19875218700526,4.122444988794118,0.9722222222222222
Theta,2025-08-04 00:00:00+00:00,False,False,14.946853735760206,19.534838480984305,38.39086271015375,5.1920041311427445,0.9166666666666666
Theta,2025-08-05 00:00:00+00:00,False,False,7.215697432583523,9.567018715721204,33.79986463405688,3.642557891672491,1.0
Theta,2025-08-06 00:00:00+00:00,False,False,8.20624288310119,10.434498855938186,36.34065055978357,3.838272781623832,0.9861111111111112
Theta,2025-08-07 00:00:00+00:00,False,False,14.875477802849723,18.94497034626749,45.8211372717331,4.965926671626698,0.9305555555555556
Theta,2025-08-08 00:00:00+00:00,False,False,10.491177139250718,15.594164044936095,32.64328781536103,4.310556214015446,0.9444444444444444
Theta,2025-08-09 00:00:00+00:00,False,False,13.283864587502109,20.626260920870457,43.209508226468216,4.899268995887088,0.8333333333333334
Theta,2025-08-10 00:00:00+00:00,False,False,18.374150195395444,24.652872319243116,52.496741117029146,6.085643631398457,0.8611111111111112
RandomForest,2025-08-01 00:00:00+00:00,False,False,20.595851701133043,25.058454718048033,34.76103211378616,9.382415296022856,0.08333333333333333
RandomForest,2025-08-02 00:00:00+00:00,False,False,37.344232732806034,40.866059093252524,61.70561840504024,17.547712762567862,0.08333333333333333
RandomForest,2025-08-03 00:00:00+00:00,False,False,17.61486745442878,20.40634643837905,52.237180453758725,7.699502304443698,0.125
