model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
TimesFM,False,False,10,10.693566512090188,4.3914514571175935,15.151046905656898,5.7200860503112,28.229296410687766,6.459432354131502,3.394258520882071,1.2111856471650024,0.8055555555555556,0.10337663369960218,0.7653657693738695,0.36363636363636365,0.7692307692307693,0.23809523809523808,0.43076923076923074
Chronos2,False,False,10,10.820007384865374,4.082273474961927,15.078942111664091,5.397944133227555,29.047855580853412,6.9846643797769,3.485045992568687,1.4166087775103182,0.7291666666666667,0.1256541525353727,0.7744154644183124,0.5,0.8333333333333334,0.35714285714285715,0.407185628742515
SeasonalNaive,False,False,10,13.971837962962965,6.613156743573851,22.04108870203896,11.811807493653207,32.30142774272426,9.633178985025868,5.585046396317246,2.183467658913437,0.8972222222222221,0.06866226163504596,1.0,0.3516483516483516,0.32653061224489793,0.38095238095238093,0.2857142857142857
Theta,False,False,10,14.089306691073755,5.619909007518804,18.718446581219816,6.378940771417177,38.370175733088765,7.990427281268766,5.034524310169063,1.241803636382918,0.8944444444444445,0.09090593428863095,1.0084075358175624,0.42857142857142855,0.375,0.5,0.3394495412844037
Toto,False,False,10,17.10602414002684,4.99532265550882,31.4260974633263,10.49800820378437,41.98083563178737,8.648142191661682,4.610605753076515,1.2561433162107305,0.798611111111111,0.09587358253012397,1.224321680896392,0.4,0.45454545454545453,0.35714285714285715,0.375
LightGBM,False,False,10,19.516113059637256,6.7426958200797085,23.564001499068258,7.64429184929119,49.026579327498354,13.596031950272037,7.7977849140455815,3.218426443027877,0.29999999999999993,0.13611111111111113,1.396817878318604,0.24137931034482757,0.4375,0.16666666666666666,0.32
ETS,False,False,10,21.015397352033,6.73293515442669,24.42187516283895,6.399100285081624,81.8169272245619,28.14119178877645,6.454395638854031,1.7899909541656993,0.8111111111111111,0.22128273629616038,1.5041254706604346,0.41379310344827586,0.32432432432432434,0.5714285714285714,0.2836879432624113
XGBoost,False,False,10,23.862273549592054,9.986914169360455,29.123877579892063,11.355783575593964,54.353025592919835,14.709038932514973,11.834921827664797,4.993610346102172,0.005555555555555555,0.009212846639876109,1.7078836451472599,0.16417910447761191,0.11956521739130435,0.2619047619047619,0.16176470588235295
RandomForest,False,False,10,24.718263364333378,16.06291080750379,31.23637382591276,22.390387606801344,53.281565556727585,16.722402693387114,11.32414457102443,7.976397759233303,0.1388888888888889,0.09820927516479827,1.7691490146004707,0.2,0.15384615384615385,0.2857142857142857,0.19402985074626866
Naive,False,False,10,25.13449768518519,12.613593788977232,29.44403458267423,13.44615603021483,56.41998737889459,13.484616184019579,9.435910594895045,2.213756147408356,0.9263888888888887,0.057282196186948006,1.7989399642203545,0.2150537634408602,0.1388888888888889,0.47619047619047616,0.10149253731343284
