model,origin,covariates_used,multivariate_used,mae,rmse,smape,pinball,coverage
Naive,2025-03-02 06:00:00+00:00,False,False,26.059236111111115,33.84567280055947,102.52757081567674,15.316913202891106,1.0
Naive,2025-03-03 06:00:00+00:00,False,False,26.05283564814815,38.24998017819526,61.95822285804249,15.330656213796393,0.9861111111111112
Naive,2025-03-04 06:00:00+00:00,False,False,23.43069444444444,28.64215484428901,107.48844413051914,14.785173472239302,0.9861111111111112
Naive,2025-03-05 06:00:00+00:00,False,False,26.768576388888885,34.80335378790654,81.06720534638183,15.306663624142866,1.0
Naive,2025-03-06 06:00:00+00:00,False,False,20.817175925925923,27.157635505365405,105.59123391836766,14.575919985518176,0.9861111111111112
Naive,2025-03-07 06:00:00+00:00,False,False,19.69008101851852,29.996099236659244,61.62402259557469,14.229337391949352,0.9861111111111112
Naive,2025-03-08 06:00:00+00:00,False,False,17.839780092592594,23.250968393188806,69.58059926744792,13.89203920847801,1.0
Naive,2025-03-09 06:00:00+00:00,False,False,19.40627314814815,26.238338550966287,57.1700691417762,14.098060643648646,1.0
Naive,2025-03-10 06:00:00+00:00,False,False,28.750046296296293,37.44828083323678,74.82907102794306,15.67856035635503,1.0
Naive,2025-03-11 06:00:00+00:00,False,False,18.14258101851852,26.16693353673035,112.18272024854954,13.982913960195605,1.0
Naive,2025-03-12 06:00:00+00:00,False,False,35.80056712962963,51.75712787258595,88.32745852153516,17.44275082242559,0.9027777777777778
Naive,2025-03-13 06:00:00+00:00,False,False,15.357557870370366,21.689495272582953,38.90951861771686,13.466454868741442,1.0
Naive,2025-03-14 06:00:00+00:00,False,False,11.5815625,14.488065284791254,67.20755686396328,12.857941288412997,1.0
Naive,2025-03-15 06:00:00+00:00,False,False,33.492662037037036,40.93167113719318,94.98544823552486,16.847969332599963,0.9722222222222222
Naive,2025-03-16 06:00:00+00:00,False,False,44.02873842592592,48.42512032749778,114.12038243583791,18.26502589386022,1.0
Naive,2025-03-17 06:00:00+00:00,False,False,26.866921296296294,36.346795408906594,108.22465542206588,15.460519099195524,1.0
Naive,2025-03-18 06:00:00+00:00,False,False,19.075879629629632,23.816821554650183,102.54112480256117,14.159274509729167,1.0
Naive,2025-03-19 06:00:00+00:00,False,False,18.700787037037042,23.892615333143453,101.73460465765558,14.10316011826088,1.0
Naive,2025-03-20 06:00:00+00:00,False,False,16.70782407407407,22.179865699283923,68.67078696045006,13.870860295873152,0.9722222222222222
Naive,2025-03-21 06:00:00+00:00,False,False,16.996388888888887,21.055457373433505,102.13482182686482,13.858407923153143,1.0
Naive,2025-03-22 06:00:00+00:00,False,False,16.186041666666668,21.824443695358713,91.61236944139927,9.735823808286176,1.0
Naive,2025-03-23 06:00:00+00:00,False,False,13.555092592592592,21.086383491028275,52.06635640808658,6.556200280198372,1.0
Naive,2025-03-24 06:00:00+00:00,False,False,27.676377314814815,41.20736965354017,77.98892545225846,9.60834600840503,0.9305555555555556
Naive,2025-03-25 06:00:00+00:00,False,False,16.62733796296296,27.332852512779187,46.030674875839914,7.375557150113803,0.9722222222222222
Naive,2025-03-26 06:00:00+00:00,False,False,11.32916666666667,17.19249846397091,41.58012012853845,6.45553953744573,1.0
Naive,2025-03-27 06:00:00+00:00,False,False,10.91579861111111,14.044475551908786,34.02780901153897,6.2956116153628985,1.0
Naive,2025-03-28 06:00:00+00:00,False,False,13.175914351851851,16.599110507123587,32.446140592596684,6.657140028524309,1.0
Naive,2025-03-29 06:00:00+00:00,False,False,25.083680555555556,43.22342719507159,55.55715928188979,9.425986930450572,0.9305555555555556
Naive,2025-03-30 06:00:00+00:00,False,False,45.39056712962963,50.869709057596864,73.3063256098971,13.433931729555775,0.6805555555555556
SeasonalNaive,2025-03-02 06:00:00+00:00,False,False,37.2921875,42.99795033482126,126.95003121541488,14.850568765254225,0.9027777777777778
SeasonalNaive,2025-03-03 06:00:00+00:00,False,False,31.273969907407402,43.522000386258995,100.64462736227551,14.460584274894288,0.9166666666666666
SeasonalNaive,2025-03-04 06:00:00+00:00,False,False,24.68320601851852,34.245451597006976,95.96661674324758,12.822614044291896,0.9722222222222222
SeasonalNaive,2025-03-05 06:00:00+00:00,False,False,17.492048611111112,26.662444906880218,102.7682422742499,11.591340190192469,0.9722222222222222
SeasonalNaive,2025-03-06 06:00:00+00:00,False,False,21.011956018518518,30.842091829263246,114.022962498695,12.38229188438109,0.9583333333333334
SeasonalNaive,2025-03-07 06:00:00+00:00,False,False,28.811516203703704,37.276681793402965,114.60141935525898,13.686577111503473,0.9305555555555556
SeasonalNaive,2025-03-08 06:00:00+00:00,False,False,19.982152777777777,27.198443135038218,66.10828203721633,11.849826201219978,0.9722222222222222
SeasonalNaive,2025-03-09 06:00:00+00:00,False,False,21.588692129629628,25.813805720756598,83.73157555347956,12.055306587340148,1.0
SeasonalNaive,2025-03-10 06:00:00+00:00,False,False,20.946018518518517,28.7597281317235,69.08834925651774,12.09830397651236,0.9583333333333334
SeasonalNaive,2025-03-11 06:00:00+00:00,False,False,23.282326388888887,34.65454196369285,116.23153981353542,12.815226308964485,0.9027777777777778
SeasonalNaive,2025-03-12 06:00:00+00:00,False,False,15.906967592592594,22.734425147477676,111.94934397097363,11.018302040250711,0.9861111111111112
