model,origin,node,ts,actual,mean,q10,q90
Naive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 06:00:00+00:00,23.206666666666667,26.204166666666666,-59.873317481410126,112.28165081474346
Naive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 07:00:00+00:00,22.694166666666664,26.204166666666666,-95.52777883049865,147.93611216383198
Naive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 08:00:00+00:00,23.594166666666663,26.204166666666666,-122.88640926550697,175.2947425988403
Naive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 09:00:00+00:00,23.684166666666663,26.204166666666666,-145.95080162948693,198.35913496282024
Naive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 10:00:00+00:00,23.366666666666664,26.204166666666666,-166.27093922059362,218.67927255392692
Naive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 11:00:00+00:00,22.495,26.204166666666666,-184.64174783862904,237.05008117196235
Naive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 12:00:00+00:00,20.9175,26.204166666666666,-201.53544987124906,253.94378320458236
Naive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 13:00:00+00:00,14.138333333333334,26.204166666666666,-217.25972432766395,269.6680576609973
Naive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 14:00:00+00:00,0.8983333333333334,26.204166666666666,-232.02828577756372,284.436619110897
Naive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 15:00:00+00:00,-1.768333333333333,26.204166666666666,-245.9967384982944,298.4050718316277
Naive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 16:00:00+00:00,-4.373333333333334,26.204166666666666,-259.2825511502688,311.6908844836021
Naive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 17:00:00+00:00,-4.704166666666667,26.204166666666666,-271.9769851976806,324.3853185310139
Naive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 18:00:00+00:00,-4.189166666666666,26.204166666666666,-284.15261609216293,336.56094942549623
Naive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 19:00:00+00:00,-3.0050000000000003,26.204166666666666,-295.8682877309017,348.27662106423503
Naive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 20:00:00+00:00,-2.0766666666666667,26.204166666666666,-307.1724959222677,359.580829255601
Naive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 21:00:00+00:00,-1.78,26.204166666666666,-318.1057699256405,370.5141032589738
Naive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 22:00:00+00:00,11.379166666666668,26.204166666666666,-328.70239246328373,381.11072579661703
Naive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 23:00:00+00:00,38.333333333333336,26.204166666666666,-338.9916698248292,391.4000031581625
Naive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-03 00:00:00+00:00,81.715,26.204166666666666,-348.9988880490244,401.4072213823577
Naive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-03 01:00:00+00:00,109.11333333333334,26.204166666666666,-358.7460451078539,411.1543784411872
Naive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-03 02:00:00+00:00,93.03416666666668,26.204166666666666,-368.25242007325664,420.66075340658995
Naive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-03 03:00:00+00:00,59.32333333333333,26.204166666666666,-377.5350215474242,429.9433548807575
Naive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-03 04:00:00+00:00,45.82916666666667,26.204166666666666,-386.6089452581309,439.0172785914642
Naive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-03 05:00:00+00:00,38.34666666666667,26.204166666666666,-395.48766234392474,447.89599567725804
Naive,2025-03-02 06:00:00+00:00,LZ_RAYBN,2025-03-02 06:00:00+00:00,18.975,20.384166666666665,-9.248784930437594,50.017118263770925
Naive,2025-03-02 06:00:00+00:00,LZ_RAYBN,2025-03-02 07:00:00+00:00,17.4925,20.384166666666665,-21.52315537510365,62.29148870843698
