model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
TimesFM,False,False,30,30.289531572704696,46.85994456801156,43.70138311079594,74.1299688739003,63.94159204898743,29.594860850548184,11.296002458694783,18.84186034285963,0.7537037037037038,0.2178072227511725,0.62457304159746,0.6867469879518072,0.76,0.6263736263736264,0.6344827586206897
Chronos2,False,False,30,32.340403422561685,49.567929236346906,45.475564970080875,75.14188614497118,64.8596896135508,29.97248882827312,12.269599647948773,20.444764309377486,0.7101851851851853,0.2535684960071983,0.6668622155358936,0.7678244972577697,0.7664233576642335,0.7692307692307693,0.6460674157303371
Theta,False,False,30,39.62382389278923,60.1624560537667,51.112606631112584,78.3637845572156,77.10997731723033,32.522754614314394,15.940366629012704,26.125137938896746,0.8004629629629629,0.27144359861503636,0.8170470431026086,0.7499999999999999,0.6959247648902821,0.8131868131868132,0.5575757575757576
RandomForest,False,False,30,41.22238875022568,54.66773428935049,54.77017930046543,78.29875279290991,72.37365000440113,25.89895928922207,19.63511574782143,27.24019972340769,0.10462962962962961,0.07697446711154045,0.8500096035437749,0.6712095400340714,0.6273885350318471,0.7216117216117216,0.6666666666666666
XGBoost,False,False,30,42.256266705407036,55.194928029598834,56.06539033058023,79.13823559217597,73.88442452067441,25.867691848692154,21.009618762106665,27.590075787801123,0.011574074074074075,0.012465659275774314,0.8713282659852264,0.6787003610108303,0.6690391459074733,0.6886446886446886,0.6798561151079136
Naive,False,False,30,43.80397646604938,60.10592744270569,54.883525422199554,76.9530024592089,73.47159087233034,26.404822987010178,17.432899663487085,25.671613359460558,0.8050925925925926,0.2403616138620752,0.9032421894605424,0.7014218009478673,0.6166666666666667,0.8131868131868132,0.451071761416589
ETS,False,False,30,47.44580927547055,93.57765210827631,59.822289650996986,111.40998243064584,78.64511161420255,34.12975974869535,19.954786652339774,43.14154208599047,0.8138888888888888,0.2805784735780544,0.9783371307378563,0.7302631578947368,0.6626865671641791,0.8131868131868132,0.5852417302798982
SeasonalNaive,False,False,30,48.496380015432095,71.72981646931645,69.68774242951989,106.42216829969372,80.89379419725728,31.839622289936806,18.880506477479017,29.51783603909379,0.750925925925926,0.2248665966358251,1.0,0.6319702602230484,0.6415094339622641,0.6227106227106227,0.5343320848938827
Toto,False,False,30,55.82552689884138,89.45392557842466,111.70888537296356,235.3531538523693,72.07119083655212,27.93846656281489,15.595263060871227,23.728936895049877,0.7416666666666667,0.1992010792110518,1.1511277105853481,0.6258992805755397,0.6148409893992933,0.6373626373626373,0.6182795698924731
LightGBM,False,False,30,57.133081390329046,88.1876804326952,72.57830973553054,111.04293538586792,76.18420655203354,29.544894348491322,26.739835334357952,43.22350870662205,0.18379629629629632,0.13938261011598072,1.1780896094130873,0.6879194630872483,0.6346749226006192,0.7509157509157509,0.6887417218543045
