model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
TimesFM,False,False,10,12.758829130440162,1.8826571266182142,18.736876798647202,3.060639565850474,34.455645160080095,3.8257481847476362,4.1221328321654855,0.6270777802433309,0.757936507936508,0.0849799525808291,0.7157684461188557,0.1527777777777778,0.4583333333333333,0.09166666666666666,0.20833333333333334
Chronos2,False,False,10,16.742563122020194,4.93559865998837,23.71555739285358,5.859647595479957,43.48159246698283,9.787080410856237,5.1599843767530285,1.3530234642386567,0.7656746031746031,0.1257330796537808,0.9392553397634401,0.18018018018018017,0.19607843137254902,0.16666666666666666,0.22944550669216066
SeasonalNaive,False,False,10,17.825358465608467,6.66608318781609,27.03182799269635,11.940982623284256,42.36014280535013,8.92038781198472,6.589335514278169,2.3358563809505157,0.8581349206349206,0.08399327686984741,1.0,0.20926243567753003,0.17784256559766765,0.25416666666666665,0.17817947062621045
LightGBM,False,False,10,18.445921422661513,3.534521724312324,25.105137116100924,3.6895436376565414,49.136280020765945,7.792030031066814,7.446105721893912,1.6837197407878128,0.38908730158730165,0.07635383652593876,1.0348134910302274,0.0546875,0.4375,0.029166666666666667,0.08362369337979095
XGBoost,False,False,10,23.52684366695717,10.374922517965691,30.80376333023034,10.331187276014385,53.369371703196705,14.087120232620462,11.667855434391885,5.188275750654854,0.015079365079365078,0.006160386784230167,1.3198524850060616,0.06292749658002736,0.04684317718940937,0.09583333333333334,0.06275579809004092
RandomForest,False,False,10,24.518520688810227,12.083221967411582,30.609654613717122,13.453374384167986,57.75433647599184,16.235217009954244,11.219750398810326,5.9848783964153816,0.1378968253968254,0.08911469512021776,1.375485420734471,0.06624605678233439,0.0532994923857868,0.0875,0.06769230769230769
Theta,False,False,10,24.672354769604976,11.213832049821674,32.12890942412412,12.349998291907907,68.59918031294914,25.577702648202838,8.340337189315694,3.437740207599168,0.7537698412698413,0.15493846765859356,1.3841154901432602,0.1834862385321101,0.14492753623188406,0.25,0.12605042016806722
Naive,False,False,10,29.34590211640212,16.90127486343157,34.663798098694414,15.96223318198879,62.82195210730161,20.455912233982225,18.42480488357632,5.120121384694803,0.9878968253968253,0.014014455068579602,1.6463008120156981,0.07692307692307693,0.047619047619047616,0.2,0.09009708737864079
ETS,False,False,10,56.28969826382373,35.084247906505475,63.87009841541287,37.16742234367794,117.98750058174987,50.75225444024897,21.206884569858858,15.236980575227292,0.4412698412698413,0.33021285995523947,3.157843830878735,0.12223858615611193,0.0742397137745975,0.3458333333333333,0.11732101616628175
Toto,False,False,10,62.22122883808878,38.94433126319616,364.3600914979103,438.42481297362326,66.5194640154779,5.884076282702355,13.452614902406879,6.448327173656541,0.9323412698412697,0.033229832700528525,3.490601827623042,0.1975642760487145,0.1462925851703407,0.30416666666666664,0.1774931381518756
