model,origin,node,ts,actual,mean,q10,q90
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 00:00:00+00:00,81.94416666666666,103.49,76.98965683883415,129.99034316116584
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 01:00:00+00:00,113.745,103.49,66.01285529393817,140.96714470606182
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 02:00:00+00:00,131.26416666666668,103.49,57.59005922685033,149.38994077314965
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 03:00:00+00:00,81.84166666666667,103.49,50.489313677668314,156.49068632233167
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 04:00:00+00:00,40.01416666666667,103.49,44.2334312645615,162.74656873543847
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 05:00:00+00:00,43.8975,103.49,38.57768124648993,168.40231875351006
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 06:00:00+00:00,46.44166666666666,103.49,33.3766823376839,173.6033176623161
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 07:00:00+00:00,42.571666666666665,103.49,28.535710587876338,178.44428941212365
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 08:00:00+00:00,47.1775,103.49,23.988970516502462,182.99102948349753
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 09:00:00+00:00,45.70416666666667,103.49,19.68855683464936,187.29144316535064
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 10:00:00+00:00,44.36083333333334,103.49,15.598304918752191,191.3816950812478
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 11:00:00+00:00,49.01,103.49,11.690118453700663,195.28988154629934
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 12:00:00+00:00,39.73333333333333,103.49,7.9416539150250856,199.0383460849749
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 13:00:00+00:00,35.8525,103.49,4.334795258979526,202.64520474102045
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 14:00:00+00:00,28.8,103.49,0.8546122680230752,206.1253877319769
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 15:00:00+00:00,27.44833333333333,103.49,-2.5113726446633677,209.49137264466336
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 16:00:00+00:00,26.848333333333333,103.49,-5.773713968601399,212.7537139686014
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 17:00:00+00:00,51.79,103.49,-8.941434118185498,215.9214341181855
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 18:00:00+00:00,67.0175,103.49,-12.022317808671119,219.0023178086711
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 19:00:00+00:00,85.1575,103.49,-15.02313747087699,222.003137470877
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 20:00:00+00:00,87.14999999999999,103.49,-17.949828478347797,224.9298284783478
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 21:00:00+00:00,60.70333333333334,103.49,-20.80762720386133,227.78762720386132
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 22:00:00+00:00,91.97833333333334,103.49,-23.601181110923775,230.58118111092375
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 23:00:00+00:00,99.82333333333334,103.49,-26.334637507020133,233.3146375070201
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-02 00:00:00+00:00,151.14083333333335,103.49,-29.011715805829212,235.9917158058292
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-02 01:00:00+00:00,124.3225,103.49,-31.635766895689713,238.61576689568972
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-02 02:00:00+00:00,81.62833333333333,103.49,-34.209822319449,241.18982231944898
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-02 03:00:00+00:00,63.943333333333335,103.49,-36.73663532463219,243.7166353246322
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-02 04:00:00+00:00,44.54,103.49,-39.218715368497826,246.1987153684978
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-02 05:00:00+00:00,49.6375,103.49,-41.65835730998295,248.63835730998295
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-02 06:00:00+00:00,41.09333333333333,103.49,-44.05766625550545,251.03766625550543
