model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
TimesFM,False,False,30,12.613142071991792,3.695365310153772,18.674286859943784,6.0915672278449415,29.00531349554764,5.155630952201064,4.1680616373014425,1.2560788198194306,0.7775462962962963,0.09525934070974572,0.8058663741139445,0.20997375328083992,0.5063291139240507,0.13245033112582782,0.30288461538461536
Chronos2,False,False,30,14.154875256067442,3.9253269889747964,20.244795089698435,5.729916759036237,32.59849161076835,6.167826400157545,4.600666794946654,1.4307943727183363,0.7293981481481482,0.11418608655534959,0.9043692629112632,0.24086021505376343,0.34355828220858897,0.18543046357615894,0.29823413996075865
SeasonalNaive,False,False,30,15.651654513888891,5.211232237480456,23.659633300390627,8.299242051725654,34.04788654171735,7.2227346372610155,5.8254932416301966,1.7949878339771286,0.8416666666666666,0.08504038619356462,1.0,0.28037383177570097,0.2647058823529412,0.2980132450331126,0.2658227848101266
Theta,False,False,30,19.130438054615414,11.669950670241299,26.57977757477785,15.767573451132067,41.11289948139043,13.653714584689297,7.023210556230105,4.774913346264609,0.7972222222222222,0.16944444444444445,1.2222629906403528,0.3060959792477302,0.2515991471215352,0.39072847682119205,0.2490842490842491
Toto,False,False,30,22.889961876213917,8.914199812385347,49.12851454397393,34.97235727438782,45.88367128029372,8.987818359302233,6.224199075409634,2.0807748026791364,0.8682870370370371,0.07282254360191594,1.462462761103111,0.26490066225165565,0.26490066225165565,0.26490066225165565,0.26912339475153546
LightGBM,False,False,30,24.903460683830485,11.17287101535036,31.358689995188612,14.896151124698155,51.06752983249093,11.101155480720319,10.481300786732413,5.464249474729637,0.2543981481481481,0.12299685255042662,1.5911072316177033,0.19614711033274956,0.20817843866171004,0.18543046357615894,0.17678100263852245
XGBoost,False,False,30,28.781616120153004,9.056684946946863,34.64313429235131,9.427256864137851,57.73581780527197,11.697743191739344,14.29057771824109,4.526572426101852,0.006944444444444445,0.009142785952838657,1.8388864956489366,0.15602836879432624,0.11240875912408758,0.25496688741721857,0.15384615384615383
ETS,False,False,30,28.816978398179966,15.383698506820588,34.484661675503425,17.45148165699419,78.4779580743454,38.58109342456818,9.688580472760059,6.224168955229643,0.6525462962962962,0.2517906762915429,1.8411458272739467,0.26875000000000004,0.196048632218845,0.4271523178807947,0.22896698615548455
Naive,False,False,30,33.22713406635802,20.831384349545218,38.25552128137014,22.15650055466831,61.383049353172616,16.062508774905368,12.851683641567641,5.341510672172962,0.9210648148148148,0.1269837868230122,2.122915122926658,0.1763869132290185,0.11231884057971014,0.4105960264900662,0.12822267853068675
RandomForest,False,False,30,34.53461668532237,17.16503703496476,43.88960723287419,22.170929581445204,61.09471798226938,15.985197316734384,16.227997852804695,8.551417112020228,0.08541666666666668,0.07560944939257631,2.206451506751392,0.17299205648720212,0.11793020457280386,0.32450331125827814,0.17970565453137105
