model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
TimesFM,False,False,28,15.424265830845982,3.773096989603725,22.025642232584783,6.281120790419841,78.71749870189369,15.911895867720354,5.0934057063072915,1.3097346186998464,0.7857142857142857,0.09578936846860937,0.768478881232436,0.0,0.0,0.0,0.13304721030042918
Chronos2,False,False,28,15.426698107290518,4.066607146980476,22.332553430962115,6.509806542865304,78.88216151856889,17.665794364541714,5.073036797423526,1.3559031122123077,0.790922619047619,0.09235886002661424,0.7686000638612523,0.0,0.0,0.0,0.15053763440860216
SeasonalNaive,False,False,28,20.071164227843916,5.703572921225938,28.64530723138594,6.9049392231195235,88.72129153454625,23.53824928938584,6.971868177256775,1.7628324593369042,0.8293650793650794,0.11274879057897659,1.0,0.042194092827004225,0.04310344827586207,0.04132231404958678,0.07552447552447553
ETS,False,False,28,20.53501360250605,7.098441727390061,27.4516066758068,7.947984154207604,87.31285156722124,20.637196786163862,6.890564372488378,2.216423876334785,0.824156746031746,0.1410063486362427,1.0231102376223227,0.12087912087912088,0.18032786885245902,0.09090909090909091,0.09405940594059407
Theta,False,False,28,21.495535965528926,7.914339097614227,28.856847130852717,8.971940787202017,85.55268467296098,18.540368170772446,7.130843245910951,2.4116045406482596,0.8112599206349207,0.15596925363863656,1.0709660745891878,0.08163265306122448,0.10666666666666667,0.06611570247933884,0.08812729498164015
Naive,False,False,28,22.62013289517196,8.470847720701768,30.38078558898369,9.66812848580965,79.02902588286199,23.29812871989183,10.132289333001278,1.632797844035114,0.9749503968253969,0.026724789251044132,1.1269965527855113,0.02366863905325444,0.041666666666666664,0.01652892561983471,0.0652297220646625
XGBoost,False,False,28,24.90266758622533,10.743432819228003,34.28961361770111,14.408345688859372,79.83805329887856,23.218440704054714,12.28409770853555,5.367953207438699,0.029761904761904764,0.023392512147919833,1.240718640111512,0.025531914893617023,0.02631578947368421,0.024793388429752067,0.03375527426160338
Toto,False,False,28,26.041396336620863,5.841993633627229,51.631865379263104,24.06102488970672,89.64122450564876,18.595192527645388,6.992529697709913,1.3623383162549383,0.7956349206349206,0.09121590884105234,1.2974532040595177,0.04020100502512563,0.05128205128205128,0.03305785123966942,0.08593749999999999
RandomForest,False,False,28,27.19874136455387,19.602670102865208,38.150484896044766,27.459623197917303,80.5988311380555,25.285646199246937,11.656435212683968,9.420206156560296,0.39236111111111116,0.17701523745181785,1.3551152815949836,0.04152249134948097,0.03571428571428571,0.049586776859504134,0.049079754601226995
LightGBM,False,False,28,37.098776951249775,51.28341119620226,58.06598435306609,94.40386290822065,84.76601602635131,24.2218548574732,15.9502708665759,24.6962898978772,0.5902777777777777,0.17788392788259932,1.848361984890948,0.053156146179401995,0.044444444444444446,0.06611570247933884,0.059443911792905084
