model,origin,covariates_used,multivariate_used,mae,rmse,smape,pinball,coverage
Naive,2025-08-01 00:00:00+00:00,False,False,90.93180555555556,100.14596565763395,73.77776804175318,26.380870727720605,0.6527777777777778
Naive,2025-08-01 06:00:00+00:00,False,False,8.89,14.778822592555276,13.362344778327987,9.12691746546905,1.0
Naive,2025-08-01 12:00:00+00:00,False,False,19.050555555555555,20.18024769972416,45.51285501112324,10.903954976968214,1.0
Naive,2025-08-01 18:00:00+00:00,False,False,27.378333333333337,39.94304695438243,47.99795922124901,10.441951008699988,0.9861111111111112
Naive,2025-08-02 00:00:00+00:00,False,False,70.60041666666666,78.70245740374877,62.629725843157594,19.766672688584304,0.4166666666666667
Naive,2025-08-02 06:00:00+00:00,False,False,10.341388888888892,12.216974188944388,20.90955203126316,6.461546197381893,1.0
Naive,2025-08-02 12:00:00+00:00,False,False,22.807361111111113,28.21062671622561,50.15654898540293,8.699486798880253,0.9583333333333334
Naive,2025-08-02 18:00:00+00:00,False,False,7.5569444444444445,9.216269280161276,21.039584342726044,5.0790431068776405,1.0
Naive,2025-08-03 00:00:00+00:00,False,False,16.604027777777777,18.03881505562688,36.5698620277849,6.1755127363977635,1.0
Naive,2025-08-03 06:00:00+00:00,False,False,6.349166666666667,10.63368259614493,17.858808743786543,4.331356480905421,1.0
SeasonalNaive,2025-08-01 00:00:00+00:00,False,False,50.78805555555555,62.484481762363295,67.44217484750646,16.69880870636295,0.9444444444444444
SeasonalNaive,2025-08-01 06:00:00+00:00,False,False,35.72013888888888,47.13876145959336,44.75836934172304,14.164921048743677,1.0
SeasonalNaive,2025-08-01 12:00:00+00:00,False,False,24.35361111111111,31.041858836094207,49.78432286922768,12.070040558350174,1.0
SeasonalNaive,2025-08-01 18:00:00+00:00,False,False,36.260555555555555,46.216486085715246,64.59475163645227,12.268952468718894,0.9583333333333334
SeasonalNaive,2025-08-02 00:00:00+00:00,False,False,52.602361111111115,65.60065049855324,65.45625908463948,17.63035894696029,0.5833333333333334
SeasonalNaive,2025-08-02 06:00:00+00:00,False,False,42.302083333333336,56.958017446088206,55.67973806764645,14.346423770321282,0.7083333333333334
SeasonalNaive,2025-08-02 12:00:00+00:00,False,False,21.612083333333334,32.04359025435335,42.48231530626242,8.233032530297008,0.9305555555555556
SeasonalNaive,2025-08-02 18:00:00+00:00,False,False,11.781527777777779,17.819717270796165,30.41443328167812,6.145780799949926,0.9722222222222222
