model,origin,node,ts,actual,mean,q10,q90
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 00:00:00+00:00,84.49,162.84,130.4604841587759,195.2195158412241
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 00:15:00+00:00,83.73,162.84,117.04844955426638,208.63155044573364
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 00:30:00+00:00,78.17,162.84,106.75703343851853,218.92296656148147
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 00:45:00+00:00,79.82,162.84,98.08096831755178,227.59903168244824
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 01:00:00+00:00,105.96,162.84,90.4372015004916,235.2427984995084
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 01:15:00+00:00,85.99,162.84,83.52670807063612,242.1532919293639
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 01:30:00+00:00,116.68,162.84,77.17185351144461,248.50814648855538
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 01:45:00+00:00,143.39,162.84,71.25689910853276,254.42310089146724
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 02:00:00+00:00,158.18,162.84,65.70145247632767,259.9785475236723
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 02:15:00+00:00,135.38,162.84,60.446980408228825,265.23301959177115
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 02:30:00+00:00,115.84,162.84,55.44929506129073,270.23070493870927
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 02:45:00+00:00,121.89,162.84,50.67406687703706,275.0059331229629
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 03:00:00+00:00,130.03,162.84,46.09399535976796,279.58600464023203
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 03:15:00+00:00,104.17,162.84,41.68694537251996,283.99305462748003
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 03:30:00+00:00,66.2,162.84,37.43467438867977,288.24532561132025
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 03:45:00+00:00,44.83,162.84,33.321936635103555,292.35806336489645
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 04:00:00+00:00,48.08,162.84,29.335836080272713,296.3441639197273
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 04:15:00+00:00,41.25,162.84,25.46534866279916,300.21465133720085
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 04:30:00+00:00,41.04,162.84,21.7009626073297,303.9790373926703
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 04:45:00+00:00,37.11,162.84,18.03440300098319,307.6455969990168
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 05:00:00+00:00,37.82,162.84,14.458417691568798,311.2215823084312
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 05:15:00+00:00,40.97,162.84,10.966608602870025,314.71339139712995
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 05:30:00+00:00,49.42,162.84,7.55329721905386,318.1267027809462
Naive,2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 05:45:00+00:00,47.32,162.84,4.2134161412722335,321.46658385872774
