model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
TimesFM,False,False,10,18.25041513856252,13.445991128577285,25.015262888964678,21.06736489478857,29.941222834872384,11.44294044862552,6.237886594615601,5.210467660185661,0.7791666666666667,0.1766074761081307,0.5930655737672851,0.6257668711656441,0.7611940298507462,0.53125,0.44110275689223055
Chronos2,False,False,10,18.612240590307447,11.471474341272279,25.79323090455197,17.683998695895607,30.546080986012562,11.17030043504237,6.06513030604963,3.6201386168847756,0.663888888888889,0.18434066692263398,0.6048234553011302,0.6187845303867403,0.6588235294117647,0.5833333333333334,0.41919191919191917
RandomForest,False,False,10,19.46087779821085,12.793522041680767,24.289730621279787,15.466972990605482,33.18859960184659,12.817084885637057,9.252728919836198,6.3980231099100955,0.09305555555555556,0.09782550918300185,0.6324007738883687,0.5136612021857923,0.5402298850574713,0.4895833333333333,0.5136612021857923
XGBoost,False,False,10,25.99903082858192,31.669295227652736,30.85732285225229,32.83381982429069,36.261041423020664,20.486473624061436,12.928300332714585,15.835767220830828,0.01388888888888889,0.024056261216234404,0.8448646246498887,0.5507246376811593,0.5135135135135135,0.59375,0.5507246376811593
Theta,False,False,10,27.93777952040557,27.613854868688936,33.29025323574036,29.97706700347614,38.8623520658182,19.143480407789205,11.16087987924524,7.079354410635681,0.9055555555555556,0.1934298928728187,0.9078662110016131,0.5166666666666667,0.4305555555555556,0.6458333333333334,0.24303797468354432
Naive,False,False,10,28.051000000000005,27.52487620014545,33.206690814514765,29.80949291164176,38.98150090265746,19.43113107588535,10.736731218788513,6.672749429905054,0.9013888888888889,0.19118800939983555,0.9115454242240566,0.5166666666666667,0.4305555555555556,0.6458333333333334,0.2711864406779661
SeasonalNaive,False,False,10,30.773013888888887,14.064427538822606,40.070694207084486,17.08782845936752,50.100089405543066,12.064862599235335,11.44500697735234,4.136775240547641,0.9097222222222221,0.13696585363413902,1.0,0.12121212121212122,0.11764705882352941,0.125,0.24042272126816383
ETS,False,False,10,33.592443247260476,19.575040637892943,39.270362487353616,22.695475643057378,80.10135700015152,32.17692474275075,11.801464604146828,5.3206379936617285,0.9055555555555556,0.17827621099688934,1.09162018931755,0.5166666666666667,0.4305555555555556,0.6458333333333334,0.2768273716951788
LightGBM,False,False,10,34.3598833791464,32.26148161974913,40.18206249619113,34.79050604061127,48.82106917578678,23.172979882579607,15.740487350855929,15.959951323199686,0.20555555555555555,0.20979119542776897,1.116558927351364,0.5276595744680852,0.4460431654676259,0.6458333333333334,0.497991967871486
Toto,False,False,10,47.079003020485246,29.53082688500824,100.96071900660715,68.66909412028477,58.27115508657939,19.346009593685046,11.07797861353998,6.814513295683063,0.8152777777777779,0.20750297484108807,1.529879497356738,0.3894736842105263,0.39361702127659576,0.3854166666666667,0.36178861788617883
