model,origin,covariates_used,multivariate_used,mae,rmse,smape,pinball,coverage
Naive,2025-08-01 00:00:00+00:00,False,False,90.93180555555556,100.14596565763397,73.77776804175318,26.380870727720605,0.6527777777777778
Naive,2025-08-01 06:00:00+00:00,False,False,8.89,14.778822592555276,13.362344778327987,9.12691746546905,1.0
Naive,2025-08-01 12:00:00+00:00,False,False,19.050555555555555,20.18024769972416,45.51285501112324,10.903954976968214,1.0
Naive,2025-08-01 18:00:00+00:00,False,False,27.378333333333337,39.94304695438243,47.99795922124901,10.441951008699988,0.9861111111111112
Naive,2025-08-02 00:00:00+00:00,False,False,70.60041666666666,78.70245740374877,62.629725843157594,19.766672688584304,0.4166666666666667
Naive,2025-08-02 06:00:00+00:00,False,False,10.341388888888892,12.216974188944388,20.90955203126316,6.461546197381893,1.0
Naive,2025-08-02 12:00:00+00:00,False,False,22.807361111111113,28.21062671622561,50.15654898540293,8.699486798880253,0.9583333333333334
Naive,2025-08-02 18:00:00+00:00,False,False,7.5569444444444445,9.216269280161276,21.039584342726044,5.0790431068776405,1.0
Naive,2025-08-03 00:00:00+00:00,False,False,16.604027777777777,18.03881505562688,36.5698620277849,6.1755127363977635,1.0
Naive,2025-08-03 06:00:00+00:00,False,False,6.349166666666667,10.63368259614493,17.858808743786543,4.331356480905421,1.0
Naive,2025-08-03 12:00:00+00:00,False,False,7.138472222222223,7.900194354149354,39.49912474960261,4.406163540622787,1.0
Naive,2025-08-03 18:00:00+00:00,False,False,17.73375,25.606338001231908,51.295950311892746,6.156793575403409,0.8472222222222222
Naive,2025-08-04 00:00:00+00:00,False,False,32.59291666666666,38.501304938202345,54.67825416753279,11.190781505702992,0.4861111111111111
Naive,2025-08-04 06:00:00+00:00,False,False,4.746944444444446,5.98555506569311,17.10597702495741,2.794183272975261,1.0
Naive,2025-08-04 12:00:00+00:00,False,False,3.766249999999999,4.141964610342939,15.388571906818752,2.4442029893895225,1.0
Naive,2025-08-04 18:00:00+00:00,False,False,4.345972222222222,6.336808805174204,17.764609130613803,2.3648596111393743,1.0
Naive,2025-08-05 00:00:00+00:00,False,False,7.054722222222221,8.967791131475897,22.742290893703775,2.7867533980415597,1.0
Naive,2025-08-05 06:00:00+00:00,False,False,7.881111111111112,12.911078898888867,25.02239869316497,3.146360071311932,0.8333333333333334
Naive,2025-08-05 12:00:00+00:00,False,False,5.104166666666667,5.94157924199357,27.50335035209196,2.4497541561114646,1.0
Naive,2025-08-05 18:00:00+00:00,False,False,4.734305555555555,6.663583349486638,15.939325060819767,2.089676539611945,0.9444444444444444
Naive,2025-08-06 00:00:00+00:00,False,False,11.000833333333334,12.713393309594588,31.502510532686863,3.6967281012555504,0.4305555555555556
Naive,2025-08-06 06:00:00+00:00,False,False,6.71875,10.710765806732338,21.175993261646237,2.602973786444146,0.7916666666666666
Naive,2025-08-06 12:00:00+00:00,False,False,9.307777777777778,11.89414071437417,39.5567143895796,2.971993084265089,0.625
Naive,2025-08-06 18:00:00+00:00,False,False,7.893888888888887,10.530033106416248,26.897077952906912,2.5239249588406873,0.7638888888888888
Naive,2025-08-07 00:00:00+00:00,False,False,24.42736111111111,29.88386402670623,43.67303344070741,9.283544624986924,0.3888888888888889
Naive,2025-08-07 06:00:00+00:00,False,False,4.625833333333333,8.007961142929371,10.819462693241118,2.8031479700142987,1.0
Naive,2025-08-07 12:00:00+00:00,False,False,10.91152777777778,13.997002308034071,35.750526643232725,4.0796968331383185,1.0
