model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
TimesFM,False,False,30,13.110826909758426,5.817148947574778,19.984925875281217,9.20915112165403,29.26974833042865,8.703909188430924,4.427821003353889,1.9650400705008337,0.7546296296296298,0.14509661059458165,0.8150723183720248,0.3725490196078432,0.5394321766561514,0.28452579034941766,0.32163973196689
Chronos2,False,False,30,13.498307193548591,5.578326581261674,20.173029479631193,8.947224434480182,30.06979501798832,8.932575338762112,4.480962910089228,1.8625078410783948,0.7390046296296295,0.1585354544999471,0.8391611462854823,0.3841463414634146,0.4934725848563969,0.3144758735440932,0.31736323479442746
Toto2,False,False,30,13.617000203260668,5.6834476595657,20.37778451660404,9.070247328276102,29.84747093684456,7.613236675714643,4.64803652366076,2.077806457009946,0.7899305555555556,0.1348717371466946,0.8465400391094406,0.3805748265609514,0.47058823529411764,0.3194675540765391,0.3012188044109112
SeasonalNaive,False,False,30,16.08547685185185,6.530586999324264,25.456693273944047,10.755187408436498,33.83374496004932,9.99980425003879,6.200808621062553,2.16619736435716,0.870486111111111,0.08322789432964962,1.0,0.3157051282051282,0.3044822256568779,0.3277870216306156,0.27577791336180596
Theta,False,False,30,19.008996370029966,11.81903317398457,26.33396656725181,15.193266417222883,41.763663603067506,13.886340546147066,7.037660298009279,4.357926669279897,0.8407407407407408,0.1742412945339034,1.1817490115527127,0.3698722259583053,0.31038374717832956,0.45757071547420963,0.286687306501548
XGBoost,False,False,30,27.687507617641376,11.236882326610287,35.08933137935768,15.798082960284834,54.515219917149544,11.833050567435382,13.755970441726685,5.614787165882376,0.0060185185185185185,0.005942360024533998,1.721273660249235,0.2777777777777778,0.2129547471162378,0.39933444259567386,0.27538726333907054
LightGBM,False,False,30,29.679621262825933,14.090154546560553,38.32782453109175,20.12525458530828,55.47259313356277,12.516905721533973,13.631119120161166,7.017176663034157,0.11134259259259259,0.05290200211567012,1.845119142949688,0.258896338318721,0.187593423019432,0.4176372712146423,0.2697459584295612
RandomForest,False,False,30,32.93216477408274,11.793653292259958,39.66317645432227,15.102081304568296,61.5310497748169,13.845964505955143,15.997552151172952,5.878787489564116,0.030787037037037036,0.02354520576842854,2.047322878730288,0.21708805579773324,0.1470761961015948,0.41430948419301167,0.20912394025030276
Toto,False,False,30,36.074611937744166,23.478290298253334,157.3093772007388,209.89407813857775,51.73893565778722,12.287924298462489,8.325955104386647,4.5712810226378995,0.8217592592592592,0.11609667492512182,2.24268215794865,0.29346904156064463,0.29930795847750863,0.2878535773710483,0.31915617556992176
ETS,False,False,30,42.848232635839594,26.67641280884715,48.25478340729596,26.694301974508015,104.06471053076993,44.75554421308247,14.785627698283518,11.111095961538748,0.492361111111111,0.29702204231571633,2.6637837989183804,0.2597510373443983,0.1730237700386954,0.5207986688851913,0.2630826422647984
Naive,False,False,30,51.71503240740741,37.26578611238577,56.43165264032276,38.103488234705274,76.32844967085454,21.358454437517437,17.44162150214107,10.620274653708762,0.8297453703703703,0.2275555094495185,3.215013946040007,0.1898510477152234,0.11190476190476191,0.6256239600665557,0.1311512162313642
