model,origin,node,ts,actual,mean,q10,q90
Naive,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 00:00:00+00:00,69.16,76.74,69.10908994450668,84.37091005549331
Naive,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 00:15:00+00:00,62.69,76.74,65.94826350627211,87.53173649372788
Naive,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 00:30:00+00:00,58.23,76.74,63.52287607589733,89.95712392410266
Naive,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 00:45:00+00:00,56.01,76.74,61.47817988901336,92.00182011098664
Naive,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 01:00:00+00:00,51.4,76.74,59.67676638573025,93.80323361426974
Naive,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 01:15:00+00:00,64.15,76.74,58.0481640909681,95.43183590903188
Naive,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 01:30:00+00:00,66.35,76.74,56.55050971606258,96.9294902839374
Naive,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 01:45:00+00:00,50.4,76.74,55.156527012544245,98.32347298745574
Naive,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 02:00:00+00:00,58.48,76.74,53.847269833520045,99.63273016647994
Naive,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 02:15:00+00:00,47.5,76.74,52.608943604759226,100.87105639524076
Naive,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 02:30:00+00:00,46.44,76.74,51.43113453697856,102.04886546302144
Naive,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 02:45:00+00:00,40.93,76.74,50.305752151794664,103.17424784820533
Naive,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 03:00:00+00:00,33.99,76.74,49.22636251646509,104.2536374835349
Naive,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 03:15:00+00:00,33.84,76.74,48.18774902305588,105.2922509769441
Naive,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 03:30:00+00:00,35.96,76.74,47.18561243866766,106.29438756133231
Naive,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 03:45:00+00:00,52.26,76.74,46.21635977802673,107.26364022197326
Naive,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 04:00:00+00:00,39.76,76.74,45.276951821613125,108.20304817838688
Naive,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 04:15:00+00:00,41.85,76.74,44.36479051881636,109.11520948118364
Naive,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 04:30:00+00:00,37.25,76.74,43.47763422085627,110.00236577914372
Naive,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 04:45:00+00:00,33.4,76.74,42.61353277146049,110.8664672285395
Naive,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 05:00:00+00:00,36.78,76.74,41.7707770493022,111.7092229506978
Naive,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 05:15:00+00:00,35.71,76.74,40.94785921391906,112.53214078608092
Naive,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 05:30:00+00:00,41.12,76.74,40.14344100430113,113.33655899569884
Naive,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 05:45:00+00:00,47.91,76.74,39.35632818193621,114.12367181806376
Naive,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 00:00:00+00:00,69.16,76.74,70.01433221407697,83.46566778592302
Naive,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 00:15:00+00:00,66.72,76.74,67.22846940113183,86.25153059886816
Naive,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 00:30:00+00:00,63.55,76.74,65.09080167995205,88.38919832004794
Naive,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 00:45:00+00:00,61.67,76.74,63.28866442815396,90.19133557184604
Naive,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 01:00:00+00:00,56.29,76.74,61.700949636595624,91.77905036340437
Naive,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 01:15:00+00:00,65.89,76.74,60.265545745014315,93.21445425498568
Naive,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 01:30:00+00:00,66.78,76.74,58.94555563760929,94.5344443623907
Naive,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 01:45:00+00:00,51.37,76.74,57.71693880226368,95.7630611977363
Naive,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 02:00:00+00:00,58.57,76.74,56.56299664223094,96.91700335776903
Naive,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 02:15:00+00:00,47.74,76.74,55.4715710108615,98.00842898913848
Naive,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 02:30:00+00:00,46.59,76.74,54.433483489512994,99.046516510487
Naive,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 02:45:00+00:00,41.18,76.74,53.4416033599041,100.0383966400959
Naive,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 03:00:00+00:00,34.63,76.74,52.49025993611819,100.9897400638818
Naive,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 03:15:00+00:00,33.88,76.74,51.57485544781359,101.9051445521864
Naive,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 03:30:00+00:00,33.33,76.74,50.69160067299643,102.78839932700356
Naive,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 03:45:00+00:00,46.38,76.74,49.83732885630792,103.64267114369208
Naive,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 04:00:00+00:00,35.28,76.74,49.00936131582531,104.47063868417467
Naive,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 04:15:00+00:00,37.07,76.74,48.20540820339552,105.27459179660448
Naive,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 04:30:00+00:00,32.88,76.74,47.4234937933346,106.0565062066654
Naive,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 04:45:00+00:00,29.95,76.74,46.66189927319125,106.81810072680874
Naive,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 05:00:00+00:00,32.87,76.74,45.919118271881715,107.56088172811828
Naive,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 05:15:00+00:00,31.63,76.74,45.19382182156991,108.28617817843008
Naive,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 05:30:00+00:00,36.25,76.74,44.48483041694152,108.99516958305848
Naive,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 05:45:00+00:00,42.44,76.74,43.791091490028634,109.68890850997136
Naive,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 00:00:00+00:00,69.16,76.74,65.60286981044385,87.87713018955614
Naive,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 00:15:00+00:00,88.46,76.74,60.98971944001485,92.49028055998514
Naive,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 00:30:00+00:00,92.08,76.74,57.44992466117955,96.03007533882044
Naive,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 00:45:00+00:00,91.9,76.74,54.4657396208877,99.01426037911229
Naive,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 01:00:00+00:00,82.37,76.74,51.83661982188734,101.64338017811264
Naive,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 01:15:00+00:00,75.15,76.74,49.45971383664135,104.02028616335863
Naive,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 01:30:00+00:00,71.6,76.74,47.27392319948479,106.2060768005152
Naive,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 01:45:00+00:00,62.27,76.74,45.23943888002972,108.24056111997028
Naive,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 02:00:00+00:00,59.54,76.74,43.32860943133157,110.15139056866845
Naive,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 02:15:00+00:00,50.49,76.74,41.52130200317977,111.95869799682022
Naive,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 02:30:00+00:00,48.22,76.74,39.80231791990255,113.67768208009744
Naive,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 02:45:00+00:00,44.02,76.74,38.15984932235911,115.32015067764088
Naive,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 03:00:00+00:00,41.98,76.74,36.58450604003734,116.89549395996264
Naive,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 03:15:00+00:00,48.66,76.74,35.06867455878418,118.4113254412158
Naive,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 03:30:00+00:00,51.37,76.74,33.60608025130519,119.8739197486948
Naive,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 03:45:00+00:00,66.47,76.74,32.19147924177542,121.28852075822456
Naive,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 04:00:00+00:00,50.56,76.74,30.820435862204775,122.6595641377952
Naive,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 04:15:00+00:00,53.33,76.74,29.489158320044588,123.9908416799554
Naive,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 04:30:00+00:00,50.56,76.74,28.19437498266877,125.28562501733124
Naive,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 04:45:00+00:00,50.78,76.74,26.933239643774677,126.54676035622532
Naive,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 05:00:00+00:00,53.03,76.74,25.703257881781077,127.77674211821892
Naive,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 05:15:00+00:00,53.82,76.74,24.502229039700552,128.97777096029944
Naive,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 05:30:00+00:00,57.5,76.74,23.32819995768888,130.1518000423111
Naive,2025-03-01 00:00:00+00:00,LZ_WEST,2025-03-01 05:45:00+00:00,61.53,76.74,22.179427673282703,131.3005723267173
Naive,2025-03-01 06:00:00+00:00,LZ_LCRA,2025-03-01 06:00:00+00:00,59.71,47.91,39.45054929481255,56.36945070518745
Naive,2025-03-01 06:00:00+00:00,LZ_LCRA,2025-03-01 06:15:00+00:00,71.24,47.91,35.946530082497254,59.87346991750274
Naive,2025-03-01 06:00:00+00:00,LZ_LCRA,2025-03-01 06:30:00+00:00,59.82,47.91,33.257801574490955,62.56219842550904
Naive,2025-03-01 06:00:00+00:00,LZ_LCRA,2025-03-01 06:45:00+00:00,61.88,47.91,30.99109858962509,64.8289014103749
Naive,2025-03-01 06:00:00+00:00,LZ_LCRA,2025-03-01 07:00:00+00:00,67.65,47.91,28.994093170892317,66.82590682910768
Naive,2025-03-01 06:00:00+00:00,LZ_LCRA,2025-03-01 07:15:00+00:00,59.8,47.91,27.188662268063407,68.63133773193658
Naive,2025-03-01 06:00:00+00:00,LZ_LCRA,2025-03-01 07:30:00+00:00,58.53,47.91,25.528397205864017,70.29160279413598
Naive,2025-03-01 06:00:00+00:00,LZ_LCRA,2025-03-01 07:45:00+00:00,49.41,47.91,23.983060164994516,71.83693983500548
Naive,2025-03-01 06:00:00+00:00,LZ_LCRA,2025-03-01 08:00:00+00:00,42.64,47.91,22.531647884437636,73.28835211556236
Naive,2025-03-01 06:00:00+00:00,LZ_LCRA,2025-03-01 08:15:00+00:00,43.47,47.91,21.158868017690065,74.66113198230993
Naive,2025-03-01 06:00:00+00:00,LZ_LCRA,2025-03-01 08:30:00+00:00,45.41,47.91,19.853176078385815,75.96682392161418
Naive,2025-03-01 06:00:00+00:00,LZ_LCRA,2025-03-01 08:45:00+00:00,53.6,47.91,18.60560314898192,77.21439685101808
Naive,2025-03-01 06:00:00+00:00,LZ_LCRA,2025-03-01 09:00:00+00:00,58.2,47.91,17.40901672018663,78.41098327981337
Naive,2025-03-01 06:00:00+00:00,LZ_LCRA,2025-03-01 09:15:00+00:00,67.15,47.91,16.25763378088533,79.56236621911467
Naive,2025-03-01 06:00:00+00:00,LZ_LCRA,2025-03-01 09:30:00+00:00,75.28,47.91,15.146688300746398,80.67331169925359
Naive,2025-03-01 06:00:00+00:00,LZ_LCRA,2025-03-01 09:45:00+00:00,80.57,47.91,14.072197179250182,81.74780282074981
Naive,2025-03-01 06:00:00+00:00,LZ_LCRA,2025-03-01 10:00:00+00:00,88.98,47.91,13.030791207806317,82.78920879219368
Naive,2025-03-01 06:00:00+00:00,LZ_LCRA,2025-03-01 10:15:00+00:00,93.3,47.91,12.019590247491776,83.80040975250822
Naive,2025-03-01 06:00:00+00:00,LZ_LCRA,2025-03-01 10:30:00+00:00,93.9,47.91,11.036109258223997,84.78389074177599
Naive,2025-03-01 06:00:00+00:00,LZ_LCRA,2025-03-01 10:45:00+00:00,96.57,47.91,10.078186341784637,85.74181365821536
Naive,2025-03-01 06:00:00+00:00,LZ_LCRA,2025-03-01 11:00:00+00:00,106.86,47.91,9.143926805730928,86.67607319426907
Naive,2025-03-01 06:00:00+00:00,LZ_LCRA,2025-03-01 11:15:00+00:00,108.19,47.91,8.231659092939331,87.58834090706065
Naive,2025-03-01 06:00:00+00:00,LZ_LCRA,2025-03-01 11:30:00+00:00,106.3,47.91,7.339899638151991,88.480100361848
Naive,2025-03-01 06:00:00+00:00,LZ_LCRA,2025-03-01 11:45:00+00:00,96.05,47.91,6.467324536126817,89.35267546387317
Naive,2025-03-01 06:00:00+00:00,LZ_RAYBN,2025-03-01 06:00:00+00:00,53.42,42.44,35.0110397908866,49.86896020911339
Naive,2025-03-01 06:00:00+00:00,LZ_RAYBN,2025-03-01 06:15:00+00:00,64.69,42.44,31.93386371794176,52.946136282058234
Naive,2025-03-01 06:00:00+00:00,LZ_RAYBN,2025-03-01 06:30:00+00:00,58.65,42.44,29.572663470408077,55.30733652959192
Naive,2025-03-01 06:00:00+00:00,LZ_RAYBN,2025-03-01 06:45:00+00:00,61.88,42.44,27.582079581773193,57.2979204182268
Naive,2025-03-01 06:00:00+00:00,LZ_RAYBN,2025-03-01 07:00:00+00:00,67.65,42.44,25.82833997028138,59.05166002971862
Naive,2025-03-01 06:00:00+00:00,LZ_RAYBN,2025-03-01 07:15:00+00:00,59.8,42.44,24.24283816823235,60.63716183176764
Naive,2025-03-01 06:00:00+00:00,LZ_RAYBN,2025-03-01 07:30:00+00:00,58.58,42.44,22.78481878689154,62.095181213108454
Naive,2025-03-01 06:00:00+00:00,LZ_RAYBN,2025-03-01 07:45:00+00:00,49.6,42.44,21.42772743588353,63.45227256411647
Naive,2025-03-01 06:00:00+00:00,LZ_RAYBN,2025-03-01 08:00:00+00:00,42.64,42.44,20.153119372659795,64.7268806273402
Naive,2025-03-01 06:00:00+00:00,LZ_RAYBN,2025-03-01 08:15:00+00:00,43.55,42.44,18.947565092440875,65.93243490755913
Naive,2025-03-01 06:00:00+00:00,LZ_RAYBN,2025-03-01 08:30:00+00:00,45.14,42.44,17.800926403890657,67.07907359610934
Naive,2025-03-01 06:00:00+00:00,LZ_RAYBN,2025-03-01 08:45:00+00:00,54.18,42.44,16.705326940816157,68.17467305918385
Naive,2025-03-01 06:00:00+00:00,LZ_RAYBN,2025-03-01 09:00:00+00:00,59.21,42.44,15.654503042659954,69.22549695734004
Naive,2025-03-01 06:00:00+00:00,LZ_RAYBN,2025-03-01 09:15:00+00:00,67.86,42.44,14.643376157521155,70.23662384247883
Naive,2025-03-01 06:00:00+00:00,LZ_RAYBN,2025-03-01 09:30:00+00:00,75.28,42.44,13.667760830466223,71.21223916953377
Naive,2025-03-01 06:00:00+00:00,LZ_RAYBN,2025-03-01 09:45:00+00:00,80.57,42.44,12.724159163546393,72.1558408364536
Naive,2025-03-01 06:00:00+00:00,LZ_RAYBN,2025-03-01 10:00:00+00:00,88.98,42.44,11.80961236931478,73.07038763068522
Naive,2025-03-01 06:00:00+00:00,LZ_RAYBN,2025-03-01 10:15:00+00:00,93.3,42.44,10.92159115382529,73.9584088461747
Naive,2025-03-01 06:00:00+00:00,LZ_RAYBN,2025-03-01 10:30:00+00:00,93.9,42.44,10.057913192889892,74.82208680711011
Naive,2025-03-01 06:00:00+00:00,LZ_RAYBN,2025-03-01 10:45:00+00:00,96.57,42.44,9.216679940562765,75.66332005943724
Naive,2025-03-01 06:00:00+00:00,LZ_RAYBN,2025-03-01 11:00:00+00:00,106.86,42.44,8.39622750692287,76.48377249307713
Naive,2025-03-01 06:00:00+00:00,LZ_RAYBN,2025-03-01 11:15:00+00:00,108.19,42.44,7.595087956073336,77.28491204392665
Naive,2025-03-01 06:00:00+00:00,LZ_RAYBN,2025-03-01 11:30:00+00:00,106.3,42.44,6.811958443698096,78.06804155630189
Naive,2025-03-01 06:00:00+00:00,LZ_RAYBN,2025-03-01 11:45:00+00:00,96.05,42.44,6.045676336464702,78.83432366353529
Naive,2025-03-01 06:00:00+00:00,LZ_WEST,2025-03-01 06:00:00+00:00,76.9,61.53,50.109124984908405,72.9508750150916
Naive,2025-03-01 06:00:00+00:00,LZ_WEST,2025-03-01 06:15:00+00:00,86.94,61.53,45.378443659489434,77.68155634051057
Naive,2025-03-01 06:00:00+00:00,LZ_WEST,2025-03-01 06:30:00+00:00,62.64,61.53,41.748464206967384,81.31153579303262
