model,origin,node,ts,actual,mean,q10,q90
ElecFM,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 00:00:00+00:00,60.32,58.707382,37.315014,83.52985
ElecFM,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 01:00:00+00:00,54.615,55.599613,33.393974,81.73818
ElecFM,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 02:00:00+00:00,47.03083333333333,46.600742,28.37372,71.101295
ElecFM,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 03:00:00+00:00,39.13666666666666,39.06994,25.184849,59.81244
ElecFM,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 04:00:00+00:00,38.01416666666667,33.2865,23.294662,49.978775
ElecFM,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 05:00:00+00:00,40.42583333333334,28.58991,20.491177,42.533768
ElecFM,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 06:00:00+00:00,63.1875,27.759197,20.588713,39.894283
ElecFM,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 07:00:00+00:00,58.80583333333333,22.827173,17.049942,34.67136
ElecFM,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 08:00:00+00:00,46.29166666666666,18.80622,14.037962,28.197641
ElecFM,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 09:00:00+00:00,70.375,19.369217,14.887514,28.959705
ElecFM,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 10:00:00+00:00,93.25666666666666,22.89066,17.424591,32.463615
ElecFM,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 11:00:00+00:00,102.06666666666666,28.515862,20.691391,40.668804
ElecFM,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 12:00:00+00:00,81.76,33.981052,25.342716,47.015152
ElecFM,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 13:00:00+00:00,86.75416666666666,29.204195,21.009716,41.5164
ElecFM,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 14:00:00+00:00,14.423333333333334,20.967178,14.851,31.335312
ElecFM,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 15:00:00+00:00,14.481666666666667,19.434912,14.287163,27.782671
ElecFM,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 16:00:00+00:00,13.079166666666666,14.621004,11.180829,22.114151
ElecFM,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 17:00:00+00:00,18.086666666666662,14.155714,10.181259,21.756605
ElecFM,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 18:00:00+00:00,19.554166666666667,13.825404,9.85173,23.017448
ElecFM,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 19:00:00+00:00,21.0275,11.405379,6.5813656,21.533802
ElecFM,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 20:00:00+00:00,21.316666666666663,11.077104,5.7970047,21.538652
ElecFM,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 21:00:00+00:00,19.70583333333333,13.950521,6.338934,25.997416
ElecFM,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 22:00:00+00:00,41.4225,20.14344,10.619214,35.27849
ElecFM,2025-03-01 00:00:00+00:00,LZ_LCRA,2025-03-01 23:00:00+00:00,75.20083333333334,32.56595,19.489956,50.67852
ElecFM,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 00:00:00+00:00,64.08333333333333,78.78653,49.43833,112.06035
ElecFM,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 01:00:00+00:00,56.605,72.2792,41.362267,108.17121
ElecFM,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 02:00:00+00:00,47.21083333333333,58.144573,31.852314,93.39663
ElecFM,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 03:00:00+00:00,37.15083333333333,48.815506,27.670347,81.79295
ElecFM,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 04:00:00+00:00,33.751666666666665,38.42129,22.784172,66.41615
ElecFM,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 05:00:00+00:00,35.8375,34.10698,21.069532,58.07341
ElecFM,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 06:00:00+00:00,59.69916666666666,31.074371,19.999104,52.84273
ElecFM,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 07:00:00+00:00,58.86333333333334,23.972172,15.216509,45.062546
ElecFM,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 08:00:00+00:00,46.38999999999999,19.80252,12.484209,35.890675
ElecFM,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 09:00:00+00:00,70.80416666666666,18.826069,11.848545,34.582306
ElecFM,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 10:00:00+00:00,93.25666666666666,21.473288,12.527814,36.808075
ElecFM,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 11:00:00+00:00,102.06666666666666,27.096811,16.178135,46.403473
ElecFM,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 12:00:00+00:00,81.76,33.791077,21.949518,51.959515
ElecFM,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 13:00:00+00:00,86.75416666666666,30.15904,18.812334,48.32802
ElecFM,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 14:00:00+00:00,14.423333333333334,22.151018,11.020615,39.95117
ElecFM,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 15:00:00+00:00,14.481666666666667,22.255663,11.792691,38.043556
ElecFM,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 16:00:00+00:00,13.0625,15.080402,5.211376,29.77478
ElecFM,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 17:00:00+00:00,18.044166666666666,13.605292,4.7688026,27.740395
ElecFM,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 18:00:00+00:00,19.511666666666667,14.361019,6.535063,28.660864
ElecFM,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 19:00:00+00:00,21.03,13.130516,5.3281612,25.89448
ElecFM,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 20:00:00+00:00,21.346666666666664,13.8961315,4.743311,26.40317
ElecFM,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 21:00:00+00:00,20.655833333333337,16.812063,5.0605984,31.161566
ElecFM,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 22:00:00+00:00,41.66333333333333,23.412579,7.836645,41.605274
ElecFM,2025-03-01 00:00:00+00:00,LZ_RAYBN,2025-03-01 23:00:00+00:00,75.20083333333334,35.09962,15.920281,57.477795
