model,origin,covariates_used,multivariate_used,mae,rmse,smape,pinball,coverage
ElecFM,2026-01-01 00:00:00+00:00,False,False,5.274831473421167,7.073399332249366,21.236341312042565,1.7804447439246707,0.5972222222222222
ElecFM,2026-01-02 00:00:00+00:00,False,False,8.689028438886005,10.515100918362585,92.22108085122127,3.471417260405458,0.24444444444444444
ElecFM,2026-01-03 00:00:00+00:00,False,False,5.387616154776679,7.145727513291644,51.26718736702941,1.8340067098111283,0.6277777777777778
ElecFM,2026-01-04 00:00:00+00:00,False,False,12.327157258810821,17.688633261302396,62.70861386629644,4.33766151919777,0.5166666666666667
ElecFM,2026-01-05 00:00:00+00:00,False,False,8.624712081944502,10.79595443781224,51.433980679096244,3.0250730768721783,0.36944444444444446
ElecFM,2026-01-06 00:00:00+00:00,False,False,7.026391327681365,9.831262134829169,45.252588561811976,2.3981399529304035,0.5888888888888889
ElecFM,2026-01-07 00:00:00+00:00,False,False,9.586163410398695,14.603321370155877,54.565708546653205,3.411408526223383,0.5444444444444444
ElecFM,2026-01-08 00:00:00+00:00,False,False,8.311448732676329,10.627542919997072,57.815408650867695,3.013659164490523,0.325
ElecFM,2026-01-09 00:00:00+00:00,False,False,21.671198671499887,24.638492979406372,95.7026560965631,9.675143462783025,0.08333333333333333
ElecFM,2026-01-10 00:00:00+00:00,False,False,9.072886487166087,12.380267045884196,96.6192669505588,3.4753545559924333,0.36944444444444446
ElecFM,2026-01-11 00:00:00+00:00,False,False,8.011534457533449,13.494759419053764,41.425154434419134,3.0556404830953223,0.6611111111111111
ElecFM,2026-01-12 00:00:00+00:00,False,False,13.525581329398685,18.170607493729502,73.07086426102386,5.405301553055092,0.2777777777777778
ElecFM,2026-01-13 00:00:00+00:00,False,False,8.354549138387044,11.923138229149924,30.62308478709686,2.69896927496239,0.6805555555555556
ElecFM,2026-01-14 00:00:00+00:00,False,False,11.576141631214707,15.012939189308668,80.61916333539155,4.038640697202564,0.45555555555555555
ElecFM,2026-01-15 00:00:00+00:00,False,False,10.222133432688537,13.571047329204506,65.33379275576384,3.916092172881703,0.41944444444444445
ElecFM,2026-01-16 00:00:00+00:00,False,False,11.390830779993975,14.60512170641835,92.81151183543848,4.0855457593070135,0.3416666666666667
ElecFM,2026-01-17 00:00:00+00:00,False,False,5.58582884338167,7.962099737260246,64.12089562818457,1.8356640440622964,0.7333333333333333
ElecFM,2026-01-18 00:00:00+00:00,False,False,14.810409892117537,19.188917656812908,80.26230335510127,6.296998386603815,0.18611111111111112
ElecFM,2026-01-19 00:00:00+00:00,False,False,18.202457075595856,21.1127926472997,98.2916095450256,7.1558913561061575,0.09166666666666666
ElecFM,2026-01-20 00:00:00+00:00,False,False,28.390856662096798,42.294966689160475,81.87819199482695,12.722685408568674,0.17222222222222222
ElecFM,2026-01-21 00:00:00+00:00,False,False,10.633785225055837,13.05796536320485,62.44018647968611,3.756177384564906,0.21944444444444444
ElecFM,2026-01-22 00:00:00+00:00,False,False,16.732916010715346,19.29603295233322,63.31441571920774,7.004675647029171,0.175
ElecFM,2026-01-23 00:00:00+00:00,False,False,10.742729607988286,12.615022129969814,57.927326807220716,3.9469732693536783,0.275
ElecFM,2026-01-24 00:00:00+00:00,False,False,76.62182845002633,117.07593827190921,88.03748802120026,36.22336960661264,0.16111111111111112
ElecFM,2026-01-25 00:00:00+00:00,False,False,109.94566293080649,119.60336933585727,119.61316372603372,49.02996444502585,0.013888888888888888
ElecFM,2026-01-26 00:00:00+00:00,False,False,229.28164368283308,343.9866533602743,116.6974634045731,107.35385579093888,0.05
ElecFM,2026-01-27 00:00:00+00:00,False,False,43.3560264505457,52.272619737399445,47.33257937854636,14.21753852385062,0.4305555555555556
ElecFM,2026-01-28 00:00:00+00:00,False,False,144.31504509579693,242.65651237867746,91.09322852161765,65.47888952337665,0.25555555555555554
ElecFM,2026-01-29 00:00:00+00:00,False,False,71.11210421032376,80.21720757349695,135.90388797317752,25.04342676720796,0.15833333333333333
ElecFM,2026-01-30 00:00:00+00:00,False,False,26.863764489633063,34.5439690206725,65.13656861900266,8.999419735519973,0.5944444444444444
