model,origin,covariates_used,multivariate_used,mae,rmse,smape,pinball,coverage
ElecFM,2025-03-01 00:00:00+00:00,False,False,21.380883721881442,30.96185521635297,50.967243350268696,8.228611449306394,0.5972222222222222
ElecFM,2025-03-02 00:00:00+00:00,False,False,24.02848512381095,25.925494136397987,114.5957858295823,7.8794219383487,0.25277777777777777
ElecFM,2025-03-03 00:00:00+00:00,False,False,23.517437786384864,32.34072179900387,80.9789479544661,8.65736801553067,0.5333333333333333
ElecFM,2025-03-04 00:00:00+00:00,False,False,11.533318114139416,14.709317788528077,85.36361010762653,3.967887977794364,0.8111111111111111
ElecFM,2025-03-05 00:00:00+00:00,False,False,11.64084466238375,15.683826521783221,80.29992531519086,3.6366038530432143,0.8444444444444444
ElecFM,2025-03-06 00:00:00+00:00,False,False,17.66136628984522,25.30196806834231,92.90278891413348,6.280126529481675,0.5861111111111111
ElecFM,2025-03-07 00:00:00+00:00,False,False,9.77758034356435,13.532915805481029,46.014346699811796,3.2853864455635162,0.9611111111111111
ElecFM,2025-03-08 00:00:00+00:00,False,False,15.330268842697144,18.50730185087056,60.47677994675584,4.87092976542461,0.6472222222222223
ElecFM,2025-03-09 00:00:00+00:00,False,False,7.320358957114043,9.88373515402551,43.298271575992636,2.6129979329786184,0.9166666666666666
ElecFM,2025-03-10 00:00:00+00:00,False,False,23.321712648744935,28.305368294535572,82.51013858751244,7.483224911457225,0.49722222222222223
ElecFM,2025-03-11 00:00:00+00:00,False,False,15.506009358017536,18.310577725909134,109.28750924090032,4.833224933365245,0.6805555555555556
ElecFM,2025-03-12 00:00:00+00:00,False,False,11.961453621829,16.458001562576207,74.41157408573423,3.993949206537671,0.8805555555555555
ElecFM,2025-03-13 00:00:00+00:00,False,False,16.509356104780124,25.67442789354945,60.54292402321531,5.198986786742268,0.7527777777777778
ElecFM,2025-03-14 00:00:00+00:00,False,False,11.551649395200942,14.301779918612223,59.39216663001,3.5000035670774956,0.7333333333333333
ElecFM,2025-03-15 00:00:00+00:00,False,False,24.436200146993002,33.99550491486148,112.65573660162984,9.182420261229998,0.33055555555555555
ElecFM,2025-03-16 00:00:00+00:00,False,False,19.764560056191904,27.672666117881274,119.88028112950948,7.420531791310251,0.6555555555555556
ElecFM,2025-03-17 00:00:00+00:00,False,False,16.508402720486675,20.210570052488897,100.254390887203,5.5023837460470775,0.7444444444444445
ElecFM,2025-03-18 00:00:00+00:00,False,False,8.6669951233334,10.562284580219886,74.86339646029954,2.951191669561245,0.8666666666666667
ElecFM,2025-03-19 00:00:00+00:00,False,False,14.714536943612277,23.21887216403402,89.90604332237152,5.314419746699156,0.6888888888888889
ElecFM,2025-03-20 00:00:00+00:00,False,False,13.95813332716624,20.120792159874703,88.67145148212768,4.657887298327905,0.7555555555555555
ElecFM,2025-03-21 00:00:00+00:00,False,False,12.152365035198354,14.531811215811006,105.42940991469027,3.5658776912689203,0.6944444444444444
ElecFM,2025-03-22 00:00:00+00:00,False,False,7.8357641549110415,9.41323260010014,85.26346959236905,2.623874690859406,0.6444444444444445
ElecFM,2025-03-23 00:00:00+00:00,False,False,9.950942433613317,13.063938101457385,79.77370073014674,3.3548450143587445,0.6555555555555556
ElecFM,2025-03-24 00:00:00+00:00,False,False,11.375918747354437,18.737055629541487,64.41089786318798,3.9432840865350065,0.9111111111111111
ElecFM,2025-03-25 00:00:00+00:00,False,False,20.895981322707954,31.818218322007567,66.77762103272809,7.132379679727702,0.725
ElecFM,2025-03-26 00:00:00+00:00,False,False,16.095505407439337,22.53469722124635,58.501483388845344,5.193581832126335,0.7944444444444444
ElecFM,2025-03-27 00:00:00+00:00,False,False,6.9868391101272005,9.180707118042207,35.62873611305682,2.3643618471445857,0.9
ElecFM,2025-03-28 00:00:00+00:00,False,False,12.219173925611706,15.274393693444013,47.22176994599509,3.5832795392260137,0.675
ElecFM,2025-03-29 00:00:00+00:00,False,False,9.034961869487056,13.844183875957071,45.62037922242297,3.1386078936671034,0.8444444444444444
ElecFM,2025-03-30 00:00:00+00:00,False,False,25.07749928213932,37.97510076877438,61.71642461097511,10.039887769621096,0.49444444444444446
