model,origin,node,ts,actual,mean,q10,q90
Chronos2,2025-07-01 00:00:00+00:00,HB_HUBAVG,2025-07-01 00:00:00+00:00,36.060833333333335,61.92621612548828,40.2897834777832,102.20050811767578
Chronos2,2025-07-01 00:00:00+00:00,HB_HUBAVG,2025-07-01 01:00:00+00:00,30.155833333333337,55.523529052734375,37.09934997558594,92.4842529296875
Chronos2,2025-07-01 00:00:00+00:00,HB_HUBAVG,2025-07-01 02:00:00+00:00,35.47,44.72832489013672,32.998435974121094,71.18115997314453
Chronos2,2025-07-01 00:00:00+00:00,HB_HUBAVG,2025-07-01 03:00:00+00:00,37.094166666666666,35.333377838134766,28.475162506103516,49.704681396484375
Chronos2,2025-07-01 00:00:00+00:00,HB_HUBAVG,2025-07-01 04:00:00+00:00,33.28333333333333,29.834211349487305,25.350933074951172,38.08301544189453
Chronos2,2025-07-01 00:00:00+00:00,HB_HUBAVG,2025-07-01 05:00:00+00:00,48.42250000000001,27.957748413085938,24.339570999145508,33.95585632324219
Chronos2,2025-07-01 00:00:00+00:00,HB_HUBAVG,2025-07-01 06:00:00+00:00,37.24583333333333,26.34889793395996,23.379837036132812,31.188270568847656
Chronos2,2025-07-01 00:00:00+00:00,HB_HUBAVG,2025-07-01 07:00:00+00:00,29.0175,25.16163444519043,22.477636337280273,29.290374755859375
Chronos2,2025-07-01 00:00:00+00:00,HB_HUBAVG,2025-07-01 08:00:00+00:00,27.73166666666667,25.025205612182617,22.24730682373047,28.598817825317383
Chronos2,2025-07-01 00:00:00+00:00,HB_HUBAVG,2025-07-01 09:00:00+00:00,27.319166666666664,25.110633850097656,22.38081169128418,29.52029037475586
Chronos2,2025-07-01 00:00:00+00:00,HB_HUBAVG,2025-07-01 10:00:00+00:00,27.91333333333333,26.025386810302734,22.594289779663086,31.292078018188477
Chronos2,2025-07-01 00:00:00+00:00,HB_HUBAVG,2025-07-01 11:00:00+00:00,31.155833333333337,27.147750854492188,22.86368179321289,34.48426055908203
Chronos2,2025-07-01 00:00:00+00:00,HB_HUBAVG,2025-07-01 12:00:00+00:00,30.175,23.430978775024414,20.012042999267578,28.774314880371094
Chronos2,2025-07-01 00:00:00+00:00,HB_HUBAVG,2025-07-01 13:00:00+00:00,31.161666666666665,19.091115951538086,16.54505157470703,22.726037979125977
Chronos2,2025-07-01 00:00:00+00:00,HB_HUBAVG,2025-07-01 14:00:00+00:00,31.8675,18.144786834716797,15.533520698547363,21.51132583618164
Chronos2,2025-07-01 00:00:00+00:00,HB_HUBAVG,2025-07-01 15:00:00+00:00,35.464166666666664,19.392066955566406,16.615432739257812,23.0056209564209
Chronos2,2025-07-01 00:00:00+00:00,HB_HUBAVG,2025-07-01 16:00:00+00:00,37.63916666666667,24.342044830322266,20.225095748901367,30.89455223083496
Chronos2,2025-07-01 00:00:00+00:00,HB_HUBAVG,2025-07-01 17:00:00+00:00,35.37083333333333,27.63808822631836,21.976633071899414,37.726348876953125
Chronos2,2025-07-01 00:00:00+00:00,HB_HUBAVG,2025-07-01 18:00:00+00:00,37.7325,30.343780517578125,23.34061050415039,44.650962829589844
Chronos2,2025-07-01 00:00:00+00:00,HB_HUBAVG,2025-07-01 19:00:00+00:00,62.53333333333333,31.249879837036133,23.777881622314453,47.5113639831543
Chronos2,2025-07-01 00:00:00+00:00,HB_HUBAVG,2025-07-01 20:00:00+00:00,53.961666666666666,31.63747787475586,24.070276260375977,48.72486114501953
Chronos2,2025-07-01 00:00:00+00:00,HB_HUBAVG,2025-07-01 21:00:00+00:00,58.095,32.554195404052734,24.041412353515625,51.824119567871094
Chronos2,2025-07-01 00:00:00+00:00,HB_HUBAVG,2025-07-01 22:00:00+00:00,105.42833333333331,34.791404724121094,25.207714080810547,60.04413604736328
Chronos2,2025-07-01 00:00:00+00:00,HB_HUBAVG,2025-07-01 23:00:00+00:00,112.52416666666666,38.93560028076172,27.404027938842773,68.03363800048828
Chronos2,2025-07-01 00:00:00+00:00,HB_PAN,2025-07-01 00:00:00+00:00,36.05583333333333,62.46791076660156,42.65029525756836,91.75215148925781
Chronos2,2025-07-01 00:00:00+00:00,HB_PAN,2025-07-01 01:00:00+00:00,30.156666666666663,53.45867156982422,35.94627380371094,76.22952270507812
Chronos2,2025-07-01 00:00:00+00:00,HB_PAN,2025-07-01 02:00:00+00:00,35.46583333333333,41.87682342529297,29.253944396972656,61.575496673583984
Chronos2,2025-07-01 00:00:00+00:00,HB_PAN,2025-07-01 03:00:00+00:00,37.20333333333333,33.19000244140625,23.95175552368164,47.168357849121094
Chronos2,2025-07-01 00:00:00+00:00,HB_PAN,2025-07-01 04:00:00+00:00,33.660000000000004,28.790494918823242,21.049375534057617,39.405555725097656
Chronos2,2025-07-01 00:00:00+00:00,HB_PAN,2025-07-01 05:00:00+00:00,50.07416666666666,26.54901695251465,19.523305892944336,35.549720764160156
Chronos2,2025-07-01 00:00:00+00:00,HB_PAN,2025-07-01 06:00:00+00:00,39.56916666666667,25.865230560302734,18.859333038330078,34.693092346191406
Chronos2,2025-07-01 00:00:00+00:00,HB_PAN,2025-07-01 07:00:00+00:00,30.829166666666666,25.366840362548828,18.573490142822266,33.65378952026367
Chronos2,2025-07-01 00:00:00+00:00,HB_PAN,2025-07-01 08:00:00+00:00,29.67833333333333,25.822593688964844,18.806140899658203,34.5533332824707
Chronos2,2025-07-01 00:00:00+00:00,HB_PAN,2025-07-01 09:00:00+00:00,29.345,27.45757293701172,20.649791717529297,36.68064498901367
Chronos2,2025-07-01 00:00:00+00:00,HB_PAN,2025-07-01 10:00:00+00:00,30.314166666666665,29.675018310546875,22.481216430664062,39.53466796875
Chronos2,2025-07-01 00:00:00+00:00,HB_PAN,2025-07-01 11:00:00+00:00,32.135,31.067970275878906,22.74729347229004,41.85332489013672
Chronos2,2025-07-01 00:00:00+00:00,HB_PAN,2025-07-01 12:00:00+00:00,32.62,27.4520263671875,19.629436492919922,37.189666748046875
Chronos2,2025-07-01 00:00:00+00:00,HB_PAN,2025-07-01 13:00:00+00:00,31.5675,23.261749267578125,15.972744941711426,31.376535415649414
Chronos2,2025-07-01 00:00:00+00:00,HB_PAN,2025-07-01 14:00:00+00:00,31.930000000000003,21.61662483215332,14.517389297485352,30.087162017822266
Chronos2,2025-07-01 00:00:00+00:00,HB_PAN,2025-07-01 15:00:00+00:00,35.13166666666667,22.0718994140625,14.745519638061523,30.441823959350586
Chronos2,2025-07-01 00:00:00+00:00,HB_PAN,2025-07-01 16:00:00+00:00,36.4825,26.435699462890625,18.287933349609375,37.42980194091797
Chronos2,2025-07-01 00:00:00+00:00,HB_PAN,2025-07-01 17:00:00+00:00,34.97083333333334,29.02372932434082,19.840728759765625,42.54905319213867
Chronos2,2025-07-01 00:00:00+00:00,HB_PAN,2025-07-01 18:00:00+00:00,36.8425,33.02145767211914,21.796550750732422,49.838134765625
Chronos2,2025-07-01 00:00:00+00:00,HB_PAN,2025-07-01 19:00:00+00:00,61.055,33.933494567871094,21.713829040527344,53.81501007080078
Chronos2,2025-07-01 00:00:00+00:00,HB_PAN,2025-07-01 20:00:00+00:00,52.4575,33.67993927001953,21.34025001525879,55.72834014892578
Chronos2,2025-07-01 00:00:00+00:00,HB_PAN,2025-07-01 21:00:00+00:00,57.52333333333333,34.196128845214844,21.03067970275879,58.08279800415039
Chronos2,2025-07-01 00:00:00+00:00,HB_PAN,2025-07-01 22:00:00+00:00,108.5925,36.2098388671875,22.13275146484375,63.426151275634766
Chronos2,2025-07-01 00:00:00+00:00,HB_PAN,2025-07-01 23:00:00+00:00,121.06833333333331,38.65540313720703,23.426237106323242,66.95065307617188
Chronos2,2025-07-01 00:00:00+00:00,LZ_WEST,2025-07-01 00:00:00+00:00,36.055,62.43878173828125,43.56045150756836,92.86104583740234
Chronos2,2025-07-01 00:00:00+00:00,LZ_WEST,2025-07-01 01:00:00+00:00,30.1375,56.97749328613281,39.42647933959961,85.65933990478516
Chronos2,2025-07-01 00:00:00+00:00,LZ_WEST,2025-07-01 02:00:00+00:00,35.46583333333333,51.89003372192383,36.05641555786133,78.75889587402344
Chronos2,2025-07-01 00:00:00+00:00,LZ_WEST,2025-07-01 03:00:00+00:00,38.745,47.32655334472656,33.09931564331055,72.52337646484375
Chronos2,2025-07-01 00:00:00+00:00,LZ_WEST,2025-07-01 04:00:00+00:00,39.086666666666666,44.738304138183594,31.24361801147461,68.25147247314453
Chronos2,2025-07-01 00:00:00+00:00,LZ_WEST,2025-07-01 05:00:00+00:00,61.8475,43.662994384765625,30.63085174560547,66.42106628417969
Chronos2,2025-07-01 00:00:00+00:00,LZ_WEST,2025-07-01 06:00:00+00:00,59.56666666666666,35.68789291381836,25.33778953552246,53.74586486816406
Chronos2,2025-07-01 00:00:00+00:00,LZ_WEST,2025-07-01 07:00:00+00:00,54.833333333333336,30.578371047973633,21.92386817932129,45.56224822998047
Chronos2,2025-07-01 00:00:00+00:00,LZ_WEST,2025-07-01 08:00:00+00:00,57.83916666666666,28.270980834960938,20.178421020507812,41.67961120605469
Chronos2,2025-07-01 00:00:00+00:00,LZ_WEST,2025-07-01 09:00:00+00:00,58.46333333333333,27.496944427490234,19.526004791259766,40.35124969482422
Chronos2,2025-07-01 00:00:00+00:00,LZ_WEST,2025-07-01 10:00:00+00:00,64.66666666666667,26.52005958557129,18.53574562072754,39.189910888671875
Chronos2,2025-07-01 00:00:00+00:00,LZ_WEST,2025-07-01 11:00:00+00:00,45.01,26.247535705566406,17.758642196655273,39.77360534667969
Chronos2,2025-07-01 00:00:00+00:00,LZ_WEST,2025-07-01 12:00:00+00:00,63.52666666666667,22.682565689086914,15.053730010986328,33.42177963256836
Chronos2,2025-07-01 00:00:00+00:00,LZ_WEST,2025-07-01 13:00:00+00:00,35.038333333333334,18.95722198486328,12.671991348266602,28.297758102416992
Chronos2,2025-07-01 00:00:00+00:00,LZ_WEST,2025-07-01 14:00:00+00:00,33.443333333333335,17.9805850982666,11.785144805908203,26.564620971679688
Chronos2,2025-07-01 00:00:00+00:00,LZ_WEST,2025-07-01 15:00:00+00:00,36.07416666666666,17.86614227294922,11.732622146606445,26.266700744628906
Chronos2,2025-07-01 00:00:00+00:00,LZ_WEST,2025-07-01 16:00:00+00:00,36.0525,20.633392333984375,13.502128601074219,31.416248321533203
Chronos2,2025-07-01 00:00:00+00:00,LZ_WEST,2025-07-01 17:00:00+00:00,33.8225,22.580936431884766,14.733270645141602,34.7418327331543
Chronos2,2025-07-01 00:00:00+00:00,LZ_WEST,2025-07-01 18:00:00+00:00,35.6925,25.537776947021484,16.490583419799805,40.514774322509766
Chronos2,2025-07-01 00:00:00+00:00,LZ_WEST,2025-07-01 19:00:00+00:00,58.05666666666667,27.138288497924805,17.3754825592041,42.95953369140625
Chronos2,2025-07-01 00:00:00+00:00,LZ_WEST,2025-07-01 20:00:00+00:00,50.91333333333333,29.186866760253906,18.38850975036621,46.44520950317383
Chronos2,2025-07-01 00:00:00+00:00,LZ_WEST,2025-07-01 21:00:00+00:00,55.28416666666667,32.1832160949707,20.42673110961914,52.64475631713867
Chronos2,2025-07-01 00:00:00+00:00,LZ_WEST,2025-07-01 22:00:00+00:00,104.42833333333334,38.092262268066406,23.61845588684082,64.71452331542969
Chronos2,2025-07-01 00:00:00+00:00,LZ_WEST,2025-07-01 23:00:00+00:00,120.58083333333332,44.704444885253906,27.853042602539062,76.54195404052734
Chronos2,2025-07-02 00:00:00+00:00,HB_HUBAVG,2025-07-02 00:00:00+00:00,124.31583333333332,97.3311538696289,60.742919921875,159.4954833984375
Chronos2,2025-07-02 00:00:00+00:00,HB_HUBAVG,2025-07-02 01:00:00+00:00,130.25833333333333,81.15612030029297,47.29109191894531,131.17469787597656
Chronos2,2025-07-02 00:00:00+00:00,HB_HUBAVG,2025-07-02 02:00:00+00:00,214.5725,57.89546203613281,36.28028869628906,102.77030181884766
Chronos2,2025-07-02 00:00:00+00:00,HB_HUBAVG,2025-07-02 03:00:00+00:00,125.6425,45.82417297363281,30.613264083862305,77.69547271728516
