model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,rmae_mean,rmae_std,inference_time_s,inference_time_per_day_s,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
TimesFM,False,False,336,16.366476763512125,17.823844144157807,22.854962353595187,29.016611552605386,67.44933961834161,34.957737997472904,5.627474070879968,6.83220405664176,0.7685185185185184,0.17114429120113467,0.7213165166272729,0.7533836993721899,0.3674732988032645,171.46,0.51,0.4477157360406091,0.6142061281337048,0.3522364217252396,0.3519848771266541
Toto2,False,False,336,17.058700206627318,21.096122860804275,23.655057854552318,30.3088596889752,68.82834732668668,34.54551843587062,5.882087161955213,7.322944319365903,0.7715360449735449,0.1680169137261353,0.7518247445085948,0.7807037217324465,0.39353733716656,11.28,0.034,0.4760975609756098,0.6115288220551378,0.38977635782747605,0.32954936360509113
Chronos2,True,False,336,17.52200020309045,18.204543948979385,24.194953601654902,28.333333587511106,68.65733368261112,34.737851890358534,6.040889130186307,6.832066727404858,0.7346230158730158,0.1951578684722914,0.7722436742777224,0.8198198446733501,0.4378413944389485,69.12,0.206,0.48315602836879434,0.5428286852589641,0.4353035143769968,0.3055780113177041
SeasonalNaive,False,False,336,22.68972966269841,27.3526269226798,32.86400013392642,43.55341798233521,78.12139868639035,37.22588847844872,8.870673919815793,11.029399130321165,0.8370949074074074,0.15643609245774523,1.0,1.0807059619153478,1.0022682570018027,0.1,0.0,0.30670926517571884,0.30670926517571884,0.30670926517571884,0.20305436774587657
Theta,False,False,336,25.76539953824864,27.528154546170516,31.858414202058146,33.530417783838374,82.64076873417073,37.30937072709,9.75514417456503,11.021835741457279,0.7648396164021163,0.26345496731280826,1.1355533944772638,1.2151715961714653,0.8437103568509334,4.35,0.013,0.36578474184433596,0.2695948504354411,0.5686900958466453,0.20045558086560367
ETS,False,False,336,28.88855582315179,35.397773518691395,35.24928569097276,42.98056634110251,94.10163595323138,41.05442184940466,10.75705189315623,15.254770627360505,0.7459077380952381,0.2830516125433704,1.2731996481493633,1.3257543260812963,1.0015589750565264,63.97,0.19,0.36723016905071526,0.27227150019282687,0.5638977635782748,0.21978494623655911
Toto,False,False,336,30.05027584322759,35.000190664291566,60.945953266359126,79.40864757691318,79.09241409954336,32.970857421184164,8.003077557736075,9.202267144065056,0.7876570767195767,0.16784231283819226,1.3243999064752987,1.357244762057557,0.9789758196978028,505.98,1.506,0.38904109589041097,0.3814274750575595,0.39696485623003197,0.3312521678806798
XGBoost,False,False,336,28.64850469231996,30.483024919755206,35.07923532282042,37.33459558673973,83.00927056188723,33.86935731102414,14.179847570423844,15.246360356719588,0.020833333333333332,0.03418902782693206,1.26261992179738,1.413670806287071,1.030055687439995,464.35,1.382,0.2970014278914802,0.21152542372881356,0.4984025559105431,0.2976919453603391
RandomForest,False,False,336,31.175800184730313,29.742045126998246,38.22230816231621,37.25913543313499,85.35519091118736,34.28164561937546,14.514952252830941,14.925329460804402,0.17046957671957672,0.20386354949095123,1.3740049197669764,1.5767660184067838,1.2828263282040446,530.88,1.58,0.2852872090540252,0.19469542407461382,0.5335463258785943,0.28622398414271555
Naive,False,False,336,31.588733655065035,30.592913789132506,37.01608153779672,35.38643704184417,86.28872421053663,34.035637557963405,12.297748294304844,11.48168984323534,0.8348627645502646,0.24439225877127313,1.3922040555201702,1.5809834834482948,1.2855141609917207,0.1,0.0,0.2830533235938641,0.18347537878787878,0.6190095846645367,0.1277229993120844
LightGBM,False,False,336,34.816140127005326,42.17284903079064,42.794103275709986,51.43680272074375,85.93634157471062,35.22543190970756,15.503084082913537,20.790778406801294,0.3351934523809524,0.31878506000041545,1.534444907214675,1.6657421783890811,1.5424074433330826,1182.8,3.52,0.27534729421521875,0.1859423130775693,0.5303514376996805,0.2603819870334677
