model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
TimesFM,False,False,30,11.91120588791223,5.500436018487075,17.268065300746386,7.86326992685177,27.415404492097775,8.750084179594028,3.9331085975395794,1.906637940299366,0.7925925925925926,0.125099411772353,0.7959278745979254,0.3214285714285714,0.5538461538461539,0.2264150943396226,0.3656307129798903
Chronos2,False,False,30,12.075468605135692,4.8044874627443015,17.440539690411423,7.049511532138146,27.675621640876138,7.732486557762904,3.9954387731748353,1.8209420370345824,0.7296296296296296,0.1561798539389957,0.8069042003054702,0.3568464730290457,0.524390243902439,0.270440251572327,0.3470588235294117
Toto2,False,False,30,12.218959400318289,5.208104504726376,17.552214368723718,7.47634828937636,28.049022248829775,7.9004415784505335,4.033213754335058,1.7996884093691694,0.773611111111111,0.13627871389209065,0.8164925093909468,0.3275862068965517,0.5205479452054794,0.2389937106918239,0.33798882681564246
SeasonalNaive,False,False,30,14.9651824845679,6.306300547703117,22.552636104834207,9.982589345145929,32.45960674050627,10.106983068995511,5.671192096309077,2.175900304419233,0.8675925925925926,0.0896332643891095,1.0,0.3221884498480243,0.3117647058823529,0.3333333333333333,0.3081009296148738
Theta,False,False,30,16.805700710814207,10.176690701315648,22.685026768048825,12.48496571849527,36.26894942348626,10.302455813493742,6.1483448425633105,3.822218712404305,0.8416666666666666,0.1656838304942362,1.1229866878098045,0.366412213740458,0.3076923076923077,0.4528301886792453,0.3092269326683291
Toto,False,False,30,18.233884888622864,6.419893020046948,32.298608813248805,16.360287203901322,41.39689821340077,8.178280660594035,5.075243065320504,1.814042394132092,0.8203703703703705,0.1279454080256194,1.218420484175562,0.3153846153846154,0.4059405940594059,0.2578616352201258,0.3301237964236588
ETS,False,False,30,23.359130787027972,14.48588919924982,27.947726261550816,16.25886639815583,66.36126607203099,25.198521988670464,7.802528919447568,6.165053908304532,0.7648148148148148,0.2417606600240282,1.5608984929596357,0.3276595744680851,0.247588424437299,0.4842767295597484,0.2668067226890756
LightGBM,False,False,30,26.93273617986837,15.204637427890244,32.43382741328539,18.91890869117852,52.99742781736895,13.504705876191704,11.422255985124757,7.497855869055351,0.212962962962963,0.1306999464212324,1.799693134891032,0.2702702702702703,0.2369668246445497,0.3144654088050314,0.2395209580838323
XGBoost,False,False,30,29.72115519722008,9.58008689242416,35.34614557848682,11.036712305124295,58.26156067003912,11.024824476483454,14.760133865246797,4.788345485387886,0.0037037037037037,0.0079651159880024,1.9860202324875451,0.189406099518459,0.1271551724137931,0.3710691823899371,0.1858267716535433
Naive,False,False,30,31.82317515432099,19.154248130009485,36.73829618267208,21.101952449743298,59.19890227477421,14.681635918527425,11.128894666633938,5.8360337095707395,0.8777777777777778,0.1610312701274126,2.1264809291257927,0.2137834036568213,0.1376811594202898,0.4779874213836478,0.127619934792734
RandomForest,False,False,30,35.88423037702948,19.931468070505275,45.58688629660178,26.773042165918,60.425769849286375,15.891146331758703,16.90270983566985,9.934744428262425,0.0851851851851851,0.0787908014796474,2.3978478320617413,0.2237521514629948,0.1540284360189573,0.4088050314465409,0.2324159021406727
