model,origin,covariates_used,multivariate_used,mae,rmse,smape,pinball,coverage
Naive,2025-03-02 06:00:00+00:00,False,False,26.059236111111115,33.84567280055947,102.52757081567674,19.28095963127257,1.0
Naive,2025-03-03 06:00:00+00:00,False,False,26.05283564814815,38.24998017819526,61.95822285804249,19.323083596005656,1.0
Naive,2025-03-04 06:00:00+00:00,False,False,23.43069444444444,28.64215484428901,107.48844413051914,19.023942205886858,1.0
Naive,2025-03-05 06:00:00+00:00,False,False,26.768576388888885,34.80335378790654,81.06720534638183,19.56999229061099,1.0
Naive,2025-03-06 06:00:00+00:00,False,False,20.817175925925923,27.157635505365405,105.59123391836766,12.622539713732058,0.9861111111111112
Naive,2025-03-07 06:00:00+00:00,False,False,19.69008101851852,29.996099236659244,61.62402259557469,8.119588521537048,0.9027777777777778
Naive,2025-03-08 06:00:00+00:00,False,False,17.839780092592594,23.250968393188806,69.58059926744792,7.396301184938168,0.9444444444444444
Naive,2025-03-09 06:00:00+00:00,False,False,19.40627314814815,26.238338550966287,57.1700691417762,7.598871132159892,0.9861111111111112
Naive,2025-03-10 06:00:00+00:00,False,False,28.750046296296293,37.44828083323678,74.82907102794306,9.41812426122194,0.875
Naive,2025-03-11 06:00:00+00:00,False,False,18.14258101851852,26.16693353673035,112.18272024854954,7.563395992109064,0.9861111111111112
Naive,2025-03-12 06:00:00+00:00,False,False,35.80056712962963,51.75712787258595,88.32745852153516,12.65477983296269,0.7916666666666666
Naive,2025-03-13 06:00:00+00:00,False,False,15.357557870370366,21.689495272582953,38.90951861771686,7.276555151654576,1.0
Naive,2025-03-14 06:00:00+00:00,False,False,11.5815625,14.488065284791254,67.20755686396328,6.626528475946462,1.0
Naive,2025-03-15 06:00:00+00:00,False,False,33.492662037037036,40.93167113719318,94.98544823552486,10.975729490096468,0.9583333333333334
Naive,2025-03-16 06:00:00+00:00,False,False,44.02873842592592,48.42512032749778,114.12038243583793,12.138031749035912,0.9305555555555556
Naive,2025-03-17 06:00:00+00:00,False,False,26.866921296296297,36.346795408906594,108.22465542206588,9.335849113810395,0.9444444444444444
Naive,2025-03-18 06:00:00+00:00,False,False,19.075879629629632,23.816821554650183,102.54112480256116,7.750161248852947,1.0
Naive,2025-03-19 06:00:00+00:00,False,False,18.70078703703704,23.892615333143453,101.73460465765558,7.939913569818594,0.9722222222222222
Naive,2025-03-20 06:00:00+00:00,False,False,16.70782407407407,22.179865699283923,68.67078696045006,7.63321563980386,0.9305555555555556
Naive,2025-03-21 06:00:00+00:00,False,False,16.996388888888887,21.055457373433505,102.13482182686482,7.213895482337434,1.0
Naive,2025-03-22 06:00:00+00:00,False,False,16.186041666666668,21.824443695358713,91.61236944139928,7.086801108625284,1.0
Naive,2025-03-23 06:00:00+00:00,False,False,13.555092592592592,21.086383491028275,52.06635640808658,6.648988976383943,1.0
Naive,2025-03-24 06:00:00+00:00,False,False,27.676377314814815,41.20736965354017,77.98892545225846,9.64677173667539,0.9305555555555556
Naive,2025-03-25 06:00:00+00:00,False,False,16.62733796296296,27.332852512779187,46.030674875839914,7.39525109361459,0.9722222222222222
Naive,2025-03-26 06:00:00+00:00,False,False,11.32916666666667,17.19249846397091,41.58012012853845,6.29814903185919,1.0
Naive,2025-03-27 06:00:00+00:00,False,False,10.91579861111111,14.044475551908786,34.02780901153897,6.188133277692994,1.0
Naive,2025-03-28 06:00:00+00:00,False,False,13.175914351851851,16.599110507123587,32.446140592596684,6.498208289181533,1.0
Naive,2025-03-29 06:00:00+00:00,False,False,25.083680555555556,43.22342719507159,55.55715928188979,9.337165357326665,0.9444444444444444
Naive,2025-03-30 06:00:00+00:00,False,False,45.39056712962963,50.869709057596864,73.3063256098971,13.302131161343429,0.6527777777777778
SeasonalNaive,2025-03-02 06:00:00+00:00,False,False,37.2921875,42.99795033482126,126.95003121541488,17.85095538831361,0.9861111111111112
SeasonalNaive,2025-03-03 06:00:00+00:00,False,False,31.2739699074074,43.522000386258995,100.64462736227551,17.389453339502005,0.9444444444444444
SeasonalNaive,2025-03-04 06:00:00+00:00,False,False,24.68320601851852,34.245451597006976,95.96661674324758,15.97433914368854,0.9861111111111112
SeasonalNaive,2025-03-05 06:00:00+00:00,False,False,17.492048611111112,26.662444906880214,102.7682422742499,10.79423181816722,0.9583333333333334
SeasonalNaive,2025-03-06 06:00:00+00:00,False,False,21.01195601851852,30.842091829263246,114.022962498695,8.738193125403372,0.9166666666666666
SeasonalNaive,2025-03-07 06:00:00+00:00,False,False,28.811516203703704,37.276681793402965,114.60141935525898,9.40228321864963,0.6805555555555556
SeasonalNaive,2025-03-08 06:00:00+00:00,False,False,19.982152777777777,27.198443135038215,66.10828203721633,6.59340831592543,0.8611111111111112
SeasonalNaive,2025-03-09 06:00:00+00:00,False,False,21.588692129629628,25.8138057207566,83.73157555347956,6.457512514953257,0.875
SeasonalNaive,2025-03-10 06:00:00+00:00,False,False,20.946018518518517,28.7597281317235,69.08834925651774,6.875333316216111,0.8333333333333334
SeasonalNaive,2025-03-11 06:00:00+00:00,False,False,23.282326388888887,34.65454196369285,116.23153981353542,8.1451563063584,0.8472222222222222
SeasonalNaive,2025-03-12 06:00:00+00:00,False,False,15.906967592592594,22.734425147477676,111.94934397097364,5.623615414028714,0.9166666666666666
SeasonalNaive,2025-03-13 06:00:00+00:00,False,False,19.29523148148148,26.132487053672097,74.42563831038068,6.356943354940835,0.9166666666666666
SeasonalNaive,2025-03-14 06:00:00+00:00,False,False,26.28613425925926,35.32682737780197,88.21615275708436,8.27528646458095,0.7916666666666666
SeasonalNaive,2025-03-15 06:00:00+00:00,False,False,32.53540509259259,41.33790605131295,135.28595687194408,10.062790399549757,0.6805555555555556
SeasonalNaive,2025-03-16 06:00:00+00:00,False,False,23.144270833333337,31.33576550089996,115.97815357973796,7.806842205938047,0.75
SeasonalNaive,2025-03-17 06:00:00+00:00,False,False,17.700590277777778,27.24865962643143,123.05913667495878,6.541075576593271,0.8888888888888888
SeasonalNaive,2025-03-18 06:00:00+00:00,False,False,8.548657407407408,11.80318831821761,73.53982080831898,3.962259930949098,1.0
SeasonalNaive,2025-03-19 06:00:00+00:00,False,False,14.953263888888886,22.002318521294523,93.53519889244892,5.729189862007151,0.8472222222222222
SeasonalNaive,2025-03-20 06:00:00+00:00,False,False,17.65449074074074,25.0169644451551,103.69424449841851,5.917117191723956,0.9027777777777778
SeasonalNaive,2025-03-21 06:00:00+00:00,False,False,15.941481481481482,21.33878227395334,103.2124260359075,5.1969264212341075,0.9305555555555556
SeasonalNaive,2025-03-22 06:00:00+00:00,False,False,8.357662037037036,13.300372935224388,75.50425276829463,3.802666384811104,0.9444444444444444
SeasonalNaive,2025-03-23 06:00:00+00:00,False,False,12.9525,15.55614433037535,92.97230327997455,4.421856634940994,1.0
SeasonalNaive,2025-03-24 06:00:00+00:00,False,False,20.49853009259259,35.230350655383944,80.48060527174337,8.096980049769634,0.8611111111111112
SeasonalNaive,2025-03-25 06:00:00+00:00,False,False,17.29616898148148,27.702391738518468,63.32441116897214,6.311477373189896,0.875
SeasonalNaive,2025-03-26 06:00:00+00:00,False,False,16.352685185185187,24.921433044670607,57.446822536642415,5.979004812511323,0.8888888888888888
SeasonalNaive,2025-03-27 06:00:00+00:00,False,False,8.863483796296297,13.5172328122033,35.388115837575526,3.809961155764432,0.9722222222222222
SeasonalNaive,2025-03-28 06:00:00+00:00,False,False,10.986087962962962,13.839618231483476,30.97300106707267,4.022293483061287,0.9861111111111112
SeasonalNaive,2025-03-29 06:00:00+00:00,False,False,26.544780092592593,43.25724423994416,56.44644690242959,9.794040924270142,0.7777777777777778
SeasonalNaive,2025-03-30 06:00:00+00:00,False,False,30.756678240740737,44.115366541759705,58.20207922446389,11.4757905018405,0.625
ETS,2025-03-02 06:00:00+00:00,False,False,74.5537230860076,131.64264599316374,120.13476604714248,24.4922200307724,0.9305555555555556
ETS,2025-03-03 06:00:00+00:00,False,False,52.77723193445948,65.4633616494672,113.86022341073256,20.887177104460108,0.9444444444444444
ETS,2025-03-04 06:00:00+00:00,False,False,65.8510592703134,89.65513518877927,139.74964194349215,22.726936685625407,1.0
ETS,2025-03-05 06:00:00+00:00,False,False,32.36213653510428,52.34541483686797,77.6156564020664,13.109827270731538,0.9305555555555556
ETS,2025-03-06 06:00:00+00:00,False,False,15.11889991809455,21.506722069125697,95.53502098405858,7.0037194926867565,0.9861111111111112
ETS,2025-03-07 06:00:00+00:00,False,False,28.12667997258406,37.6086346636193,102.60737951386872,9.775148686498232,0.6944444444444444
ETS,2025-03-08 06:00:00+00:00,False,False,18.614702787561985,23.515188298544302,92.4686156903262,5.8357419195231195,0.8472222222222222
ETS,2025-03-09 06:00:00+00:00,False,False,12.925632444422453,15.931229853394347,53.45183454957638,4.630178673209578,0.9861111111111112
ETS,2025-03-10 06:00:00+00:00,False,False,19.286464564648107,24.48785283051056,62.48801892439181,6.055831632145012,0.9305555555555556
ETS,2025-03-11 06:00:00+00:00,False,False,16.524521637145337,24.21924975658692,116.98570413271314,5.724192995866551,0.9444444444444444
ETS,2025-03-12 06:00:00+00:00,False,False,27.634066600757652,40.11782099997983,97.5112072684111,9.327807373309447,0.7361111111111112
ETS,2025-03-13 06:00:00+00:00,False,False,19.64684866447618,26.10375236453071,68.31024726887776,6.341696758248311,0.9166666666666666
ETS,2025-03-14 06:00:00+00:00,False,False,12.848304985320071,15.626234288610911,83.19147680081139,4.83382703530299,0.9861111111111112
ETS,2025-03-15 06:00:00+00:00,False,False,26.43767666396114,32.953062454644154,96.46165961231677,8.557543754017797,0.6944444444444444
ETS,2025-03-16 06:00:00+00:00,False,False,33.97628198636661,37.43380977632658,111.994232772312,10.535170665020136,0.5
ETS,2025-03-17 06:00:00+00:00,False,False,16.568621716307796,23.364699847136,104.32478543722026,5.479906388640816,0.9305555555555556
ETS,2025-03-18 06:00:00+00:00,False,False,8.949812608803066,12.08423786109534,75.23557507234683,4.029119131181707,1.0
ETS,2025-03-19 06:00:00+00:00,False,False,16.572992616768047,20.560232414736586,100.30521831678304,5.60650681414769,0.9305555555555556
ETS,2025-03-20 06:00:00+00:00,False,False,16.551580147204398,24.387632080721403,89.00504310729802,5.605852836584364,0.9305555555555556
ETS,2025-03-21 06:00:00+00:00,False,False,8.058978841832031,11.301382556197408,80.31456909134181,3.6968384646447032,0.9861111111111112
ETS,2025-03-22 06:00:00+00:00,False,False,6.294847141144107,8.697298264687719,76.93675856929812,3.3715615619454486,1.0
ETS,2025-03-23 06:00:00+00:00,False,False,11.671350154276906,14.09379666586162,88.7334409700529,4.216332347994229,0.9722222222222222
ETS,2025-03-24 06:00:00+00:00,False,False,17.680296857350427,32.22413393696357,62.91290509332082,7.305890540930961,0.8472222222222222
ETS,2025-03-25 06:00:00+00:00,False,False,16.12294803311281,26.30410815402882,77.4025985883905,6.0689442190372285,0.8055555555555556
ETS,2025-03-26 06:00:00+00:00,False,False,12.022170223074848,14.876721356794627,66.33664410324351,4.299403009869244,0.9861111111111112
ETS,2025-03-27 06:00:00+00:00,False,False,17.429279368960668,19.613291442113702,92.12847616208306,5.183474808438748,1.0
ETS,2025-03-28 06:00:00+00:00,False,False,14.261474569097752,16.953325262738023,41.64264967883437,4.5469215388999835,0.9722222222222222
ETS,2025-03-29 06:00:00+00:00,False,False,26.953445704509548,43.484180382921615,97.14621402610432,9.87703660376174,0.7361111111111112
