model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
TimesFM,False,False,25,13.579089357168208,1.988979104911293,20.767539143282924,3.879185006287471,31.452705637185858,3.9692032870660694,4.498202456344435,0.7267175002516075,0.7778571428571428,0.0679058119348604,0.7621458589274386,0.1391147244805781,0.4139784946236559,0.0836047774158523,0.2873355687387155
Toto2,False,False,25,14.50913978326081,1.7360715317816826,21.634416662001016,3.332036987435844,33.88882282736973,4.824047951237476,5.037439320224681,0.6933950309773798,0.8398412698412698,0.07272959752577365,0.8143462725336715,0.13664596273291924,0.3737864077669903,0.08360477741585233,0.24926686217008798
Chronos2,False,False,25,16.095639968275645,3.597788890400897,23.56690717434927,4.7786855440954055,37.1814749440532,8.717786088857503,5.2037093846728135,1.0614562308744098,0.7596825396825397,0.0995902413661049,0.9033908700315428,0.2148760330578512,0.2937853107344633,0.1693811074918566,0.2787628865979382
SeasonalNaive,False,False,25,17.8169167989418,5.439989883954052,27.085649984185615,8.97540130015868,38.2086656166155,7.944522561943522,6.533118469014788,1.8844798720125928,0.8190476190476191,0.0827549847631513,1.0,0.2528967254408061,0.2359022556390977,0.2725298588490771,0.2513847464848743
LightGBM,False,False,25,22.488545926805585,5.330336612157969,30.386947723082823,6.75690760399061,50.691567958202626,7.005194468258256,9.40104401513474,2.564875350099091,0.3186507936507936,0.0958939060600346,1.262201882659139,0.0927038626609442,0.221311475409836,0.0586319218241042,0.1027351567711807
Theta,False,False,25,24.609438297454712,13.60789490598908,33.461312793687945,17.225267221574153,54.12203262140048,22.714733309245737,8.836053476200073,5.531222462670522,0.7213492063492063,0.1908033565922603,1.3812400077501816,0.2447738502470543,0.1883040935672514,0.3496199782844734,0.2190839694656489
XGBoost,False,False,25,26.178379914800452,8.651232269746869,33.64603401731639,8.780835073889097,54.428101411150216,10.946531326429085,12.990704966014697,4.324907213850237,0.0114285714285714,0.0076799812085098,1.4692991054633686,0.1075463172164482,0.0921052631578947,0.1292073832790445,0.1069662921348314
RandomForest,False,False,25,30.253041980429735,11.854391451257312,38.351941972959914,13.169969893565453,59.33796209170759,13.654550513229884,14.090317682000912,5.887956514893734,0.0997619047619047,0.073365536116386,1.6979953558646328,0.1357592722183345,0.1001548786783686,0.2106406080347448,0.1446416831032215
Naive,False,False,25,36.275910119047616,24.24045890914112,42.26135009387556,24.762368118292553,64.3234740601134,20.43662677723049,18.75730412904262,5.6317540816185545,0.9717460317460318,0.0455650949582992,2.036037465315107,0.1381849685943253,0.0863095238095238,0.3463626492942454,0.1352874859075535
ETS,False,False,25,48.15577228849732,29.234503415324827,56.700247602911304,32.76415656329101,100.43063056975512,40.97906724101082,18.068899956147884,13.122572070321528,0.4467460317460317,0.2752616657489549,2.702811762097774,0.1901270772238514,0.1226742352570167,0.4223669923995657,0.1853075350007865
Toto,False,False,25,51.0769532548437,22.092464085345153,254.8383906772113,235.7812568010887,65.33237297803315,12.32886369983147,11.71581798702022,3.963806447319276,0.916031746031746,0.0524131695055405,2.866767232020599,0.1925082977714556,0.1708754208754208,0.2204125950054288,0.2418119602411602
