model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
Chronos2,False,False,23,16.032702879610078,1.9316463305504523,23.165870056512745,3.2654745465508,87.04410762011317,8.184844859376533,5.300634102671893,0.6803167344550995,0.815562456866805,0.0706708677578113,0.7853110267690788,0.0,0.0,0.0,0.120042872454448
TimesFM,False,False,23,16.262180072289446,2.035614227874885,22.987716666506685,3.31466750645502,85.8785469701577,8.14214440373709,5.368576085172372,0.7674187436977433,0.7990855762594894,0.0944824545232527,0.7965512381767453,0.0,0.0,0.0,0.1165644171779141
Toto2,False,False,23,16.423320687422674,1.9974925323793846,23.549378734688776,3.3437205908845185,85.5689504587257,8.221697880670673,5.474658841565107,0.6206878422528758,0.8272084195997238,0.06925047603667941,0.804444199387011,0.0,0.0,0.0,0.09778225806451614
SeasonalNaive,False,False,23,20.415736355532548,3.831653923852236,28.836351893211585,4.371627673275718,95.77223427600497,12.271362158170598,7.016313076711734,1.222102377500619,0.825655624568668,0.0989927036094118,1.0,0.0293159609120521,0.0285714285714285,0.0301003344481605,0.0767473732297852
Naive,False,False,23,23.876865007476415,8.269853744068662,32.08427403103762,8.47722222351546,83.92514045284355,17.858702280845176,15.556817175937276,2.009071444293161,0.9923222912353348,0.0078564010145117,1.169532393623702,0.0171306209850107,0.0238095238095238,0.0133779264214046,0.0515164835164835
Theta,False,False,23,24.517347378515616,7.805880552563658,32.5611498426061,8.628466516635854,95.78526232615869,16.390397854241336,8.026608081798232,2.510485751718894,0.7675983436853001,0.1620039636029007,1.200904388240278,0.046594982078853,0.0501930501930501,0.0434782608695652,0.0571428571428571
XGBoost,False,False,23,24.578449527981576,8.704645334374899,33.57966009219298,9.36491624584534,82.8905042806633,17.20020732499279,12.116947513172242,4.353378255946514,0.0268288474810213,0.0144963476105029,1.2038972829564856,0.0144578313253012,0.0258620689655172,0.0100334448160535,0.0191387559808612
ETS,False,False,23,26.929459454795,10.628281876092256,35.08467997511163,11.700955300939624,104.39705433891751,23.85616644301025,9.174520941210009,3.9099179106671778,0.737232574189096,0.1898243264011711,1.3190540368384642,0.0526976160602258,0.0421686746987951,0.0702341137123745,0.0720653789004457
RandomForest,False,False,23,27.60759882671164,17.8578202094892,38.745865690766365,25.90289114751428,85.44257438315361,18.56292884578804,11.701814467935264,8.45061632050982,0.3929434092477571,0.178640886595985,1.352270540035169,0.0299500831946755,0.0298013245033112,0.0301003344481605,0.0300925925925925
Toto,False,False,23,47.06575104699651,22.16460224313207,236.09237815758937,307.1622333128392,106.15637474298056,11.228047154562626,10.728698408937715,3.573605170598237,0.8410110420979988,0.0712133103960858,2.3053663226916603,0.0255183413078149,0.024390243902439,0.0267558528428093,0.1080050825921219
LightGBM,False,False,23,50.206379293496845,67.49687926111851,81.04291264138969,122.17279775567832,88.564021824541,21.169562743882853,22.297483488310807,32.57332919207116,0.5885955831608005,0.1839004407533385,2.4592000219424466,0.0234948604992657,0.0150517403574788,0.0535117056856187,0.0444815123714206
