model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
TimesFM,False,False,30,12.143723308704518,10.100351488730478,16.752153170622766,15.155957171476365,27.477887966969785,10.682952685301684,4.1078658114576045,3.718823768733792,0.7708333333333335,0.22591691314749,0.5450376199857697,0.481132075471698,0.75,0.3541666666666667,0.3791304347826087
Toto2,False,False,30,12.48173433823056,10.238041985823003,17.187057868680725,15.29398564508497,27.88793648588101,10.484586453260967,4.4093992826026165,3.637855133520056,0.776388888888889,0.21143828205729817,0.5602083153630071,0.502127659574468,0.6483516483516484,0.4097222222222222,0.31322207958921694
Chronos2,False,False,30,12.835578340442092,9.366460815477351,17.852068686169567,13.557240356087936,29.06321649842799,10.585132148892807,4.2592667839792036,3.0196629596116034,0.6944444444444444,0.2110928354662592,0.5760896301714048,0.4794007490636704,0.5203252032520326,0.4444444444444444,0.3382352941176471
RandomForest,False,False,30,15.231136187505037,15.762565528829924,20.082383955413093,20.721104830883625,31.590804143400245,14.514738202359135,7.164753728819377,7.863529175353908,0.1875,0.1548989947019372,0.6836076552704722,0.4042553191489362,0.4130434782608695,0.3958333333333333,0.4084507042253522
XGBoost,False,False,30,16.483173659872122,21.258056479832856,20.73208516284351,22.78896284728133,32.39544496195047,16.523208828689803,8.168954136816554,10.62963920143924,0.0287037037037037,0.0332431908722523,0.73980191354897,0.4244372990353697,0.3952095808383233,0.4583333333333333,0.4244372990353697
Naive,False,False,30,16.661625,19.1846894777503,20.69241609692171,21.195404931074695,32.89882535161449,15.864156853423696,6.498307876385365,5.402899804730301,0.8546296296296296,0.206869341745421,0.747811211128803,0.4107142857142857,0.359375,0.4791666666666667,0.25
Theta,False,False,30,16.716018240889646,19.206011678051276,20.857293189968527,21.318017200126988,33.33832203487156,16.475964067946055,6.771024849602148,5.608355110585024,0.888425925925926,0.1886873698088381,0.7502525021401484,0.4107142857142857,0.359375,0.4791666666666667,0.2423625254582484
LightGBM,False,False,30,19.607032286508332,23.933866255444286,24.946594847523592,27.94208024748869,36.130546641545074,19.208718892204924,8.66099301467221,11.728081761715377,0.4013888888888888,0.2612526704532033,0.8800077159830052,0.4587155963302752,0.4098360655737705,0.5208333333333334,0.4362606232294618
ETS,False,False,30,19.94407257581848,16.79402974580984,24.101347948328257,19.433437699857507,55.14706271698923,33.32275630741597,7.355036457211685,5.009911886158552,0.8731481481481481,0.1970961168737073,0.8951348423556265,0.4107142857142857,0.359375,0.4791666666666667,0.2707838479809976
SeasonalNaive,False,False,30,22.280523148148152,14.002469279807356,29.184248518983328,17.878869749542563,48.466273833917626,16.981353196820397,8.343725031451266,4.660474017973508,0.8203703703703706,0.1965472714233856,1.0,0.0816326530612244,0.08,0.0833333333333333,0.1872427983539094
Toto,False,False,30,27.0216697934599,22.454713998225667,58.69871178307806,52.44363515095623,47.65446782337388,13.285502408058806,6.646022704975451,5.2435508006821205,0.775,0.2168150014550816,1.2127933268795714,0.3478260869565217,0.3636363636363636,0.3333333333333333,0.3179190751445086
