knob,knob_value,knob_label,model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
freq,1h,1h（基准）,Naive,False,False,30,43.80397646604938,60.10592744270569,54.883525422199554,76.9530024592089,73.47159087233034,26.404822987010178,18.100457340052966,25.30219876676198,0.7953703703703705,0.23482584096089254,0.9032421894605424,0.7014218009478673,0.6166666666666667,0.8131868131868132,0.4466192170818505
freq,1h,1h（基准）,SeasonalNaive,False,False,30,48.496380015432095,71.72981646931645,69.68774242951989,106.42216829969372,80.89379419725728,31.839622289936806,18.724747999268878,28.327694857654002,0.7611111111111111,0.2192040408446745,1.0,0.6319702602230484,0.6415094339622641,0.6227106227106227,0.5505882352941176
freq,1h,1h（基准）,ETS,False,False,30,49.83605471450222,97.30912727688766,62.62041724372416,114.56497286586882,76.23560984819493,31.004140354073666,21.014691630486844,43.85834827206965,0.8027777777777777,0.27151268073972007,1.0276242205839656,0.7347611202635915,0.6676646706586826,0.8168498168498168,0.5548854041013269
freq,1h,1h（基准）,Theta,False,False,30,42.45122782240465,61.52721633111759,53.536781636790465,78.21540917668811,73.58521085497021,29.386467478724832,16.941936168402986,25.555239999028093,0.7569444444444445,0.2660426243734998,0.8753483828874689,0.7015873015873016,0.6190476190476191,0.8095238095238095,0.4967602591792657
freq,1h,1h（基准）,RandomForest,False,False,30,41.22238875022568,54.66773428935049,54.77017930046543,78.29875279290991,72.37365000440113,25.89895928922207,19.63511574782143,27.24019972340769,0.10462962962962961,0.07697446711154045,0.8500096035437749,0.6712095400340714,0.6273885350318471,0.7216117216117216,0.6666666666666666
freq,1h,1h（基准）,LightGBM,False,False,30,57.133081390329046,88.1876804326952,72.57830973553054,111.04293538586792,76.18420655203354,29.544894348491322,26.739835334357952,43.22350870662205,0.18379629629629632,0.13938261011598072,1.1780896094130873,0.6879194630872483,0.6346749226006192,0.7509157509157509,0.6887417218543045
freq,1h,1h（基准）,XGBoost,False,False,30,42.256266705407036,55.194928029598834,56.06539033058023,79.13823559217597,73.88442452067441,25.867691848692154,21.009618762106665,27.590075787801123,0.011574074074074075,0.012465659275774314,0.8713282659852264,0.6787003610108303,0.6690391459074733,0.6886446886446886,0.6798561151079136
freq,1h,1h（基准）,TimesFM,False,False,30,31.469867292034042,49.73856537257491,44.23685763277031,75.20358206006253,64.0707360909896,29.462650978923694,11.635131683964419,19.22939708374153,0.7458333333333333,0.21972409513646673,0.6489116771606454,0.6603053435114504,0.6892430278884463,0.6336996336996337,0.6216216216216216
freq,1h,1h（基准）,Chronos2,False,False,30,34.13343840824233,52.203255335283345,46.685906758648194,76.30036631017163,67.10997409650389,30.448287486157824,12.93083882390079,20.38791888379734,0.6953703703703702,0.2557450317445145,0.7038347686441891,0.7607142857142857,0.7421602787456446,0.7802197802197802,0.6216216216216216
freq,1h,1h（基准）,Toto,False,False,30,66.77209297456739,106.56105583743958,147.05689618325047,301.2208220393724,76.55708969071732,26.182067898696648,17.7961533339852,26.382555379607016,0.7439814814814817,0.21178265915507077,1.376846951325434,0.6339754816112083,0.6073825503355704,0.663003663003663,0.6258503401360545
freq,1h,1h（基准）,Toto2,False,False,30,38.29455294212,67.36188318537651,50.896897420538366,86.62667676539469,64.6920599746065,29.11586041527041,13.638536854362782,22.05786000735219,0.7259259259259259,0.2273973034309813,0.7896373488069468,0.7420494699646644,0.7167235494880546,0.7692307692307693,0.6284153005464481
freq,15min,15min（联动等时长）,Naive,False,False,30,50.23422569444445,69.53921368499873,62.21435615085673,84.42633123704684,75.35229940116398,24.71389655232129,19.168192892209262,24.470485084431214,0.7961805555555556,0.22763791084575105,1.0017692494275399,0.6961675227182932,0.6118055555555556,0.8075160403299725,0.4180857310628303
freq,15min,15min（联动等时长）,SeasonalNaive,False,False,30,50.14550578703704,74.42049793468135,74.34197783077933,112.16903026999134,81.9803313874705,31.87318723040155,19.43391641012156,29.367123582100923,0.7690972222222221,0.21731183251003228,1.0,0.6378174976481655,0.6550724637681159,0.6214482126489459,0.5512567071448743
freq,15min,15min（联动等时长）,ETS,False,False,30,48.66338535450144,70.35561801398714,62.2187937724926,87.17759022601098,82.7140148341481,31.500463779032508,19.01601194611793,28.416864898901014,0.7890046296296297,0.27855026172444325,0.9704436038828681,0.7063048683160414,0.6254416961130742,0.8111824014665444,0.5325410299943407
freq,15min,15min（联动等时长）,Theta,False,False,30,47.348381317133814,68.20728118716154,58.94646969782511,84.17254192248812,76.77030292573954,27.4243798816435,18.30104869264763,27.77300009804692,0.7407407407407408,0.2643397910266773,0.9442198373313386,0.6958925750394945,0.611380985426787,0.8075160403299725,0.47681783633139085
freq,15min,15min（联动等时长）,RandomForest,False,False,30,46.40999776378123,54.32481499557308,61.04462002552655,76.84935591201365,75.62078131080756,24.8254416807641,22.521523773117263,26.784783214790068,0.04247685185185187,0.05654275763084682,0.9255066238813077,0.6509225092250922,0.544780728844966,0.8084326306141155,0.6473394495412843
freq,15min,15min（联动等时长）,LightGBM,False,False,30,53.54229037782697,77.56872819922728,71.35149950450737,100.45618226385493,77.12643383379708,27.356179852133465,25.622715520075797,38.102402834487016,0.09351851851851851,0.11743756184792258,1.067738564752258,0.6283215607130845,0.4962805526036132,0.8560953253895509,0.6194573130377233
freq,15min,15min（联动等时长）,XGBoost,False,False,30,42.50229762495005,50.78900483068282,58.36136797498111,74.56648941759941,72.21465105260275,25.659345822620185,21.164605244683553,25.359854959010093,0.006712962962962962,0.007708715650623478,0.8475793983503341,0.6490066225165563,0.5421020282728949,0.8084326306141155,0.6490066225165563
freq,15min,15min（联动等时长）,TimesFM,False,False,30,31.024146228587192,48.72481264037817,44.73715477899882,74.36530979301088,64.93473199550046,29.732352933177893,11.75085421680705,18.502430150523125,0.721412037037037,0.23046364768770208,0.618682486928014,0.7210769877997476,0.666407465007776,0.7855178735105408,0.6293190204629319
freq,15min,15min（联动等时长）,Chronos2,False,False,30,32.95523462768617,51.50164812555043,47.014377588700675,78.61861313534715,64.35373030443526,28.99502479817115,12.111318238504877,20.071780648034874,0.708912037037037,0.235233054374894,0.6571921872249881,0.7211759301791456,0.7228360957642725,0.7195233730522457,0.6259592926259593
freq,15min,15min（联动等时长）,Toto,False,False,30,91.42943414048861,136.87301244974714,301.7256616429255,570.7955433409822,83.54673723931411,26.00120664757654,22.09789330145227,31.3961264071256,0.7723379629629629,0.20992195873569472,1.8232827190691883,0.5775127768313458,0.5393794749403341,0.6214482126489459,0.6171052631578947
freq,15min,15min（联动等时长）,Toto2,False,False,30,31.35272227114881,49.333539797159794,44.77513799521282,75.16665843776525,62.65563889844388,28.325414791901363,11.79802174285937,18.552837031133336,0.7697916666666665,0.20717298389179425,0.6252349393842132,0.7220279720279721,0.6900584795321637,0.7571035747021082,0.6211920529801324
