model,origin,node,ts,actual,mean,q10,q90
Naive,2026-01-01 00:00:00+00:00,LZ_LCRA,2026-01-01 00:00:00+00:00,52.13,50.85,47.07529736174191,54.62470263825809
Naive,2026-01-01 00:00:00+00:00,LZ_LCRA,2026-01-01 00:15:00+00:00,50.32,50.85,45.51176433504991,56.18823566495009
Naive,2026-01-01 00:00:00+00:00,LZ_LCRA,2026-01-01 00:30:00+00:00,47.22,50.85,44.31202324707271,57.387976752927294
Naive,2026-01-01 00:00:00+00:00,LZ_LCRA,2026-01-01 00:45:00+00:00,44.64,50.85,43.300594723483826,58.39940527651618
Naive,2026-01-01 00:00:00+00:00,LZ_LCRA,2026-01-01 01:00:00+00:00,59.81,50.85,42.40950830600711,59.29049169399289
Naive,2026-01-01 00:00:00+00:00,LZ_LCRA,2026-01-01 01:15:00+00:00,60.4,50.85,41.60390460553021,60.09609539446979
Naive,2026-01-01 00:00:00+00:00,LZ_LCRA,2026-01-01 01:30:00+00:00,58.13,50.85,40.86307554594969,60.83692445405031
Naive,2026-01-01 00:00:00+00:00,LZ_LCRA,2026-01-01 01:45:00+00:00,45.02,50.85,40.17352867009981,61.52647132990019
Naive,2026-01-01 00:00:00+00:00,LZ_LCRA,2026-01-01 02:00:00+00:00,34.93,50.85,39.525892085225735,62.17410791477427
Naive,2026-01-01 00:00:00+00:00,LZ_LCRA,2026-01-01 02:15:00+00:00,30.51,50.85,38.9133421732578,62.7866578267422
Naive,2026-01-01 00:00:00+00:00,LZ_LCRA,2026-01-01 02:30:00+00:00,29.34,50.85,38.33072765373329,63.36927234626671
Naive,2026-01-01 00:00:00+00:00,LZ_LCRA,2026-01-01 02:45:00+00:00,29.44,50.85,37.774046494145416,63.92595350585459
Naive,2026-01-01 00:00:00+00:00,LZ_LCRA,2026-01-01 03:00:00+00:00,25.44,50.85,37.240116088131266,64.45988391186873
Naive,2026-01-01 00:00:00+00:00,LZ_LCRA,2026-01-01 03:15:00+00:00,24.13,50.85,36.72635599068654,64.97364400931346
Naive,2026-01-01 00:00:00+00:00,LZ_LCRA,2026-01-01 03:30:00+00:00,23.66,50.85,36.23063954514122,65.46936045485879
Naive,2026-01-01 00:00:00+00:00,LZ_LCRA,2026-01-01 03:45:00+00:00,23.16,50.85,35.75118944696764,65.94881055303236
Naive,2026-01-01 00:00:00+00:00,LZ_LCRA,2026-01-01 04:00:00+00:00,21.3,50.85,35.28650231716425,66.41349768283575
Naive,2026-01-01 00:00:00+00:00,LZ_LCRA,2026-01-01 04:15:00+00:00,20.32,50.85,34.83529300514972,66.86470699485028
Naive,2026-01-01 00:00:00+00:00,LZ_LCRA,2026-01-01 04:30:00+00:00,19.98,50.85,34.396452657916626,67.30354734208338
Naive,2026-01-01 00:00:00+00:00,LZ_LCRA,2026-01-01 04:45:00+00:00,19.49,50.85,33.96901661201423,67.73098338798577
Naive,2026-01-01 00:00:00+00:00,LZ_LCRA,2026-01-01 05:00:00+00:00,18.83,50.85,33.5521394342328,68.1478605657672
Naive,2026-01-01 00:00:00+00:00,LZ_LCRA,2026-01-01 05:15:00+00:00,18.69,50.85,33.14507525686719,68.55492474313282
Naive,2026-01-01 00:00:00+00:00,LZ_LCRA,2026-01-01 05:30:00+00:00,18.54,50.85,32.74716209631018,68.95283790368983
Naive,2026-01-01 00:00:00+00:00,LZ_LCRA,2026-01-01 05:45:00+00:00,18.31,50.85,32.35780921106043,69.34219078893958
Naive,2026-01-01 00:00:00+00:00,LZ_RAYBN,2026-01-01 00:00:00+00:00,53.01,54.32,49.703286030758406,58.936713969241595
Naive,2026-01-01 00:00:00+00:00,LZ_RAYBN,2026-01-01 00:15:00+00:00,50.32,54.32,47.790980491101216,60.849019508898785
Naive,2026-01-01 00:00:00+00:00,LZ_RAYBN,2026-01-01 00:30:00+00:00,47.22,54.32,46.32361684126059,62.31638315873941
Naive,2026-01-01 00:00:00+00:00,LZ_RAYBN,2026-01-01 00:45:00+00:00,44.64,54.32,45.08657206151682,63.55342793848318
Naive,2026-01-01 00:00:00+00:00,LZ_RAYBN,2026-01-01 01:00:00+00:00,59.81,54.32,43.996713732102926,64.64328626789707
Naive,2026-01-01 00:00:00+00:00,LZ_RAYBN,2026-01-01 01:15:00+00:00,60.4,54.32,43.01140648697891,65.62859351302109
Naive,2026-01-01 00:00:00+00:00,LZ_RAYBN,2026-01-01 01:30:00+00:00,58.13,54.32,42.10532296306885,66.53467703693116
Naive,2026-01-01 00:00:00+00:00,LZ_RAYBN,2026-01-01 01:45:00+00:00,45.02,54.32,41.26196098220244,67.37803901779756
Naive,2026-01-01 00:00:00+00:00,LZ_RAYBN,2026-01-01 02:00:00+00:00,34.93,54.32,40.469858092275224,68.17014190772477
Naive,2026-01-01 00:00:00+00:00,LZ_RAYBN,2026-01-01 02:15:00+00:00,30.51,54.32,39.72066855168003,68.91933144831997
Naive,2026-01-01 00:00:00+00:00,LZ_RAYBN,2026-01-01 02:30:00+00:00,29.34,54.32,39.008091999633265,69.63190800036674
Naive,2026-01-01 00:00:00+00:00,LZ_RAYBN,2026-01-01 02:45:00+00:00,29.44,54.32,38.32723368252117,70.31276631747883
Naive,2026-01-01 00:00:00+00:00,LZ_RAYBN,2026-01-01 03:00:00+00:00,25.47,54.32,37.67420105974857,70.96579894025143
Naive,2026-01-01 00:00:00+00:00,LZ_RAYBN,2026-01-01 03:15:00+00:00,24.22,54.32,37.04583807436476,71.59416192563523
Naive,2026-01-01 00:00:00+00:00,LZ_RAYBN,2026-01-01 03:30:00+00:00,23.78,54.32,36.43954368292418,72.20045631707582
Naive,2026-01-01 00:00:00+00:00,LZ_RAYBN,2026-01-01 03:45:00+00:00,23.33,54.32,35.85314412303364,72.78685587696637
Naive,2026-01-01 00:00:00+00:00,LZ_RAYBN,2026-01-01 04:00:00+00:00,21.3,54.32,35.28480066155235,73.35519933844765
Naive,2026-01-01 00:00:00+00:00,LZ_RAYBN,2026-01-01 04:15:00+00:00,20.32,54.32,34.732941473303654,73.90705852669635
Naive,2026-01-01 00:00:00+00:00,LZ_RAYBN,2026-01-01 04:30:00+00:00,19.98,54.32,34.19621035684335,74.44378964315665
Naive,2026-01-01 00:00:00+00:00,LZ_RAYBN,2026-01-01 04:45:00+00:00,19.49,54.32,33.67342746420586,74.96657253579414
Naive,2026-01-01 00:00:00+00:00,LZ_RAYBN,2026-01-01 05:00:00+00:00,18.83,54.32,33.16355877399038,75.47644122600963
Naive,2026-01-01 00:00:00+00:00,LZ_RAYBN,2026-01-01 05:15:00+00:00,18.69,54.32,32.66569204007226,75.97430795992774
Naive,2026-01-01 00:00:00+00:00,LZ_RAYBN,2026-01-01 05:30:00+00:00,18.54,54.32,32.17901761219299,76.46098238780701
Naive,2026-01-01 00:00:00+00:00,LZ_RAYBN,2026-01-01 05:45:00+00:00,18.31,54.32,31.702812973957823,76.93718702604218
Naive,2026-01-01 00:00:00+00:00,LZ_WEST,2026-01-01 00:00:00+00:00,53.59,56.61,50.35152025507125,62.86847974492875
Naive,2026-01-01 00:00:00+00:00,LZ_WEST,2026-01-01 00:15:00+00:00,50.32,56.61,47.75917306488445,65.46082693511555
Naive,2026-01-01 00:00:00+00:00,LZ_WEST,2026-01-01 00:30:00+00:00,47.22,56.61,45.7699951036427,67.4500048963573
Naive,2026-01-01 00:00:00+00:00,LZ_WEST,2026-01-01 00:45:00+00:00,44.64,56.61,44.093040510142494,69.1269594898575
Naive,2026-01-01 00:00:00+00:00,LZ_WEST,2026-01-01 01:00:00+00:00,59.81,56.61,42.61561385453376,70.60438614546624
Naive,2026-01-01 00:00:00+00:00,LZ_WEST,2026-01-01 01:15:00+00:00,60.4,56.61,41.27991805938075,71.94008194061925
Naive,2026-01-01 00:00:00+00:00,LZ_WEST,2026-01-01 01:30:00+00:00,58.13,56.61,40.05161900958357,73.16838099041644
Naive,2026-01-01 00:00:00+00:00,LZ_WEST,2026-01-01 01:45:00+00:00,45.02,56.61,38.9083461297689,74.3116538702311
Naive,2026-01-01 00:00:00+00:00,LZ_WEST,2026-01-01 02:00:00+00:00,34.93,56.61,37.834560765213745,75.38543923478625
Naive,2026-01-01 00:00:00+00:00,LZ_WEST,2026-01-01 02:15:00+00:00,30.51,56.61,36.81894931599551,76.40105068400449
Naive,2026-01-01 00:00:00+00:00,LZ_WEST,2026-01-01 02:30:00+00:00,29.34,56.61,35.852970928032164,77.36702907196783
Naive,2026-01-01 00:00:00+00:00,LZ_WEST,2026-01-01 02:45:00+00:00,29.44,56.61,34.92999020728539,78.29000979271461
Naive,2026-01-01 00:00:00+00:00,LZ_WEST,2026-01-01 03:00:00+00:00,26.22,56.61,34.044730373206605,79.1752696267934
Naive,2026-01-01 00:00:00+00:00,LZ_WEST,2026-01-01 03:15:00+00:00,26.16,56.61,33.19291303241224,80.02708696758776
Naive,2026-01-01 00:00:00+00:00,LZ_WEST,2026-01-01 03:30:00+00:00,24.64,56.61,32.371012175314505,80.8489878246855
Naive,2026-01-01 00:00:00+00:00,LZ_WEST,2026-01-01 03:45:00+00:00,23.82,56.61,31.57608102028499,81.64391897971501
Naive,2026-01-01 00:00:00+00:00,LZ_WEST,2026-01-01 04:00:00+00:00,21.3,56.61,30.805626955870085,82.41437304412992
Naive,2026-01-01 00:00:00+00:00,LZ_WEST,2026-01-01 04:15:00+00:00,20.32,56.61,30.057519194653356,83.16248080534665
Naive,2026-01-01 00:00:00+00:00,LZ_WEST,2026-01-01 04:30:00+00:00,19.98,56.61,29.32991925165936,83.89008074834064
Naive,2026-01-01 00:00:00+00:00,LZ_WEST,2026-01-01 04:45:00+00:00,19.49,56.61,28.621227709067533,84.59877229093246
Naive,2026-01-01 00:00:00+00:00,LZ_WEST,2026-01-01 05:00:00+00:00,18.83,56.61,27.93004283351608,85.28995716648392
Naive,2026-01-01 00:00:00+00:00,LZ_WEST,2026-01-01 05:15:00+00:00,18.69,56.61,27.255127971850463,85.96487202814953
Naive,2026-01-01 00:00:00+00:00,LZ_WEST,2026-01-01 05:30:00+00:00,18.54,56.61,26.59538555125655,86.62461444874344
Naive,2026-01-01 00:00:00+00:00,LZ_WEST,2026-01-01 05:45:00+00:00,18.31,56.61,25.94983611876149,87.27016388123852
Naive,2026-01-01 06:00:00+00:00,LZ_LCRA,2026-01-01 06:00:00+00:00,17.95,18.31,13.954124953858248,22.66587504614175
