model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
TimesFM,False,False,30,31.024146228587192,48.72481264037817,44.73715477899882,74.36530979301088,64.93473199550046,29.732352933177893,11.75085421680705,18.502430150523125,0.721412037037037,0.23046364768770208,0.618682486928014,0.7210769877997476,0.666407465007776,0.7855178735105408,0.6293190204629319
Toto2,False,False,30,31.35272227114881,49.333539797159794,44.77513799521282,75.16665843776525,62.65563889844388,28.325414791901363,11.79802174285937,18.552837031133336,0.7697916666666665,0.20717298389179425,0.6252349393842132,0.7220279720279721,0.6900584795321637,0.7571035747021082,0.6211920529801324
Chronos2,False,False,30,32.95523462768617,51.50164812555043,47.014377588700675,78.61861313534715,64.35373030443526,28.99502479817115,12.111318238504877,20.071780648034874,0.708912037037037,0.235233054374894,0.6571921872249881,0.7211759301791456,0.7228360957642725,0.7195233730522457,0.6259592926259593
XGBoost,False,False,30,42.50229762495005,50.78900483068282,58.36136797498111,74.56648941759941,72.21465105260275,25.659345822620185,21.164605244683553,25.359854959010093,0.006712962962962962,0.007708715650623478,0.8475793983503341,0.6490066225165563,0.5421020282728949,0.8084326306141155,0.6490066225165563
RandomForest,False,False,30,46.40999776378123,54.32481499557308,61.04462002552655,76.84935591201365,75.62078131080756,24.8254416807641,22.521523773117263,26.784783214790068,0.04247685185185187,0.05654275763084682,0.9255066238813077,0.6509225092250922,0.544780728844966,0.8084326306141155,0.6473394495412843
Theta,False,False,30,47.348381317133814,68.20728118716154,58.94646969782511,84.17254192248812,76.77030292573954,27.4243798816435,18.30104869264763,27.77300009804692,0.7407407407407408,0.2643397910266773,0.9442198373313386,0.6958925750394945,0.611380985426787,0.8075160403299725,0.47681783633139085
ETS,False,False,30,48.66338535450144,70.35561801398714,62.2187937724926,87.17759022601098,82.7140148341481,31.500463779032508,19.01601194611793,28.416864898901014,0.7890046296296297,0.27855026172444325,0.9704436038828681,0.7063048683160414,0.6254416961130742,0.8111824014665444,0.5325410299943407
SeasonalNaive,False,False,30,50.14550578703704,74.42049793468135,74.34197783077933,112.16903026999134,81.9803313874705,31.87318723040155,19.43391641012156,29.367123582100923,0.7690972222222221,0.21731183251003228,1.0,0.6378174976481655,0.6550724637681159,0.6214482126489459,0.5512567071448743
Naive,False,False,30,50.23422569444445,69.53921368499873,62.21435615085673,84.42633123704684,75.35229940116398,24.71389655232129,19.168192892209262,24.470485084431214,0.7961805555555556,0.22763791084575105,1.0017692494275399,0.6961675227182932,0.6118055555555556,0.8075160403299725,0.4180857310628303
LightGBM,False,False,30,53.54229037782697,77.56872819922728,71.35149950450737,100.45618226385493,77.12643383379708,27.356179852133465,25.622715520075797,38.102402834487016,0.09351851851851851,0.11743756184792258,1.067738564752258,0.6283215607130845,0.4962805526036132,0.8560953253895509,0.6194573130377233
Toto,False,False,30,91.42943414048861,136.87301244974714,301.7256616429255,570.7955433409822,83.54673723931411,26.00120664757654,22.09789330145227,31.3961264071256,0.7723379629629629,0.20992195873569472,1.8232827190691883,0.5775127768313458,0.5393794749403341,0.6214482126489459,0.6171052631578947
