model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,rmae_mean,rmae_std,inference_time_s,inference_time_per_day_s,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
TimesFM,False,False,336,16.366476763512125,17.823844144157807,22.854962353595187,29.016611552605386,67.44933961834161,34.957737997472904,5.627474070879968,6.83220405664176,0.7685185185185184,0.17114429120113467,0.7213165166272729,0.7533836993721899,0.3674732988032645,144.81,0.431,0.449975111996018,0.6116373477672531,0.35590551181102364,0.35261504343004996
Chronos2,False,False,336,16.867070959745043,18.797621816741433,23.43018859051203,29.124225014885845,68.9008910951191,35.157638284564484,5.811070899498527,7.200787156081198,0.7310267857142857,0.18621567597514607,0.7433791063396522,0.7702356145528201,0.3788302098698326,31.33,0.093,0.48979591836734704,0.5959367945823928,0.415748031496063,0.34641699675909254
Toto2,False,False,336,17.058700206627318,21.096122860804275,23.655057854552318,30.3088596889752,68.82834732668668,34.54551843587062,5.882087161955213,7.322944319365903,0.7715360449735449,0.1680169137261353,0.7518247445085948,0.7807037217324465,0.39353733716656,14.14,0.042,0.4782400765184123,0.6090133982947625,0.3937007874015748,0.32800672834314554
SeasonalNaive,False,False,336,22.68972966269841,27.3526269226798,32.86400013392642,43.55341798233521,78.12139868639035,37.22588847844872,8.870673919815792,11.029399130321165,0.8370949074074074,0.15643609245774523,1.0,1.0807059619153478,1.0022682570018027,0.08,0.0,0.30393700787401573,0.30393700787401573,0.30393700787401573,0.20297504798464494
LEAR,False,False,336,22.68972966269841,27.3526269226798,32.86400013392642,43.55341798233521,78.12139868639035,37.22588847844872,8.327649457399675,11.057972252728328,0.6761739417989419,0.20319749746894694,1.0,1.0807059619153478,1.0022682570018027,4.29,0.013,0.30393700787401573,0.30393700787401573,0.30393700787401573,0.2553269654665687
LightGBM,False,False,336,22.68972966269841,27.3526269226798,32.86400013392642,43.55341798233521,78.12139868639035,37.22588847844872,8.896650800181199,12.506401833851934,0.7704199735449735,0.22439939596030092,1.0,1.0807059619153478,1.0022682570018027,0.84,0.002,0.30393700787401573,0.30393700787401573,0.30393700787401573,0.2115205946113348
XGBoost,False,False,336,22.68972966269841,27.3526269226798,32.86400013392642,43.55341798233521,78.12139868639035,37.22588847844872,8.896650800181199,12.506401833851934,0.7704199735449735,0.22439939596030092,1.0,1.0807059619153478,1.0022682570018027,0.86,0.003,0.30393700787401573,0.30393700787401573,0.30393700787401573,0.2115205946113348
Theta,False,False,336,25.765399537539874,27.528154545224442,31.85841420139709,33.53041778438816,82.64076873411415,37.309370731352345,9.755144174255108,11.021835740899169,0.7648396164021163,0.26345496731280826,1.1355533944460263,1.2151715961292862,0.843710356880534,4.16,0.012,0.3677062374245473,0.27014042867701404,0.5755905511811024,0.20095693779904306
ETS,False,False,336,28.909275766790817,35.41693581271933,35.26720466492614,42.99624304527601,94.11774133580772,41.06536640956762,10.763356530185732,15.261943027631117,0.745825066137566,0.28311124765217954,1.2741128341567352,1.3262628198817643,1.0017757554636388,56.52,0.168,0.36846134217912735,0.2725556813892035,0.568503937007874,0.2200105876124934
Toto,False,False,336,30.59930265221533,37.45735309717367,66.0391722730374,106.96029158546717,79.54202666875709,32.568269077556366,8.10101932662034,9.514177973335055,0.7871197089947091,0.1648343462345247,1.3485970572192467,1.3774242052524797,1.0789011836073845,426.2,1.268,0.3916797488226059,0.3904538341158059,0.39291338582677166,0.3262339418526031
RandomForest,False,False,336,30.511708712046886,30.28489016877719,37.17095666599814,36.97098172017724,84.98845666766076,34.610055787251014,14.200570944417201,15.175536036712877,0.16629464285714285,0.19277611082362262,1.3447365466944146,1.5300745579906174,1.1777764635197736,443.59,1.32,0.2809847198641766,0.19233004067402673,0.521259842519685,0.28197381671701915
Naive,False,False,336,31.588733655065035,30.592913789132506,37.01608153779672,35.38643704184417,86.28872421053663,34.035637557963405,12.297748294304844,11.48168984323534,0.8348627645502646,0.24439225877127313,1.3922040555201702,1.5809834834482948,1.2855141609917207,0.08,0.0,0.28063241106719367,0.18179702048417132,0.6149606299212599,0.128394500624929
