model,origin,node,ts,actual,mean,q10,q90
SeasonalNaive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 06:00:00+00:00,23.206666666666667,63.1875,37.596181314016036,88.77881868598396
SeasonalNaive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 07:00:00+00:00,22.694166666666664,58.80583333333333,33.21451464734937,84.3971520193173
SeasonalNaive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 08:00:00+00:00,23.594166666666663,46.29166666666666,20.700347980682693,71.88298535265062
SeasonalNaive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 09:00:00+00:00,23.684166666666663,70.375,44.783681314016036,95.96631868598396
SeasonalNaive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 10:00:00+00:00,23.366666666666664,93.25666666666666,67.6653479806827,118.84798535265062
SeasonalNaive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 11:00:00+00:00,22.495,102.06666666666666,76.4753479806827,127.65798535265063
SeasonalNaive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 12:00:00+00:00,20.9175,81.76,56.16868131401604,107.35131868598397
SeasonalNaive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 13:00:00+00:00,14.138333333333334,86.75416666666666,61.1628479806827,112.34548535265063
SeasonalNaive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 14:00:00+00:00,0.8983333333333334,14.423333333333334,-11.16798535265063,40.014652019317296
SeasonalNaive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 15:00:00+00:00,-1.768333333333333,14.481666666666667,-11.109652019317297,40.07298535265063
SeasonalNaive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 16:00:00+00:00,-4.373333333333334,13.079166666666666,-12.512152019317298,38.67048535265063
SeasonalNaive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 17:00:00+00:00,-4.704166666666667,18.086666666666662,-7.504652019317302,43.67798535265062
SeasonalNaive,2025-03-02 06:00:00+00:00,LZ_LCRA,2025-03-02 18:00:00+00:00,-4.189166666666666,19.554166666666667,-6.037152019317297,45.14548535265063
