model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
Chronos2[halve_heads],False,True,30,12.446792013639286,4.7945334592528805,17.534054761130253,7.051587352321641,28.841848293867663,7.167400085965202,4.2393887137081405,1.488126736229516,0.8916666666666667,0.10439173216714037,0.831716688150941,0.3746397694524496,0.6310679611650486,0.26639344262295084,0.3839441535776614
Chronos2[baseline],False,True,30,13.098198903148557,5.161172466957931,18.477847460907654,7.260585442334904,30.059583377131258,7.553288401766694,4.303269101159562,1.871458688853824,0.735185185185185,0.14379900906076756,0.8752448502820077,0.4341801385681293,0.4973544973544973,0.38524590163934425,0.41293013555787283
Chronos2[truncate_front_half],False,True,30,13.353067746603928,3.6556577449095458,18.25733072189634,6.142413892792585,31.381934610062366,7.270434690453948,4.983586425383886,1.4936667149112477,0.45046296296296295,0.17943682378803563,0.892275637826242,0.38505747126436785,0.6442307692307693,0.27459016393442626,0.42880523731587555
Chronos2[skip_variate],False,True,30,14.202383471559596,5.374646544486471,20.320452431398653,7.714488200200798,32.05534347346495,7.371756542778401,4.668951575142857,1.8262026964204046,0.737037037037037,0.12683495426790936,0.9490284188786269,0.454728370221328,0.44664031620553357,0.46311475409836067,0.40115163147792715
SeasonalNaive,False,False,30,14.965182484567901,6.306300547703117,22.552636104834207,9.982589345145927,32.45960674050627,10.106983068995513,5.676103380285418,2.1747684455403267,0.8550925925925926,0.09478990015538451,1.0,0.4701195219123506,0.4573643410852713,0.48360655737704916,0.364592462751972
Chronos2[skip_ffn],False,True,30,17.119860074832115,5.054205398934977,23.0326558642315,7.759904314896484,39.90648124201756,8.237924837137736,6.852312943667542,2.3564975448212535,0.3060185185185185,0.10885931980733816,1.1439793729535954,0.023622047244094484,0.3,0.012295081967213115,0.16326530612244897
Chronos2[truncate_back_half],False,True,30,17.862291589218895,5.768669384832208,24.162291089333515,8.740909195823258,42.08504797227269,9.12284862282611,6.169039575731802,2.568426678666239,0.6578703703703704,0.1500378610197073,1.1935899617420966,0.0,0.0,0.0,0.06875
Chronos2[remove_rope],False,True,30,18.251869341061436,5.0027415043534855,24.173700938469356,7.852421577978924,42.1309894437076,7.564114538173364,6.045757814196403,1.81003302609915,0.7342592592592593,0.1169602420343565,1.2196222371416297,0.0,0.0,0.0,0.21014050091631034
Chronos2[skip_attention],False,True,30,19.826739838976923,4.39968974208321,24.93581192256077,6.990355544873342,46.25471876526471,9.820175007365025,7.484773932413801,1.9743685706271576,0.29027777777777775,0.10896952324335815,1.3248578732282257,0.0,0.0,0.0,0.0
Chronos2[skip_time],False,True,30,20.336143003510838,4.5003075605561245,25.6463233562066,7.079580458693016,47.24859832670244,9.727259026275334,6.85791734658053,1.709810678973014,0.8953703703703704,0.09063202103733195,1.3588970949389674,0.0,0.0,0.0,0.18618266978922715
Naive,False,False,30,31.82317515432099,19.154248130009485,36.73829618267208,21.101952449743294,59.19890227477421,14.681635918527425,11.200432445290721,5.672905477868377,0.8643518518518519,0.1748633848487675,2.1264809291257927,0.2972350230414746,0.20673076923076922,0.5286885245901639,0.19538188277087032
Chronos2[skip_layernorm],False,True,30,83.97714398236921,20.39706480133626,117.73847157627536,25.73841195253089,90.57665000900784,15.579406785558975,420512.89470737387,88222.61173352246,0.0,0.0,5.611501501499662,0.17462311557788945,0.10311572700296735,0.569672131147541,0.0
Chronos2[simplify_patch_emb],False,True,30,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
Chronos2[simplify_output_head],False,True,30,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
