model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal,ablation_type,model_type
Timesfm[baseline],False,False,30,12.036539108564826,5.233212971849094,17.446807937625053,7.491009901219027,27.666265329694337,8.09126527224377,3.9990841523578142,1.764347223054144,0.7750000000000001,0.137183980276286,0.8043028623925507,0.3796033994334278,0.6146788990825688,0.2745901639344262,0.4256837098692033,baseline,timesfm
TimesFM[skip_attention],False,False,30,184.72330334123632,95.11728889755788,253.0462781631312,117.81071899022672,136.9978184162145,31.249381461614117,83.38704467310595,45.04278995735628,0.2527777777777777,0.1525419054614524,12.343538311792924,0.1961503208065994,0.1263282172373081,0.4385245901639344,0.1993817619783617,skip_attention,timesfm
TimesFM[halve_heads],False,False,30,16.6884789613868,6.211808425804371,22.28472544528374,8.29827871362565,38.85498529401273,8.950934510469844,5.595884134212638,2.0507345627201756,0.7458333333333335,0.1155452051988503,1.1151537228895112,0.3832599118942731,0.4142857142857143,0.3565573770491803,0.3442307692307692,halve_heads,timesfm
TimesFM[remove_rope],False,False,30,12.036539108564826,5.233212971849094,17.446807937625053,7.491009901219027,27.666265329694337,8.09126527224377,3.9990841523578142,1.764347223054144,0.7750000000000001,0.137183980276286,0.8043028623925507,0.3796033994334278,0.6146788990825688,0.2745901639344262,0.4256837098692033,remove_rope,timesfm
TimesFM[simplify_patch_emb],False,False,30,20.03189132420811,4.745307567796685,25.232619360422973,7.192023305517791,46.61490780663943,9.851096876649189,8.674567012511163,2.339871608887768,0.1425925925925925,0.0751313436114844,1.338566458836369,0.0,0.0,0.0,0.0,simplify_patch_emb,timesfm
TimesFM[simplify_output_head],False,False,30,12.036539108564826,5.233212971849094,17.446807937625053,7.491009901219027,27.666265329694337,8.09126527224377,6.018269554282413,2.6166064859245477,0.0,0.0,0.8043028623925507,0.3796033994334278,0.6146788990825688,0.2745901639344262,0.3796033994334278,simplify_output_head,timesfm
TimesFM[point_only],False,False,30,12.036539108564826,5.233212971849094,17.446807937625053,7.491009901219027,27.666265329694337,8.09126527224377,6.018269554282413,2.6166064859245477,0.0,0.0,0.8043028623925507,0.3796033994334278,0.6146788990825688,0.2745901639344262,0.3796033994334278,point_only,timesfm
TimesFM[skip_ffn],False,False,30,378.7914478728808,261.5380748164175,520.0104095977027,370.23029564628786,162.23239379119798,15.104118776337394,150.400776749548,110.1526907675588,0.3449074074074074,0.1203392053672555,25.311515463542833,0.2754716981132075,0.1789215686274509,0.5983606557377049,0.2564459930313589,skip_ffn,timesfm
TimesFM[skip_layernorm],False,False,30,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,skip_layernorm,timesfm
TimesFM[truncate_front_half],False,False,30,14.73544340789171,4.146297349580121,19.673928009513507,6.2924199731248045,34.750115018908,6.581637497946698,5.784071279548568,1.847474231637558,0.4291666666666666,0.1319736809713808,0.9846484279818772,0.3767313019390582,0.5811965811965812,0.2786885245901639,0.3881019830028329,truncate_front_half,timesfm
TimesFM[truncate_front_quarter],False,False,30,15.589012655923396,4.660850651509196,20.300267894716193,6.566257622531913,36.26399487446351,7.195939644411094,6.4199561490466825,2.1564218744872155,0.3324074074074074,0.1175196624239596,1.041685436980056,0.390625,0.5357142857142857,0.3073770491803279,0.4011887072808321,truncate_front_quarter,timesfm
TimesFM[truncate_back_half],False,False,30,17.259918495990615,4.603803662716661,22.01938181219815,6.863421309815161,40.81917885450476,8.84728870994448,6.084223692515382,1.9334740872518237,0.4634259259259259,0.1544722252747862,1.1533383247273494,0.2439024390243902,0.813953488372093,0.1434426229508196,0.2642740619902121,truncate_back_half,timesfm
