model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
Timesfm[baseline],False,False,30,12.036539108564826,5.233212971849094,17.446807937625053,7.4910099012190265,27.666265329694337,8.09126527224377,3.9990841523578147,1.764347223054144,0.7750000000000001,0.13718398027628606,0.8043028623925507,0.3796033994334278,0.6146788990825688,0.27459016393442626,0.42568370986920334
TimesFM[halve_heads],False,False,30,12.036539108564826,5.233212971849094,17.446807937625053,7.4910099012190265,27.666265329694337,8.09126527224377,3.9990841523578147,1.764347223054144,0.7750000000000001,0.13718398027628606,0.8043028623925507,0.3796033994334278,0.6146788990825688,0.27459016393442626,0.42568370986920334
TimesFM[remove_rope],False,False,30,12.036539108564826,5.233212971849094,17.446807937625053,7.4910099012190265,27.666265329694337,8.09126527224377,3.9990841523578147,1.764347223054144,0.7750000000000001,0.13718398027628606,0.8043028623925507,0.3796033994334278,0.6146788990825688,0.27459016393442626,0.42568370986920334
TimesFM[simplify_output_head],False,False,30,12.036539108564826,5.233212971849094,17.446807937625053,7.4910099012190265,27.666265329694337,8.09126527224377,6.018269554282413,2.6166064859245477,0.0,0.0,0.8043028623925507,0.3796033994334278,0.6146788990825688,0.27459016393442626,0.3796033994334278
TimesFM[point_only],False,False,30,12.036539108564826,5.233212971849094,17.446807937625053,7.4910099012190265,27.666265329694337,8.09126527224377,6.018269554282413,2.6166064859245477,0.0,0.0,0.8043028623925507,0.3796033994334278,0.6146788990825688,0.27459016393442626,0.3796033994334278
TimesFM[truncate_front_half],False,False,30,14.73544340789171,4.146297349580121,19.673928009513507,6.2924199731248045,34.750115018908,6.581637497946698,5.784071279548568,1.8474742316375579,0.4291666666666666,0.1319736809713808,0.9846484279818773,0.3767313019390582,0.5811965811965812,0.2786885245901639,0.3881019830028329
SeasonalNaive,False,False,30,14.965182484567901,6.306300547703117,22.552636104834207,9.982589345145927,32.45960674050627,10.106983068995513,5.676103380285418,2.1747684455403267,0.8550925925925926,0.09478990015538451,1.0,0.4701195219123506,0.4573643410852713,0.48360655737704916,0.364592462751972
TimesFM[truncate_front_quarter],False,False,30,15.589012655923396,4.660850651509196,20.300267894716193,6.566257622531913,36.26399487446351,7.195939644411094,6.4199561490466825,2.1564218744872155,0.3324074074074074,0.11751966242395963,1.0416854369800561,0.390625,0.5357142857142857,0.3073770491803279,0.4011887072808321
TimesFM[truncate_back_half],False,False,30,17.259918495990615,4.603803662716661,22.01938181219815,6.863421309815161,40.81917885450476,8.84728870994448,6.084223692515382,1.9334740872518237,0.46342592592592596,0.15447222527478624,1.1533383247273494,0.24390243902439024,0.813953488372093,0.14344262295081966,0.2642740619902121
TimesFM[simplify_patch_emb],False,False,30,20.03189132420811,4.745307567796685,25.232619360422973,7.192023305517791,46.61490780663943,9.851096876649189,8.674567012511163,2.3398716088877682,0.14259259259259258,0.07513134361148442,1.338566458836369,0.0,0.0,0.0,0.0
Naive,False,False,30,31.82317515432099,19.154248130009485,36.73829618267208,21.101952449743294,59.19890227477421,14.681635918527425,11.200432445290721,5.672905477868377,0.8643518518518519,0.1748633848487675,2.1264809291257927,0.2972350230414746,0.20673076923076922,0.5286885245901639,0.19538188277087032
TimesFM[skip_ffn],False,False,30,378.7914478728808,261.5380748164175,520.0104095977027,370.23029564628786,162.23239379119798,15.104118776337394,150.400776749548,110.15269076755881,0.34490740740740744,0.12033920536725551,25.311515463542833,0.27547169811320754,0.17892156862745098,0.5983606557377049,0.2564459930313589
TimesFM[skip_attention],False,False,30,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
TimesFM[skip_layernorm],False,False,30,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
