model,covariates_used,multivariate_used,n_origins,mae_mean,mae_std,rmse_mean,rmse_std,smape_mean,smape_std,pinball_mean,pinball_std,coverage_mean,coverage_std,mase_mean,spike_f1_mean_signal,spike_precision,spike_recall,spike_f1_q90_signal
Toto2[baseline],False,False,30,12.88812883079788,5.0630819474787385,18.266967349129533,7.168959589935519,29.920743420877972,7.278711194374721,4.232622767830091,1.6319478602854,0.7708333333333333,0.1021093126428489,0.8612075959707222,0.37912087912087905,0.575,0.2827868852459016,0.4327731092436975
Toto2[disable_xpos],False,False,30,12.88812883079788,5.0630819474787385,18.266967349129533,7.168959589935519,29.920743420877972,7.278711194374721,4.232622767830091,1.6319478602854,0.7708333333333333,0.1021093126428489,0.8612075959707222,0.37912087912087905,0.575,0.2827868852459016,0.4327731092436975
SeasonalNaive,False,False,30,14.965182484567901,6.306300547703117,22.552636104834207,9.982589345145927,32.45960674050627,10.106983068995513,5.676103380285418,2.1747684455403267,0.8550925925925926,0.09478990015538451,1.0,0.4701195219123506,0.4573643410852713,0.48360655737704916,0.364592462751972
Toto2[skip_variate],False,False,30,15.708727623751136,4.903684185363569,20.366871676965726,6.948352360812254,36.33903439503023,8.213069098933394,5.7371013175911365,1.7303127552096313,0.7930555555555556,0.10658308357194263,1.0496850031698564,0.398034398034398,0.49693251533742333,0.3319672131147541,0.2392457277548615
Toto2[remove_rope],False,False,30,16.73028435532252,4.91965855554332,22.54782047742197,6.916149651222973,39.0808703419837,8.870998323062283,5.660328480448742,1.789886936393309,0.6819444444444444,0.18191616970009541,1.1179472333581493,0.3409090909090909,0.5555555555555556,0.2459016393442623,0.29466553767993225
ETS,False,False,30,25.52155688708636,12.58276832714454,30.34605530236824,14.651351970911495,73.65976649439345,38.59295439124998,8.31353727146916,5.036385215184781,0.7092592592592593,0.22860996729533994,1.705395635061864,0.4037854889589905,0.3282051282051282,0.5245901639344263,0.3420387531592249
Toto2[simplify_patch_emb],False,False,30,26.590319033340172,8.07790730277495,34.0270088221129,11.165875694700667,55.89532953768303,13.240028272018543,11.46438652975667,5.073246817459453,0.31851851851851853,0.17398786281242626,1.776812214669625,0.12993039443155452,0.1497326203208556,0.11475409836065574,0.16216216216216217
Naive,False,False,30,31.82317515432099,19.154248130009485,36.73829618267208,21.101952449743294,59.19890227477421,14.681635918527425,11.200432445290721,5.672905477868377,0.8643518518518519,0.1748633848487675,2.1264809291257927,0.2972350230414746,0.20673076923076922,0.5286885245901639,0.19538188277087032
Toto2[truncate_back_half],False,False,30,135.43965732999496,239.9796449384703,283.09770753920844,558.5069582999884,77.2364085587938,30.300843874724062,8037.901598315098,39450.315602387556,0.8532407407407407,0.13402038136055067,9.050317793963446,0.2797074954296161,0.18,0.6270491803278688,0.23750734861845976
Toto2[skip_time],False,False,30,226.79474245366927,888.5213158323891,1103.5685879265552,5323.991355507704,79.94897992218579,26.11846698337646,23865.65037459255,81744.89459124944,0.5787037037037037,0.18255070513457436,15.154826390359093,0.2854656222802437,0.18121546961325966,0.6721311475409836,0.21834496510468593
Toto2[truncate_front_half],False,False,30,279.3939097530812,169.5194380058401,386.93258258917535,249.83924649533546,132.75555375756454,19.462013812753987,291.63639188238216,186.27010255660937,1.0,0.0,18.6695959131265,0.20537681798148966,0.11506172839506174,0.9549180327868853,0.20299500831946754
Toto2[skip_attention],False,False,30,337.80243694806984,1186.3990035674562,1463.4027616487126,6064.170248731161,91.27062825211975,25.366208196994737,16087.793806547688,48117.966543329436,0.6861111111111111,0.1915995588369192,22.572557153673987,0.2568681318681319,0.1542904290429043,0.7663934426229508,0.2059574468085106
Toto2[skip_ffn],False,False,30,391.96355817865447,105.96230708333846,548.0884654044171,152.98244126422702,155.37093623637872,13.970393373924779,5596.489957580329,3790.482229341362,1.0,0.0,26.191699204660374,0.20299500831946754,0.11296296296296296,1.0,0.20299500831946754
Toto2[halve_heads],False,False,30,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
Toto2[simplify_output_head],False,False,30,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
Toto2[skip_layernorm],False,False,30,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
