model,origin,node,ts,actual,mean,q10,q90
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 00:00:00+00:00,81.94416666666666,178.40977478027344,98.89155578613281,306.56011962890625
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 01:00:00+00:00,113.745,153.06024169921875,73.98056030273438,288.0404052734375
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 02:00:00+00:00,131.26416666666668,93.78581237792969,49.31950759887695,200.25027465820312
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 03:00:00+00:00,81.84166666666667,51.96729278564453,34.53681564331055,93.70375061035156
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 04:00:00+00:00,40.01416666666667,34.46327209472656,26.078243255615234,52.748661041259766
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 05:00:00+00:00,43.8975,29.309101104736328,23.72713851928711,40.070289611816406
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 06:00:00+00:00,46.44166666666666,27.919532775878906,23.367992401123047,35.53316116333008
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 07:00:00+00:00,42.571666666666665,28.035472869873047,23.05385398864746,34.8647346496582
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 08:00:00+00:00,47.1775,28.610767364501953,23.651376724243164,35.58855438232422
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 09:00:00+00:00,45.70416666666667,29.803401947021484,24.65833854675293,37.415225982666016
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 10:00:00+00:00,44.36083333333334,31.4497127532959,24.941747665405273,41.24451446533203
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 11:00:00+00:00,49.01,31.057504653930664,23.94727325439453,40.221588134765625
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 12:00:00+00:00,39.73333333333333,27.395057678222656,21.815378189086914,35.38881301879883
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 13:00:00+00:00,35.8525,24.741588592529297,20.388023376464844,31.76874542236328
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 14:00:00+00:00,28.8,24.29474639892578,19.619150161743164,31.23246192932129
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 15:00:00+00:00,27.44833333333333,24.912015914916992,19.931427001953125,32.86057662963867
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 16:00:00+00:00,26.848333333333333,33.660400390625,23.480670928955078,52.95293426513672
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 17:00:00+00:00,51.79,50.419193267822266,30.716955184936523,98.51300048828125
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 18:00:00+00:00,67.0175,61.00074768066406,33.83403015136719,128.20623779296875
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 19:00:00+00:00,85.1575,64.80537414550781,35.04111099243164,136.683349609375
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 20:00:00+00:00,87.14999999999999,60.10507583618164,34.00907516479492,130.25668334960938
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 21:00:00+00:00,60.70333333333334,56.058021545410156,31.30389976501465,124.52848052978516
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 22:00:00+00:00,91.97833333333334,56.201969146728516,30.173141479492188,140.43199157714844
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_LCRA,2025-08-01 23:00:00+00:00,99.82333333333334,64.2900619506836,30.04444122314453,160.87692260742188
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_RAYBN,2025-08-01 00:00:00+00:00,82.205,194.07350158691406,114.87548828125,322.0703125
Chronos2[baseline],2025-08-01 00:00:00+00:00,LZ_RAYBN,2025-08-01 01:00:00+00:00,108.07583333333334,177.18746948242188,98.3204345703125,286.3231506347656
