model,origin,covariates_used,multivariate_used,mae,rmse,smape,pinball,coverage
Toto2[baseline],2025-08-01 00:00:00+00:00,False,False,19.71625370343526,26.550347092129577,32.290890581688814,5.999682949266315,0.8194444444444444
Toto2[baseline],2025-08-02 00:00:00+00:00,False,False,12.559803376374422,16.67702522215654,22.734625196030596,4.411953245033452,0.9722222222222222
Toto2[baseline],2025-08-03 00:00:00+00:00,False,False,10.365422667750607,14.184437787439377,33.14087839620667,3.311264491493319,0.8055555555555556
Toto2[skip_attention],2025-08-01 00:00:00+00:00,False,False,46.8174399361787,59.003691548676024,58.99567321693806,43.50988234302144,0.8194444444444444
Toto2[skip_attention],2025-08-02 00:00:00+00:00,False,False,162.75033111007124,255.4812927331318,111.33672639695212,5304.1828432071925,0.6805555555555556
Toto2[skip_attention],2025-08-03 00:00:00+00:00,False,False,53.44136149583039,56.91137905101408,96.99588510507682,42.561773091952,0.375
Toto2[halve_heads],2025-08-01 00:00:00+00:00,False,False,,,,,0.0
Toto2[halve_heads],2025-08-02 00:00:00+00:00,False,False,,,,,0.0
Toto2[halve_heads],2025-08-03 00:00:00+00:00,False,False,,,,,0.0
Toto2[skip_ffn],2025-08-01 00:00:00+00:00,False,False,423.0631126149495,526.623811302446,147.52393053849246,3489.0755542147594,1.0
Toto2[skip_ffn],2025-08-02 00:00:00+00:00,False,False,418.960576787878,534.5802998240797,155.60193633090904,6310.066014761276,1.0
Toto2[skip_ffn],2025-08-03 00:00:00+00:00,False,False,461.2187213671649,570.6834418609267,171.19646092636978,3721.935395957569,1.0
Naive,2025-08-01 00:00:00+00:00,False,False,38.673541666666665,44.8296011221043,55.458392810713086,12.584965403066994,0.9861111111111112
Naive,2025-08-02 00:00:00+00:00,False,False,52.62931712962964,56.1744953601198,76.22149126658542,15.280585720105934,0.9444444444444444
Naive,2025-08-03 00:00:00+00:00,False,False,17.153726851851857,20.076432943665875,51.31877416948799,9.255798342252776,1.0
SeasonalNaive,2025-08-01 00:00:00+00:00,False,False,26.065069444444447,49.61419892231388,34.17761377059724,10.390415782284043,0.8194444444444444
SeasonalNaive,2025-08-02 00:00:00+00:00,False,False,17.367650462962967,26.23049643118903,27.524440583378784,6.545731840446116,0.8194444444444444
SeasonalNaive,2025-08-03 00:00:00+00:00,False,False,25.240405092592592,35.855604161119274,55.715749683183176,8.748116602767256,0.8194444444444444
